review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
136743,Steve,QLD - 4061,QLD,4061,True,2025-09-03,03 September 2025,5.0,,"Ryan and his team were fantastic, turned up on time and was very professional. Great assistance in generation of the quote and no missing fees. Fully recommend.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Jinko Solar,Fronius,BYD,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
129211,Matthew,QLD - 4055,QLD,4055,True,2024-12-20,20 December 2024,4.5,,"Ryan Orr turned up for a live quote and a discussion on the roof with me and we option-solved on the spot.  The others, who were very courteous, only did desktop analysis.Ryan always arrived when he said he would and did an excellent job, especially given the awful rain conditions that disrupted work.  I highly recommend Ryan Orr at Optimum Solar Energy as an installer.The Solar Edge system he installed appears to be working just fine.  Only one week of use so far, so early days, but the panels and inverter look good and seem to be performing exactly as promissed.",4.0,4.0,5.0,5.0,10kW,"$10,000 to $12,500",,,,,,,False,[],0,0
125976,Chris,QLD - 4065,QLD,4065,True,2024-09-13,13 September 2024,4.75,,"Quoting phase - Ryan was patient and explained all aspects of the recommended system. Solution accounted for shading from neighbour's trees and different roof faces.Installation went well. Some aspects of the install took longer than anticipated but the team took it in their stride and workers through it. One panel couldn't fit on the northern side of the roof due to the arrangement of tiles, so the guys found a way to accommodate it on another side of the house.Explanation of how to use use the Solaredge app and adjusting configuration of the inverter was all covered as part of the handover.They also promptly filed their request with Energex to get a new meter installed (we had an old mechanical one).Overall cost was a bit on the higher end as our roof is 2 storeys all around and has many small faces.",4.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",Jinko Solar,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
124466,H,QLD - 4051,QLD,4051,True,2024-07-30,30 July 2024,5.0,,"For someone who is new to this field, Optimum Solar panel installers were patient, helpful and respectful.  The job was completed efficiently and these people went out of their way to guide and prepare me for the future use of the system.  They were kind, clean and friendly.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
116585,David,QLD - 4051,QLD,4051,True,2023-11-14,14 November 2023,5.0,,"I was seeking a local solar specialist who I could deal with directly initially - and then ongoing if I needed any further help.I considered other providers, but none of them stacked up well versus Ryan and his team at Optimal Solar Energy.All my research did not disappoint and Ryan and his team were excellent! They explained everything well and installed the system with good advice as to what I needed and didn't need. They installed the system over 2 days, even though it was raining and the weather wasn't ideal. Ryan also said to call him directly if I had any questions or there were any issues in future.",5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
115334,Gabor,QLD - 4012,QLD,4012,True,2023-10-09,09 October 2023,5.0,,"Comprehensive quoting and explanation of products and their functions / features.Thought through and in-depth answers to my questionsInstallation was punctual and quick, they cleaned up after themselves to the last cable tie clip offs.Assisted getting on to the monitoring system and organized all the paperwork for the registration with the grid.",5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",,SolarEdge,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png'],0,0
112862,John,QLD - 4006,QLD,4006,True,2023-07-31,31 July 2023,5.0,,"- it was really beneficial to have the quote by the person who was going to install the system- the installers were polite and efficient- after installation, the main installer waited to ensure that I could access the app on my phone and helped problem solve when there was an issue",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",Trina,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
112079,Dan,QLD - 4053,QLD,4053,True,2023-07-05,05 July 2023,5.0,,"Recently had a 6.6kw system installed to replace my aging failing system. Ryan expertly diagnosed my existing issues and recommended a suitable replacement. I can honestly say Ryan and his team performed the installation beyond my expectations. They were professional in all aspects of their work, arrived on time, were very tidy, and completed in two days. I can't believe what a difference the upgraded system has made in the short period since being commissioned. I would highly recommend relying on Ryan and his team if you are thinking of going solar.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/11bc182cfcf686624f7102f320445f9f0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/da5a59f73827f5e28414fe94754fa26f1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d6b50370b53f448956b552f1bdfdc5da2.jpg']",0,0
111278,Ross,QLD - 4034,QLD,4034,True,2023-06-06,06 June 2023,5.0,,Ryan and his crew did a great job. The system is working well and the after sales service has been excellent.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,SolarEdge,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
101566,Aaron,QLD - 4055,QLD,4055,True,2022-07-21,21 July 2022,5.0,,sales was specific and detailedinstallation was punctual and quick.Direct and no bullshit on problems and how to fix them.Went out of his way to get previous installer held accountable.,5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,,,,,,False,[],0,0
