review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
87379,Peter,QLD - 4211,QLD,4211,True,2021-03-03,03 March 2021,5.0,,I cannot speak highly enough of Gavin the owner and installer.  I had many quotes and procrastinated for some time but Gavin was the only one that got on my roof to do measurements etc. This job also included removing and disposing of our old 3kw system.  He checked the entire sight for safety and gave me a complete run down of what was required for my 28 Panels and Sungrow Inverter.  This was not an easy roof to work on and I wanted the Inverter in a fairly awkward spot but nothing was too hard. I was given a complete rundown of the operation and best of all its hassle free with no input from me other than finding the best power provider.  The best part was that he lived 5 minutes away and this reassured me that he would easily come back if needed.  Everything went without a hitch and I now have my own mini power plant saving money and reaping the benefits.  Thanks Gavin for doing this job.  Money well spent adding much value to my home and I have now found a new electrician for all those other jobs I will eventually need doing.  The whole procedure using Solar Quotes was an absolute pleasure and the best decision.,5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",LONGi Solar,Sungrow,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/bb2cb7baa6ea8f1235e8c3a0f4a1c3960.jpg']",0,0
86538,Stuart,QLD - 4226,QLD,4226,True,2021-02-07,07 February 2021,5.0,,Only person who actually got up on the roof and checked things out and then quoted based on what would best suit our house. Gav personally dealt with the whole job from quote to install to after service. Nothing was too much and I feel I have a quality system that was installed to the highest standard. Would thoroughly recommend.,5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",Trina,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
86523,Robert,QLD - 4212,QLD,4212,True,2021-02-06,06 February 2021,4.5,,easy processinstallation was on time and efficientexcellent customer service,4.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",LONGi Solar,Fronius,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
78952,Martin,QLD - 4209,QLD,4209,True,2020-07-12,12 July 2020,5.0,,Awesome from start to finish. Prompt onsite inspection and quote. Was the only company to actually get on the roof to check and measure. Never pushy trying to get me to sign up. Understanding of of buget restraints by offering other options. Fast and tidy installation with the inverter installed in the garage. Came back when I got home from work to setup and explain the inverter. Overall excellent service and would highly recommend!,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Fronius,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/f6f9d2b17720eb7d437d5a8c4afc42050.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c3ddb0b768648753d4fcec019f8d22aa1.png']",0,0
77995,Clay,QLD - 4214,QLD,4214,True,2020-06-20,20 June 2020,5.0,,"I obtained three quotes, however, the quote from Ozmak Electrical was the most informative being highlighted with 2 options that maximised performance, with corresponding expected performance graphs.  The quote was very competitive and I decided to commission that company.  I made the right decision, the system was installed without a hitch, Gavin (the business owner and installer) from Ozmak was informative, his work extremely tidy, and nothing seemed to be a problem.  He obviously takes the utmost pride in his work evident by the high quality of his workmanship. My roof profile was problematic due to its shape, Gavin solved it with an aesthetic and efficient panel placement.  During the install he renewed some aging components in my switchboard, replaced a couple of dodgy roof tiles and even cut down a couple of trees that were shading some of the panels!  After the install he gave me a complete run down on the system and did not leave until I was satisfied regarding the install.  I thoroughly recommend Ozmak, if you are looking for old fashioned personalised service and a quality install at a cost effective price, do not go past this installer.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
74182,Martin,QLD - 4210,QLD,4210,True,2020-03-07,07 March 2020,5.0,,"The whole service from quote to install and then after service was great. No pressure, answered all my questions and followed up to make sure everything is ok.Attention to detail was unbelievable and you can tell that they take a lot of pride in providing quality work.  Even replaced some of my roof tiles that I didnâ€™t know where broken whilst Iâ€™m up on the roof.Highly recommended!",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Jinko Solar,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
73889,Anthony,QLD - 4209,QLD,4209,True,2020-02-27,27 February 2020,5.0,,"A great guy to deal with!  polite, tidy and punctual, says as it is with no sales pitch. After installation even took time to set up my phone to the system along with his own to monitor the system so he also know if there are any problems.Thanks again.",5.0,5.0,5.0,5.0,5kW,,Risen,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
73865,Logan,QLD - 4218,QLD,4218,True,2020-02-27,27 February 2020,5.0,,"My only regret is that I should have got Gavin to install my solar years ago. I shopped around and the main reason I went with Gavin is because of his great knowledge of the entire process. From quoting all the way through to completion, he did a great job and gave me great peace of mind.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",Jinko Solar,Fronius,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
73859,Kevin & Ally,QLD - 4208,QLD,4208,True,2020-02-27,27 February 2020,5.0,,"Gavin Makniaâ€™s overall integrity in explaining solar systems in a manner that was clear, concise and in simplistic language made him a standout compared to other companies representatives. His sales pitch revolved around exceptional product knowledge and when he committed to perform the installation, we were sold. This was on the back of having watched Gavin and his team install a new solar system next door on a rather windy day. Weâ€™re delighted with every aspect from sales, supply, installation, grid organising and are now reaping the financial rewards. Gavin comes highly recommended and I warn beware of other shonky providers in the marketplace.",5.0,5.0,5.0,5.0,5kW,"$4,049",CSUN,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_csun.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
73844,Andrew,QLD - 4216,QLD,4216,True,2020-02-26,26 February 2020,5.0,,"My wife and I are extremely happy. When we first met Gavin his customer relations were second to none and following up with customer support gives you peace of mind. Quality workmanship. Would recommend to anyone looking for their solar to be installed, give Gavin a call.",5.0,5.0,5.0,5.0,5kW,"$2,000 to $4,000",,Fronius (Other),,,5.0,False,[],0,0
