review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
95547,Ben,VIC - 3979,VIC,3979,True,2021-11-23,23 November 2021,1.0,,,1.0,1.0,1.0,1.0,5kW,"$10,000 to $12,500",,Delta,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_delta.jpg'],0,0
85767,Matt,VIC - 3820,VIC,3820,True,2021-01-19,19 January 2021,4.75,,"Great experience all round.Installer worked closely with us to overcame some site issues to upgrade our old system. He explained our options clearly before we made any decisions. We installed additional panels, added a battery and moved the inverter. The works required a trench to be dug to run additional cables. All of which was done by the installer and his team.Any issues were discussed and addressed, and they even tidied up our electricity supply box and re-labelled it!Project ran to schedule despite a couple of unforeseen issues.Unfortunately we were not eligible for most of the government rebates which hurtAll in all, very happy with the outcome. The system has been running for a couple of months now with a huge impact on our electricity bills. I'm loving the battery and the power it provides in the evening and at night.We are going to look at our hot water system next.",4.0,5.0,5.0,5.0,5kW,"$10,000 to $12,500",Suntech,SolaX Power,LG Chem,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_lg-chem.png']",0,0
58828,Anon,VIC - 3820,VIC,3820,True,2019-01-20,20 January 2019,2.5,,"It seemed with the sale pitch that all was going to go well.But from day one all went bad.The installers had no details of where on the roof the system was to go & had other work that they had to attend.Instead of a day or two to install the system it took weeks .Had to keep contacting Phazer to find out what was going on.Very poor communication would not call back & the tradesman had to chase them to get a reply back.They had damaged my roof & left it with Tek screw holes for water to come leaking inside while they were gone for a number of daysIf not for me checking their work and fixing the holes, this would have been a serious problem.Other issues also arose that should not have that we had discussed prior starting.They wanted more money to pay for optimisers to add to our existing system to make it work with the new 5kw system.This was already discussed in the price for the Contract.Recently our system went down & Phazer would not return calls for two days. We had to get other parties to fix it. Do NOT use this company.",4.0,4.0,1.0,1.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
55924,Anon,VIC - 3820,VIC,3820,True,2018-11-19,19 November 2018,4.0,,Installation in process. Local supplier here in Warragul.,4.0,4.0,0,4.0,3kW,Under $3000,,,,,,False,[],0,0
38519,Leigh,VIC - 3820,VIC,3820,True,2017-09-22,22 September 2017,3.5,,"The supplier was quick to inspect my house and provide a quote. At payment of deposit I was told installation would be in about two weeks, but actually took place seven weeks later. The weather was crap for a month and I understand that, but the supplier did not communicate with me and keep me informed. That was a bit disappointing.The actual installation was done efficiently and the installers were friendly and considerate.My system was only commissioned two hours ago so it's a bit too soon to comment on actual performance.",3.0,4.0,4.0,3.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
7058,Kay,VIC - 3818,VIC,3818,True,2012-09-12,12 September 2012,5.0,,,5.0,5.0,5.0,5.0,2kW,"$6,000 to $10,000",Canadian Solar Inc,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
9265,Anon,VIC - 3820,VIC,3820,True,2011-07-12,12 July 2011,3.75,,,3.0,4.0,4.0,4.0,4kW,"$15,000 to $20,000",,,,,,False,[],0,0
9218,Anon,VIC - 3871,VIC,3871,True,2011-07-11,11 July 2011,4.25,,,4.0,5.0,4.0,4.0,3kW,"$10,000 to $15,000",,,,,,False,[],0,0
8659,Anon,VIC - 3821,VIC,3821,True,2011-06-21,21 June 2011,4.0,,,4.0,4.0,0,4.0,5kW,"$15,000 to $20,000",,,,,,False,[],0,0
8243,Vic,VIC - 3823,VIC,3823,True,2011-06-07,07 June 2011,2.75,,Put the system in the wrong place. Incapable of meeting a deadline/appointment time.,3.0,4.0,1.0,3.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
