review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
117248,Kevin,NSW - 2790,NSW,2790,True,2023-12-06,06 December 2023,5.0,,Dealing with a self employed owner installer made live fairly simple. The quoting and installation was hassle free and meet my expectations,5.0,5.0,5.0,5.0,13kW,"More than $20,000",Trina,Fronius,BYD,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
62553,Terry,NSW - 2795,NSW,2795,True,2019-04-10,10 April 2019,4.25,,,4.0,4.0,5.0,4.0,More than 6kW,"$3,000 to $6,000",,,,,,False,[],0,0
38225,Peter,NSW - 2795,NSW,2795,True,2018-05-16,16 May 2018,4.5,,Dave Seymour sent me one of the most complete quotes I have ever received (private or business)He answered all the relevant questions recommended by Finn in his quote before I had the chance to ask. The system was more expensive than normal because it is ground mounted. All his prices for quality equipment were at the lower end of the range given by Finn.,4.0,4.0,5.0,5.0,6kW,"$10,000 to $15,000",Trina,SMA,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/a510173f0ef9948edff7cf0055660763.jpg']",0,0
45369,Danny,NSW - 2845,NSW,2845,True,2018-03-16,16 March 2018,5.0,,"Phoenix Electrical Solar Services (Portland NSW Australia)Very professional, No fuss, Quoted within 24 hours and came to site to do the quote, Installed the system and commissioned  within 36hrs and a week earlier than planned. Supplied all paperwork manuals, appropriate certificates in one folder and easy laid out.System was commissioned 14/2/2018 and the average daily capture is around 25kWh per day, lowest being 8.6 and the highest being 43kWh.I would highly recommend Phoenix Electrical Solar Services (Portland NSW Australia) for installations of solar systems. Not quite sure of his coverage as in area but we are located in Wallerawang NSW(14km west Lithgow)System as follows:Panels: 24 x Trinasolar Panels 270watt Panels (6.48kw system)TSM-275P05Inverter SMA SB5.0-1AV-40",5.0,5.0,5.0,5.0,More than 6kW,"$6,000 to $10,000",,,,,,False,[],0,0
36237,Michael,NSW - 2795,NSW,2795,True,2018-02-16,16 February 2018,5.0,,great job very nice people,5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",Trina,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
39926,Paul,NSW - 2795,NSW,2795,True,2017-11-03,03 November 2017,4.25,,,4.0,5.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
35964,Anon,NSW - 2795,NSW,2795,True,2017-06-02,02 June 2017,4.75,,"Service was prompt and courteous. Dave Seymour assessed the building etc and handed me the pre prepared quote with options. He engages an electrician well known to me for the connection. He is familiar with the property and highly regarded by me. This and his comments of Dave was an influencing factor in accepting. It was disappointing not to have other quotes through your site for comparison.Your supporting information was helpful. I will authorise publication of my comments when job is completed. Impressions at this point is 3-5 merit points and installation will determine final rating.Update 22/6/17:Value for money4/5 Grants assist in this assessmentQuality of System4.5/5 Early days but impressive with online feedback and systems support and function to date.Installation5/5 Technical ability very good, understanding of system and functionality excellent. Installation completed within forecast time with noundue interferenceCustomer Service5/5 Very prompt, professional, courteous and included me in planning and progress. No hesitation in recommending DaveThank you for your involvement and effective business/service you provide.Reg",4.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
32967,Brad,NSW - 2795,NSW,2795,True,2016-12-28,28 December 2016,5.0,,"Really cant say enough about Dave. All quality! His workmanship, materials and communication couldnt be faulted. Everything is straight and square and complete. which is rare this day and age.",5.0,5.0,5.0,5.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
27203,David,NSW - 2795,NSW,2795,True,2016-04-25,25 April 2016,5.0,,Dave at Phoenix was very quick to respond to emails with detailed information that covered all the bases.,5.0,5.0,5.0,5.0,6kW,Under $3000,Trina,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
24804,Neil,NSW - 2795,NSW,2795,True,2015-08-29,29 August 2015,4.75,,Dave's advice and service were excellent. His installation was fast and professional and he delivered what he promised when he promised. The whole solar purchase and installation experience was really easy and very fast. I also referred him to 2 friends who wanted solar and he has completed one more 5kw installation with the second to happen soon. Highly recommended.,4.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",Trina,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
