review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
103868,Mark,QLD - 4670,QLD,4670,True,2022-09-23,23 September 2022,1.0,,"There has been nothing but drama the whole process. The salesman was great until the problems started. They installed the solar panels and not the inverter. Came back 10 weeks later to install the inverter. Great we now had solar. NOT.The electrician failed to lodge the paper work required to install. Ergon was going to fine us as it was an illegal installation , this was 6 months after installationNow roll on another month and Ergon turns up as the meter is not compatable.Ergon Energy informs us that this is the most difficult company to deal with.also Pioneer Solar told Ergon that it was our fault...HOW. They did not lodge the paperwork.We have now paid 7 months of payments with no return from our solarWe have lost over 3000 units into the gridThese people do not return calls and you are forever chasing them up.Stay away",1.0,1.0,1.0,1.0,6.6kW,"$12,500 to $15,000",,,,,,False,[],0,0
71680,Rhyce,QLD - 4555,QLD,4555,True,2019-12-19,19 December 2019,5.0,,Very good to deal with easy to get hold of and even though it was Christmas and busy time of the year they still managed to get our solar up in good time. Solar is working perfectly very neat and well done job.,5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",LONGi Solar,Goodwe,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
68438,Jigri,QLD - 4300,QLD,4300,True,2019-09-16,16 September 2019,5.0,,Sales process wa so retry straight forward . So was the installation . Very smooth and completely hassle free.,5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",,Fronius,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
68265,Peter,QLD - 4702,QLD,4702,True,2019-09-10,10 September 2019,5.0,,"The initial phone call to let me know about Pioneer Solar was fantastic, no pushing for us to go through with it at all. Sales rep who came out to our home (which is out of town) spoke it terms that even our kids could understand what he was saying. Installer were fantastic, they worked like a well oiled machine. The call from the ladies in the office was great, they were so friendly and helpful. One of the biggest thing for me was that they all knew our names.",5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",,,,,,False,[],0,0
66906,Brooke,QLD - 4300,QLD,4300,True,2019-08-02,02 August 2019,5.0,,Great service - highly recommend right from the start of the process to the end.,5.0,5.0,5.0,5.0,1.5kW,"$10,000 to $12,500",,,,,,False,[],0,0
62230,Tina,QLD - 4209,QLD,4209,True,2019-04-04,04 April 2019,4.0,,Excellent customer service & explained everything,4.0,4.0,4.0,4.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
62167,Samantha,QLD - 4655,QLD,4655,True,2019-04-03,03 April 2019,5.0,,Highly recommendEverything was so easy and didnâ€™t take long from signing to installation.Staff were all friendly and professional,5.0,5.0,5.0,5.0,6kW,"$10,000 to $15,000",,,,,,False,[],0,0
59987,Jacqui,QLD - 4756,QLD,4756,True,2019-02-15,15 February 2019,5.0,,"From the first time that they came to our property they were professional and knew there products. They system was installed very professionally, all the contractors that came out were all nice and friendly. Our system took longer to get setup due to our location and the recent floods and fires that we had in North Queensland. But it has been sorted. Highly recommended and the brand's that they use are good quality.",5.0,5.0,5.0,5.0,More than 6kW,Under $3000,,,,,,False,[],0,0
59876,Megan,QLD - 4133,QLD,4133,True,2019-02-12,12 February 2019,5.0,,"Prompt, courteous service. Arrived half an hour earlier than expected. Spoke to me politely and included me in decisions that needed to be made. Put the wheelie bins out so they wouldn't be missed.",5.0,5.0,5.0,5.0,More than 6kW,"$3,000 to $6,000",,,,,,False,[],0,0
58601,Rod,QLD - 4670,QLD,4670,True,2019-01-15,15 January 2019,2.25,,"One of the worst companies I have dealt with, up front sales person was ok but down from there, the office person was rude and unhelpful and didn't do what he said he would do, The salesperson was totally uncontactable after the sale, their electrician was rude and abrupt, came to do a job, turned power off without notice and didn't even come to the front door to tell us he was doing a job. This was months after the install, we had to wait months to get an export system. Then months later I was on the roof and found only half the system was even turned on. Many regrets we used them",2.0,3.0,3.0,1.0,6kW,"$10,000 to $15,000",,,,,,False,[],0,0
55744,GERVAISE,QLD - 4207,QLD,4207,True,2018-11-15,15 November 2018,5.0,,"Very professional, very neat and tidy installation.  Sales person was very knowledgeable.",5.0,5.0,5.0,5.0,6kW,"$10,000 to $15,000",,,,,,False,[],0,0
52504,Mylene,QLD - 4510,QLD,4510,True,2018-09-11,11 September 2018,4.75,,The installers were very professional about their work and explain the functions of all the systems.,5.0,5.0,5.0,4.0,6kW,"$3,000 to $6,000",,,,,,False,[],0,0
