review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
48498,Jane,ACT - 2611,ACT,2611,True,2019-01-31,31 January 2019,4.5,,,5.0,4.0,4.0,5.0,More than 6kW,"$6,000 to $10,000",Flex,Fronius,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_flex.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
57858,George,NSW - 2620,NSW,2620,True,2018-12-31,31 December 2018,4.0,,"The salesman and the tradesman provide consistent information to me during design and installation phase. I would hate if they give me conflicting advice, but they didn't",4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,Fronius,,,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
49590,Anon,ACT - 2913,ACT,2913,True,2018-07-04,04 July 2018,3.67,,Install is booked infor Monday coming.Sales person was nice and not too pushy however after signing up thier customer service became a little average.,4.0,4.0,0,3.0,6kW,"$3,000 to $6,000",,,,,,False,[],0,0
38846,Martin,NSW - 2620,NSW,2620,True,2018-06-06,06 June 2018,4.0,,"I did get a much cheaper quote for the same system. Power Saving Centre seemed to be more reliable and have proven to be so to date. The solar sales area appears to be very aggressive at the moment, with some companies offering bigger discounts to capture market share. Given my limited knowledge of solar I basically went with my gut feeling. Time will tell if I need to gut myself over the decision.RegardsMartin",3.0,4.0,4.0,5.0,More than 6kW,"$6,000 to $10,000",JA Solar,Zeversolar,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_zeversolar.png']",0,0
46689,Anon,NSW - 2620,NSW,2620,True,2018-04-17,17 April 2018,4.0,,Of the three names provided only 2 responded.Both of your recommended suppliers were significantly more expensive than who I went with in the end (approx 30%) for what I believe were not necessarily superior systems.I did appreciate all of the information on your website and found it very informative.,4.0,4.0,0,4.0,More than 6kW,"$6,000 to $10,000",,,,,,False,[],0,0
38955,Beth,NSW - 2582,NSW,2582,True,2017-10-08,08 October 2017,4.75,,"We rang 3 Canberra based suppliers/installers.Power Saving Centre Canberra (PSCC) was the only one that returned our call. We visited by the sales rep Donna Spargo who has 18yrs experience in the industry and has her own home fully powered by solar. She has a wealth of experience and technical information - as we would expect from someone trying to sell us a product. We were given different options for different prices and the explanations for the additional cost of the more expensive systems made sense - we didn't feel it was just a 'brand loading' and there was no pushing for us to take the most expensive option - even though we did in fact do that. We're not silly - we cried poor from the first instance to ensure we wouldn't be taken for suckers, so we're sure that if we had chosen the cheaper options we would still have experienced the same fantastic level of service. Donna also has the gift of explaining technical things in simple language without 'dumbing down' and making one feel silly.Our research had led us to thinking we needed to go with a micro-inverter system to compensate for our lovely humungous gum trees. Donna was able to show us a better way with a more recent innovation meaning less initial cost and a much lower risk of component failure (ie; endless ongoing maintenance costs)The installation was done in a day with minimal inconvenience and complete respect for our home & gardens. The installers are licensed grade 2 electricians employed by the company and therefore any issues will be dealt with by the company - no fobbing off to 3rd parties or sub-contractors.At this time we have just panels, inverter and meter. We decided, before getting quotes, that we would wait for improvements in the available batteries before looking at storage/backup systems. Donna agreed with our decision/thinking and will keep us informed of developments in that area.There has never been an instance of 'hard sell'. We've been very happy with the communication, the level of information, the willingness to answer 'silly questions' with respect, and the feeling that we are in control throughout the process.We have already recommended the PSCC to several neighbours and friends and will continue to do so.",4.0,5.0,5.0,5.0,6kW,"$10,000 to $15,000",,,,,,False,[],0,0
37180,Alan,ACT - 2906,ACT,2906,True,2017-08-05,05 August 2017,3.75,,"I took your advice to avoid ""cowboys"".  I did experience one who applied a lot of pressure to sign up, but not one of the ones you recommended.Your recommendations were very good and I have no complaints about them.I chose the Power Saving Centre following a recommendation from a friend.  They have been in Canberra for a number of years and gave me complete confidence that they would do a good job and would be around for a long time.  They were not the cheapest, but cheapest is not always the best.Thank you for the advice you provided.  It proved very useful and helped me with my learning curve.",3.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
34924,Annie,ACT - 2606,ACT,2606,True,2017-04-13,13 April 2017,5.0,,"I decided to go with 327W Sunpower Solar PV Modules and a 5.0kW SMA Sunny Tri Power 5000TL inverter.  The price I got was better than that going with LG panels and based on Finn's advice, these are the Rolls Royce of Panels and inverter.  The Power Saving Centre are the only ones in Canberra that install them and I was very happy with their customer service.  They explained everything in detail and gave me good advice about the quantity of panels and location of these.",5.0,5.0,0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
29915,Darren,NSW - 2620,NSW,2620,True,2016-03-27,27 March 2016,3.75,,Was a little disappointing when the panels were placed on the east and west sides of the home when we have two other sections that face North. They are smaller but other companies who quoted sent pictures showing the panels on this aspect to get the sun all day.,4.0,4.0,3.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
29912,Jenny,ACT - 2905,ACT,2905,True,2016-03-26,26 March 2016,5.0,,"I am not sure whether I got the best deal as I had nothing to compare it with but I certainly had very professional, friendly and timely service.",5.0,5.0,5.0,5.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
