review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
65453,Anon,NSW - 2303,NSW,2303,True,2019-06-24,24 June 2019,3.0,,"Altogether very stressful experience. Firstly the date got moved and information flow was unreliable. We had to keep chasing. Installation in November 2018.On installation day an unmarked van appeared with (apart from 1) non-English speaking people. Australian Powervault employees had been promised.A major mistake happened with the wiring and an engineer had to come back a few days later to rewire the inverter.It took several attempts to get the computer link to the Fronius inverter going so that we could monitor our in/output. Two nice employees tried their best to rectify it.It took another 2 months to get the smart meter installed to finally benefit from rebates for power sent to the grid.Finally we heard a few weeks later that Powervault had ceased trading, which was a big worry. However, Mark B took over part of the business and promised to honour the warranties we had been given.The system has worked well so far.",4.0,4.0,1.0,3.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
52346,David,NSW - 2265,NSW,2265,True,2019-05-08,08 May 2019,4.0,,"For some reason the 20 x 310 watt Jinko panels were replaced with Jinko 18 x 360 watt  panels boosting the system from 6.2 kw to 6.4 kw.  It also makes it easier to add more panels if needed.  The company says the substitution was to ""ensure smoother operation of the system"" but I suspect it was really a stock in hand problem. No matter, I get the benefit.  The installation isn't fined as to come is still the inverter (A Fronius Sumo). The unit delivered was 5kw so It was sent back for the 6kw. The Fronius smart meter  is also yet to come.For your general info:  An Energy Australia representative told me that we could no longer change our tariff from ToU to a standard or fixed rate because the retailer would no longer do it.  Very odd.  The retailer told me that was ""rubbish"". Another Energy Australia representative (very cluey and obviously a higher rank) told me that it could be done but advised very strongly against it. It would cost us a lot more money.  Our recent bill is for $811 and we used less current that the same period 2017. The same period last year was $660.  My intention is to leave things the way we are and run with the solar system (when it is completed next week, hopefully) for one more quarter (for comparison reasons). After that, change to a fixed rate.   There's only two of us and we have solar hot water on a dedicated off-peak circuit.  I would like to say a big thank you too Solar Quote- for the invaluable knowledge and help.",4.0,4.0,4.0,4.0,More than 6kW,"$6,000 to $10,000",Jinko Solar,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
50599,Michael,NSW - 2250,NSW,2250,True,2019-03-29,29 March 2019,2.75,,,4.0,4.0,2.0,1.0,5kW,"$6,000 to $10,000",Jinko Solar,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
47796,Nerida,NSW - 2321,NSW,2321,True,2019-01-13,13 January 2019,3.33,,Solar Australia were great too however when I went to order the system from them I couldn't get through. I left a couple of messages then the mailbox was full and I could not get a response or a return phone call.  I decided to try power vault again to see if they would do a better price and they did so I went with them.,4.0,5.0,0,1.0,More than 6kW,"$6,000 to $10,000",PV Power Technologies Pvt,Fronius,,2.0,3.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
46910,Mark,NSW - 2289,NSW,2289,True,2018-12-24,24 December 2018,4.0,,"I found the quotes offered from the suppliers through SolarQuotes to be most useful in establishing baseline information on cost, quality and system variation. In the end I received a competitive price from a local supplier and used the knowledge gained to provide the system I wanted. Thanks SolarQuotes for the service provided it made the process far more certain and allowed me to discuss design options with suppliers with confidence.",4.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",Jinko Solar,Enphase,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
45997,Thomas,NSW - 2257,NSW,2257,True,2018-11-29,29 November 2018,4.0,,Very responsive and knowledgeable sales staff,4.0,4.0,0,4.0,More than 6kW,"$6,000 to $10,000",Jinko Solar,Fronius,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
43269,Jim,NSW - 2318,NSW,2318,True,2018-10-11,11 October 2018,4.0,,Installation delayed because of Christmas period and lack of availability of Inverter,4.0,,0,4.0,4kW,"$3,000 to $6,000",Jinko Solar,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
52373,Paul,NSW - 2318,NSW,2318,True,2018-09-08,08 September 2018,3.67,,,3.0,4.0,0,4.0,More than 6kW,"$10,000 to $15,000",,,,,,False,[],0,0
52327,Phoebe,NSW - 2289,NSW,2289,True,2018-09-07,07 September 2018,3.67,,I haven't got it installed yet as we're waiting for grid approval which takes a few weeks. Looking forward to it!,3.0,4.0,0,4.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
42461,Vince,NSW - 2316,NSW,2316,True,2018-08-31,31 August 2018,3.67,,,4.0,4.0,0,3.0,More than 6kW,"$6,000 to $10,000",Jinko Solar,Enphase,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
