review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
53960,Anon,VIC - 3139,VIC,3139,True,2018-10-11,11 October 2018,4.0,,,4.0,4.0,4.0,4.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
6928,Ian,VIC - 3764,VIC,3764,True,2012-09-14,14 September 2012,4.0,,,4.0,4.0,4.0,4.0,3kW,"$6,000 to $10,000",Conergy,Xantrex / Enerdrive Pty Ltd,,4.0,4.0,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_conergy.png'],0,0
9071,Laurie,VIC - 3227,VIC,3227,True,2012-09-12,12 September 2012,3.75,,,3.0,4.0,4.0,4.0,2kW,"$6,000 to $10,000",Conergy,Conergy,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_conergy.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_conergy.png']",0,0
5562,Ron,QLD - 4551,QLD,4551,True,2012-09-11,11 September 2012,4.0,,Michael from Premier Solar took a lot of time to ensure that we were fully informed as to what our system should achieve.,4.0,4.0,0,4.0,3kW,"$6,000 to $10,000",Juli New Energy,Fimer,,5.0,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
13209,Craig,VIC - 3029,VIC,3029,True,2012-05-25,25 May 2012,4.75,,,5.0,5.0,4.0,5.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
8927,Andrew,VIC - 3031,VIC,3031,True,2011-06-30,30 June 2011,2.5,,The salesman that came to our house was good. They dropped down a level on value for money and customer service when they rang up three days before installation and told us the price that we have been quoted and paid a deposit on hand which was increased due to a decrease in the REC.,2.0,3.0,3.0,2.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
8179,Grant,VIC - 3658,VIC,3658,True,2011-06-06,06 June 2011,4.25,,,4.0,5.0,4.0,4.0,5kW,Under $3000,,,,,,False,[],0,0
7682,Shane,VIC - 3156,VIC,3156,True,2011-05-25,25 May 2011,4.25,,,4.0,5.0,4.0,4.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
6919,John,QLD - 4566,QLD,4566,True,2011-05-05,05 May 2011,4.0,,"I am hoping to have the solar system installed by the end of the month, together with an Apricus solar hot water system",0,,0,4.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
6413,Paul,VIC - 3678,VIC,3678,True,2011-04-21,21 April 2011,4.0,,"Unfortunatly none of your leads bothered to contact me I also found not many companies wanted to respond to either emails or phone calls. thanks anyway I think I,ve done the right thing with all your info. Paul",4.0,4.0,0,4.0,5kW,"$15,000 to $20,000",,,,,,False,[],0,0
5193,Peter,VIC - 3219,VIC,3219,True,2011-02-12,12 February 2011,4.0,,,4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
3669,Corey,VIC - 3216,VIC,3216,True,2010-11-11,11 November 2010,3.75,,still waitting on a free metre to go inside and my plan change because of the goverment rebate.,4.0,5.0,4.0,2.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
