review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
130124,Jacob,QLD - 4350,QLD,4350,True,2025-01-24,24 January 2025,5.0,,"No notes. All services were provided professionally and quickly, despite issues with my energy service provider that were outside of Proven's control",5.0,5.0,5.0,5.0,5kW,"$8,000 to $10,000",Phono,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
126520,Peter,QLD - 4350,QLD,4350,True,2024-10-02,02 October 2024,5.0,,"After deciding to investigate a solar installation for our home we asked six companies to provide us with a recommendation and a quote. Right at the outset we decided to attempt to give our preference to a local company even though three of the companies we contacted were not local. Proven Energy was the first to respond and we found their consultant to be friendly, genuine and prompt. Without criticising any of the others who contacted us we eventually decided upon Proven Energy with whom to do business and we were not disappointed. Communication to us by them was excellent as we progressed, and appointments, visits etc. were prompt and professional. we have now only to have a smart meter installed by our power provider and then all systems will be go. My assessment of the installation by Proven Energy indicates that it is a quality system and the workmanship appears to be exemplary. I congratulate them on their approach to business and have no hesitation in recommending them for consideration to anyone thinking of going solar.",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",Phono,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
126516,Riki,QLD - 4350,QLD,4350,True,2024-10-02,02 October 2024,5.0,,Sales team were proactive contacting me. They were knowledgeable on the products and willing to spend the time with me to explain the system options they had quoted.Installation was great. The installation team were professional and got the installation completed quickly and to a high standard. The team had managed to organise grid connection for same day as installation.Highly reccomnded this solar supplier.,5.0,5.0,5.0,5.0,15kW,"$15,000 to $20,000",Phono,Fronius,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
115691,Juliana,QLD - 4352,QLD,4352,True,2024-08-15,15 August 2024,5.0,,"We are very satisfied with our choice of materials and the quality of the installation by Proven Energy. It took 5 weeks from accepting the quote and paying the deposit to having the REC panels and Fronius inverter installed and working. There were a couple of minor hiccups in communication along the way, but these were resolved promptly. The installers were helpful and reliable.Proven submitted the paperwork to Ergon Energy for connection to the grid, but Ergon took 2 weeks to make the connection.",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",REC,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
124417,Kevin,QLD - 4350,QLD,4350,True,2024-07-29,29 July 2024,4.0,,Polite and punctual. Professional and helpful when installing solar panels Admin staff courteous & informative.,4.0,4.0,4.0,4.0,6.6kW,"$6,000 to $8,000",I don't know,Fronius,,3.0,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
121701,John,QLD - 4350,QLD,4350,True,2024-05-01,01 May 2024,4.0,,"Sales was good, really pushed for the sale and tried to be competitive on price.Everything fell apart once I paid deposit. I had to follow up with them after waiting 2 weeks after paying my deposit as I had not heard anything. I hadn’t received confirmation that my deposit was paid or what the next steps were.From there we had a number of further communication issues from the company, but after 5 weeks and a number phone calls I had an installation date.Installation has happened and I believe they did a good job installing the system. The system works well although they did not configure my catch controller so they need to return again to finish that off.",4.0,5.0,4.0,3.0,13kW,"$12,500 to $15,000",Phono,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a0223d1ed8fe52d4b66f33a593d092e91.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d0eaf30b154fac98eb3dcb04f6b6d01a2.jpeg']",0,0
119447,Patricia,QLD - 4350,QLD,4350,True,2024-02-20,20 February 2024,4.75,,"I chose Proven Energy to remove my old system and install the new one as they took the time to explain the process so I could understand all my options, the quoting and sales process was straightforward to follow. They treated me professionally, courteously, and in a friendly manner at all times.The installation process was able to be booked on a day that I was able to have time off work, and the installation workmen were punctual, polite, and courteous, and walked me through what I needed to know about the system's functionality. The company organized everything from start to finish as well as the communication with the power company and connection to the grid.",5.0,4.0,5.0,5.0,3.3kW,"$2,000 to $4,000",Phono,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
109731,Trish,QLD - 4370,QLD,4370,True,2024-02-12,12 February 2024,5.0,,The sales quoting process was very simple. Quotes were received promptly and very easy to understand and compare. The quote included two choices which I found helpful.The installation crew arrived at the designated time and were very polite. They explained what needed to happen and discussed placement of inverter. All bits and pieces and scraps were picked up and binned leaving all areas as they were. Any questions I had were answered and explained in a friendly manner.The sales person I dealt with who helped me make my decision was very easy to talk to and made me feel very comfortable from the first visit to the last phone call.  They did organise the grid connection and explained what to expect when they came.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Trina,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
117999,Clinton,QLD - 4350,QLD,4350,True,2023-12-30,30 December 2023,5.0,,"Fast installation, great communication. Sales rep was thorough, polite, and professional. Would recommend.",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Phono,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
117320,Heath,QLD - 4343,QLD,4343,True,2023-12-07,07 December 2023,4.5,,"Overall dealing with Proven energy was hassle free and an easy process.Josh was more than happy to help and provide more than one quote on different solution depending on your situation or expectations.From Sales, admin to installer, all parties involved were professional and helpful.The time between accepting quote and start of installation was alot quicker than expected, so no complaints there.The only negative point i have for the whole experience is the loss of power for six hours, due to the main fuse at the front of the property not being installed properly (as advised by energex). Proven energy were very apologetic and have offered to cover the bill if one is received,I will be referring Proven energy to other. For now, the proof is in the pudding.",4.0,5.0,4.0,5.0,10kW,"$10,000 to $12,500",Phono,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
