review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
71129,Carolyn,NSW - 2546,NSW,2546,True,2019-12-06,06 December 2019,4.25,,Salesmanship/quote process all goodHad rain the first day so installers had to return the following day to put the panels on.....otherwise all okCustomer service with their Admin office was good....they had already advised us on what would happen afterwards b4 install & on the day....our electricity provider (Powershop) were very helpful & on the ball,4.0,4.0,4.0,5.0,5kW,"$4,000 to $6,000",Suntech,SolaX Power,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png']",0,0
54799,Brian,NSW - 2548,NSW,2548,True,2018-10-27,27 October 2018,4.0,,"Panels installed on an east-north-east roof with approx. 23 degree slope.  System generates power from sunrise to early afternoon (my household's peak electricity usage time) negating the need for a costly battery.  System generates approx. 10 kws @ winter solace rising to 25 kws @ summer solace.  Have recently had installed a solar diverter to a storage hot water system, thereby sending excess solar to heat hot water prior to exporting to the grid.  Entire system equates to no electricity bill for approx. 6 months per year (excess electricity exported to the grid also covers supply charges for same period).  Bills for balance of the year are < $100/quarter.  Installing the solar system & diverter are proving highly cost effective with payoff projected by 5th year.Note I also have a pre-exisitng (previous house owner installed) 1 kw system of west roof installed by Pyramid Power, which is good for offsetting late spring through to mid autumn afternoon electricity usage, but this system delivers negligble electricity in winter.",4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,SolaX Power,,,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png'],0,0
34936,David,NSW - 2537,NSW,2537,True,2017-12-14,14 December 2017,4.0,,Will also have LG chem resu 10 installed. Pyramid Power is one of the best installers on the Far South coast of NSW. Originally had 1.5kw system installed and now FIT has finished am upgrading. Pyramid use only top quality panels and equipment. You get what you pay for.,3.0,5.0,4.0,4.0,4kW,"$3,000 to $6,000",Pyramid power (Other),Orion,,5.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_orion.jpg'],0,0
39962,Helgi,NSW - 2622,NSW,2622,True,2017-11-03,03 November 2017,5.0,,Have spent 3 years to search for a supplier/installer to give us the right answers for our location in rural NSW. It only took 4 weeks from first contact to a complete and immaculate installation with these folks. Terrific performance!,5.0,5.0,5.0,5.0,6kW,"$15,000 to $20,000",,,,,,False,[],0,0
33257,Michael,NSW - 2549,NSW,2549,True,2017-09-10,10 September 2017,4.5,,"It is hard to assess the quality of the the system when you have no prior experience with solar, but the system seems to be working well.  The customer service and installation were all very good.  Everything was completed in accordance with the quote, and on time.  The staff are always available if you have questions.",4.0,4.0,5.0,5.0,5kW,"$6,000 to $10,000",Jinko Solar,SolaX Power,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png']",0,0
30805,Tim,NSW - 2550,NSW,2550,True,2016-11-10,10 November 2016,4.0,,Local firm with long history - Pyramid Power,4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",Jinko Solar,APsystems,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_apsystems.png']",0,0
28285,Simon,NSW - 2548,NSW,2548,True,2015-11-10,10 November 2015,4.75,,,4.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
6663,Roger,NSW - 2632,NSW,2632,True,2013-01-24,24 January 2013,3.25,,"We chose Pyramid because they have installed quite a few systems in the area around us at Bombala/ Bibbenluke. For a 2.2 kw they are charging us $$6,471.90. Because of our isolation, and because Pyramid have a good name for service around here we chose them.We expect installation before mid June - should you send this form after that I will be happy to respond.",2.0,4.0,3.0,4.0,2kW,"$6,000 to $10,000",Suntech,Growatt,,3.0,3.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
16978,Grant,NSW - 2548,NSW,2548,True,2012-12-29,29 December 2012,4.25,,"All companies that contacted us were very helpful, even to the point of showing us the cheapest rates for power and the best returns for our solar excess.All round a great experience.",4.0,4.0,4.0,5.0,More than 6kW,"$6,000 to $10,000",,,,,,False,[],0,0
8326,Warren,NSW - 2528,NSW,2528,True,2012-09-12,12 September 2012,5.0,,Pyramid were very helpful and gave choices of different systems.,5.0,5.0,5.0,5.0,2kW,"$3,000 to $6,000",Suntech,Growatt,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
