review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
96795,Stuart,WA - 6152,WA,6152,True,2022-09-13,13 September 2022,5.0,,"The sales and quotation process was very professional and informative.  Installation was on-time and done well, with the only minor hiccup that only 4, not the 5 planned, panels could fit on the North facing part of the roof.The lost panel was relocated to the West facing part of the roof.Quest looked after the entire process all the way through to connection to the grid.",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",JA Solar,Enphase,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
92907,Andre,WA - 6076,WA,6076,True,2022-04-24,24 April 2022,4.25,,"Quest were prompt with contacting us for quote and followed up quickly because of a short lockdown in WA. When all ok completed quote and did not pressure us,we chose to go with them because of the professional manner we were treated as well as expertise they exhibited.The install date was agreed and they were very punctual despite the inclement weather. The install and handover went well and very professional. It took longer than anticipated due to the weather.The only issue we have had is with the Fronius software and Quest have been very responsive in resolving this issue and remedying it.We have no hesitation in recommending Quest as a supplier and installer.",4.0,4.0,4.0,5.0,6.6kW,"$4,000 to $6,000",LONGi Solar,Fronius,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
98360,Steve,WA - 6107,WA,6107,True,2022-03-07,07 March 2022,4.75,,"From the get go these guys were on the ball, informative and super responsive.The install team did a great job & the system is performing well.",5.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",JA Solar,Sungrow,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8c74be0f373a5398ace422cec11055690.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/bebcfad8995aed5692e89e0e3cff89ae1.jpg']",0,0
91073,Nadia,WA - 6060,WA,6060,True,2022-02-26,26 February 2022,4.5,,"Very professional from the sales staff to the installers. Excellent communication, was kept well informed during the whole process. Highly recommend.",4.0,5.0,5.0,4.0,6.6kW,"$6,000 to $8,000",LG,Fronius (Other),,5.0,4.0,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png'],0,0
97008,Rob,WA - 6024,WA,6024,True,2022-01-16,16 January 2022,4.75,,Great service and install. Quest are the only ones to customise the system for my current and future needs .,4.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",,Fronius,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
96750,Gary,WA - 6158,WA,6158,True,2022-01-06,06 January 2022,4.75,,"I had three quotes and to be honest  all were reasonable. What tipped the scales for me to use Quest Energy was the sales engineer Moe who had an in-depth knowledge of the equipment he was selling. No hyper sales talk, just honest advice. The icing on the cake were the two installers. They started and finished the job without a hitch. I was very impressed with the whole deal and would recommend Quest Energy. Oh! And a big shout out to Solar Quotes.",4.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",JA Solar,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
96548,David,WA - 6148,WA,6148,True,2021-12-28,28 December 2021,5.0,,"We requested 2 quotes through the Solar Quotes process (and sourced one further ourselves) and chose Quest as they took the time to explain the process and weigh up the pros and cons of various options for our house. Quest also provided a model showing estimated solar output over the course of a year, which was really helpful with our understanding of what the system would do in different seasons.Prior to installation Quest kept us up to date with progress towards the install. On the installation day the process went smoothly and the install team did a great job.Customer service was excellent. Quest guided us through the Sungrow app once the system was commissioned, showing us how to read the data out of the app.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",JA Solar,Sungrow,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
88667,Alistair,WA - 6155,WA,6155,True,2021-12-16,16 December 2021,4.75,,We had the completion of our install delayed due to rain but they kept me informed all the way. The installers were good and kept me advised every step of the way and consulted me for any options on location of equipment etc.Happy with the system and company but not to impressed with the Fronius app and access to data older than 3 days. They want you to pay for it when other inverter companies offer it for free.,4.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",LONGi Solar,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
88144,Thomas,WA - 6021,WA,6021,True,2021-11-24,24 November 2021,5.0,,"(a) Sales/quoting process was pleasant, thorough and well explained; devoid of push or pressure, strong emphasis on 'customer first' approach.(b) All of the above; polite, tidy and punctual. Advance notifications about appointments and arrival time was excellent.(c) Did more than help with grid connection, they connected and set us up - we just needed to load the app onto our mobiles.Could not be more pleased with this company",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",LG,SolarEdge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
95413,Garry,WA - 6150,WA,6150,True,2021-11-18,18 November 2021,5.0,,Quest Energy was one of 3 quotes we obtained through the Solar Quotes process and we found Moe was very professional and knowledgeable. He was very mindful of our needs at our stage of life and was happy to quote on various combinations of panels and inverters to achieve a good balance of quality products and price. The system was installed by their own installers not subcontractors within one week of making our decision and we couldn’t fault the work of Michael and Cameron. We would highly recommend choosing Quest Energy to supply and install your solar PV system.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Qcells,SolarEdge,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
