review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
93282,Dennis,NSW - 2570,NSW,2570,True,2022-05-31,31 May 2022,5.0,,"Luke/Rapid Solar, I really appreciate the care, attention to details on looking at all requirements, and work from there to come up with a solution and a quote.Thanks to You, Your team and Rapid EC for the Great Work to meet all these requirements below:- Provide the biggest capacity that is legal and within the limits of size of my 120sq meter roof - your team / Rapid EC provided me 7.77kW instead of the run-off-the-mill quotes of 6.6kW! I am Very pleased with this!!- Able to provide backup power in grid blackout events, battery-less and powered solely from the Solar Panel array. Your team & Rapid EC, gave me my Hybrid Inverter of choice, Fronius Gen24 Plus Primo!- Provide that backup power feed it to my off-grid  2nd electrical circuit outlets for my critical loads. Your team & Rapid EC, connected my critical loads circuit and I was able to confirm that this worked!- Make it easy to add batteries in the future with minimal configuration Your team & Rapid EC, work above will make this bullet point a reality.Thanks heaps to you and your team fkr making me and my wife's Solar power journey possible and worry free!",5.0,5.0,5.0,5.0,7kW,"$8,000 to $10,000",Jinko Solar,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d06dd0b5da56211d6a924b1d714ab5330.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4b5c4cd427180df23e9bb1a9c2337a801.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3a4fe0e3109d5ef1521efff4e3e1a5b74.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/7cc74d48ef80fbf8972a27aef1a9c272.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/56b3987737efb5276650a46070f016f7.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/17d892c7302cdfff2eab6f85d713dcea.jpeg']",0,0
96637,Ryan,NSW - 2750,NSW,2750,True,2022-01-01,01 January 2022,4.75,,All the guys at Rapid Solar were extremely professional and fast to respond to queries and plan changes. Best pricing I received but no compromise on quality of service. Very happy with the install and product.,5.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",JA Solar,Solis,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c9ccb24e3571b80859eba250437271e40.jpeg']",0,0
96227,Sheena,NSW - 2077,NSW,2077,True,2021-12-15,15 December 2021,4.75,,"The quoting process was very straight forward, sales person followed up with emails and phone calls when I had queries and was comparing company prices. Staff was not pushy, and the emails was very detailed and professional.The installation went well. We had two meters for our house, so we had two sets of 7.6kw systems installed just over 3 days (some delays due to rainy weather).We wanted some photos of the roof, which the installers said they will provide, but even after multiple emails, they have not responded. They also didn't respond to my question about installing a monitoring system such as the one from Solar Analytics...",5.0,5.0,5.0,4.0,7kW,"$4,000 to $6,000",Trina,Solis,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
95837,Andrew,NSW - 2121,NSW,2121,True,2021-12-03,03 December 2021,4.75,,The quote was comprehensive and gave more information than the others. They also quoted on my requested package,5.0,5.0,4.0,5.0,6.6kW,"$10,000 to $12,500",Jinko Solar,Alpha Technologies,Alpha-ESS,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
83370,Fernando,NSW - 2767,NSW,2767,True,2021-07-10,10 July 2021,4.5,,The technicians had done a good job in installing the solar system where the lead person had discussed the details of the process before the tasks were executed. The workmanship was excellent which is also a plus as the warranty is lifetime.,5.0,4.0,5.0,4.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Solis,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c3dac507866b16649b053a72281319540.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/cfe27033269a2fa6862c00ecaa4634b71.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/833aef15a12ee6d92268f094709069f8.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/226c18edabcab26a0dba626b37301a51.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/4f15bae0f7de0e2834f098e3a448edd2.jpg']",0,0
91028,Terry,NSW - 2230,NSW,2230,True,2021-06-27,27 June 2021,4.75,,"Guys were so nice, and ensured everything was installed smoothly. Went out of their way to ensure my app was running. Even came to see me on the weekend to help me set up the app.",4.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Hyundai Solar,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
82866,Peter,NSW - 2565,NSW,2565,True,2021-06-27,27 June 2021,4.5,,"Sales/quoting process was very helpful and the proposed system was larger than from other suppliers. System was supplied as quoted, installation was professional, polite and tidy.",4.0,4.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Jinko Solar,Solis,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
89232,Graeme,NSW - 2152,NSW,2152,True,2021-04-29,29 April 2021,5.0,,"GCR did a great job. They were very helpful throughout the process of choosing the best option for me. The technicians were very punctual polite, hard working and cleaned up every day. After the install, they organised for the upgrade of my metre. Would recommend them for solar.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Hyundai Solar,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
84956,Justin,NSW - 2148,NSW,2148,True,2020-12-20,20 December 2020,4.25,,"GKR have been good, service and information has been really good.We're doing this install as part of a whole house renovation, so install is in a few stages.Install so far has been good, clean and neat and straight.The guys have been flexible and responsive to our situation with the renovations, working in and around other trades, etc.Easy to work with, very helpful in working through the options of the system and the install.",5.0,4.0,4.0,4.0,10kW,"$6,000 to $8,000",Trina,SMA,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
82577,Dennis,NSW - 2768,NSW,2768,True,2020-10-15,15 October 2020,5.0,,GCR provided 4 Quotes for variuos option at different prices.They did not pressure me for a reply.During installation they advised me what they intended to do each day and then again at the end of the day they explained what they had completed.Customer service was excellent. They helped organise the grid connection and advised on the best plan with my supply company.,5.0,5.0,5.0,5.0,10kW,"$4,000 to $6,000",Jinko Solar,Solis,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b16913a05dacb0a7ca53fc6524f9c0930.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/91690abfb2385db6e5a1832751d287451.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/07f9c1fbed1cb25cc0f8d9684d061f4f2.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/bf1822e4bcb8d1fe90d6207740fc3ea03.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/f178616ed1eef53a95cc74e3c205c8e74.jpeg']",0,0
