review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
105630,Rebecca,NSW - 2318,NSW,2318,True,2022-11-22,22 November 2022,5.0,,I loved how they came out gave us all the information and then DIDN'T hound us until we made our decision they did send us an email just to touch base but didn't call non stop they were very professional and  not pushy,5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",JA Solar,Sungrow,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
87133,Gordon,NSW - 2324,NSW,2324,True,2021-10-27,27 October 2021,5.0,,The hole experience was seamless from the representative visiting my home through to installation and grid connection. At this stage I couldn't be happier with the experience.,5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",Qcells,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
87814,Kristine,NSW - 2283,NSW,2283,True,2021-03-16,16 March 2021,5.0,,"Congratulations Jared, you and your team from beginning to installation has been 5 STAR.The professionalism and product knowledge received by all was outstanding. This is what made us decide to have Reclaim install our solar system.Matt and his team of installer's made the installation seem seamless. We were informed in detail the procedure and at the completion an explanation of the inverter operation. Clean up at the end left us with only solar panels on our roof.Lauren very efficiently organised the grid installation after our connection and was always ready with answer to our inquiries.George the TV areial technician was very helpful with advice and relocation of our antenna to accomodate the solar panels.WELL DONE TEAM.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",JA Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
85991,Howard,NSW - 2282,NSW,2282,True,2021-01-24,24 January 2021,5.0,,The sales process was excellent no pressure gave us the facts even pointed out that simply changing providers would save us without putting on solar. Rated him the most honest and truthful of all the salesmen and least pressure.Installation was seedless arrived at the time stated all workers were polite and tidy did a great job.They organised new meter with provider and all paperwork.They will be coming back within 2 months of monitoring to talk to us about how we can best maximise benefits of solar after seeing what our usage patterns are now.They will regularly be in touch into the future it is not a set and forget instal.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",JA Solar,SMA,No battery (Other),,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
73428,Neil,NSW - 2284,NSW,2284,True,2020-10-14,14 October 2020,4.5,,From start to finish Andy was genuine and no question was an issue and his industry knowledge gave us confidence with our decision to proceedEven a minor issue after install was fixed within days,5.0,5.0,4.0,4.0,8kW,,JA Solar,Fimer,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
80321,Les,NSW - 2285,NSW,2285,True,2020-08-12,12 August 2020,5.0,,"We were impressed by the Reclaim Energy presentation as it ticked all the boxes.Reclaim was the last of the solar suppliers that we contacted for quotes and was by far the best.Reclaim was neither the dearest or cheapest quote but it was very practical and professional and left nothing to the imagination.From start to finish of the installation of the Panels, Inverter and electrical work including upgrading our switch box, fitting the analytics equipment and connecting our solar to the grid with our supplier, everything went seamlessly.We could not be happier. Reclaim Energy was a joy to work with from start to finish.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",JA Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
76247,John,NSW - 2289,NSW,2289,True,2020-05-01,01 May 2020,5.0,,"Andy quoted the job and provided good clear understandable information about the system. He did not try to sell us a stock standard system or a bigger system than we needed but rather one that is tailored to our needs.The installation was done on the day promised and the team did a great job. They were polite, professional and cleaned up after themselves. the after sales service has been good with Andy ready to provide support as needed. cant recommend 'Reclaim' highly enough. A very satisfied customer!",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",JA Solar,Fimer,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
74166,Jared,NSW - 2285,NSW,2285,True,2020-03-06,06 March 2020,5.0,,"Fantastic product knowledge and genuinely interested in giving us a great outcome, couldnâ€™t have been happier with the install and the cost",5.0,5.0,5.0,5.0,6.6kW,,JA Solar,Fimer,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
73410,Ben,NSW - 2304,NSW,2304,True,2020-02-11,11 February 2020,4.75,,"Very easy to deal with, down to earth. Do not try to up sell for no reason.",5.0,4.0,5.0,5.0,10kW,,Qcell (Other),Solis,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png'],0,0
66296,John,NSW - 2287,NSW,2287,True,2019-07-19,19 July 2019,5.0,,"I had a few quotes ,for my 8.6 kw system,decided on reclaim,it was the right decision, from Nathan,who was very informative,and friendly,to the installers, who did a great job, highly recommend,John",5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",,,,,,False,[],0,0
63240,Emma,NSW - 2291,NSW,2291,True,2019-04-25,25 April 2019,4.75,,,5.0,4.0,5.0,5.0,More than 6kW,"$10,000 to $15,000",,,,,,False,[],0,0
60945,Carol,NSW - 2259,NSW,2259,True,2019-03-11,11 March 2019,4.0,,,4.0,4.0,4.0,4.0,More than 6kW,"$10,000 to $15,000",,,,,,False,[],0,0
60135,Chris,NSW - 2444,NSW,2444,True,2019-02-20,20 February 2019,4.5,,"Sales representative very knowledgeable not pushyInstaller on time neat professional job, explained everything well all in laymanâ€™s terms made sure I.T. was set up.System working very well. Wonâ€™t take very long to pay it off",4.0,4.0,5.0,5.0,6kW,"$3,000 to $6,000",,,,,,False,[],0,0
58397,Anon,NSW - 2299,NSW,2299,True,2019-01-11,11 January 2019,4.0,,,4.0,4.0,4.0,4.0,6kW,"$3,000 to $6,000",,,,,,False,[],0,0
