review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
135761,Ken,NSW - 2324,NSW,2324,True,2025-08-01,01 August 2025,2.0,,"I am a solar supporter. That's why I paid thousands $ for a RedEarth 5kW BushChook battery when I installed my solar PV panels (which came from another manufacturer). The PV panels are great, but the battery is useless.I tried the recommended RedEarth EMU app, which is supposed to allow users to set up electricity tariffs and presumable control when the battery charges or discharges (ie: sends power to the house or to the grid).After several attempts, the app refused to accept my electricity tariffs info, and is now showing only 5 cents/kWh export price and ZERO cents/kWh for buy price (from the grid).I complained to RedEarth ""support"" but nothing has been fixed. DISAPPOINTING.So my RedEarth battery charges and recharges continually. It remains at 100% charge always. And I get NO BENEFIT from the 16kWh of power stored in the battery. I can't draw power from it after sunset. I can't export any of the power from the battery back into the grid. IT IS USELESS.C'mon @RedEarth ... you can do better than this. Please fix the RedEarth EMU app so that customers can set up CORRECT ELECTRICITY TARIFFS for import and export. And so that customers can CONTROL THE BATTERY charges and discharges!!",3.0,1.0,3.0,1.0,7kW,"$15,000 to $20,000",Tindo Solar,RedEarth (Other),RedEarth,5.0,,1.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_tindo-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_redearth.png']",0,0
134827,Chayn,QLD - 4879,QLD,4879,True,2025-07-01,01 July 2025,2.0,,"We went with a RedEarth “Sunrise” 3-phase package (≈32 kWh) for about $50,000ish AUD. It failed in Nov 2024 (2.5 years after install) and has never returned to spec.• Endless delays – First “waiting for a diagnostic laptop”, then, “waiting for a shipment”(no batteries in the Country and took 7 months!), then, “waiting for serial numbers”. Every deadline slipped without warning and went unknown without us chasing it up.• Goal-posts moved on the day – The installer finally arrived to swap six batteries, only to discover RedEarth hadn’t even identified which batteries were faulty. He was asked to run diagnostics on site with software he hadn’t been provided. Despite being told they would just tell him which serial numbers were the faulty batteries, and it would be simple.They ended up having to remove ALL 9 batteries in the unit. Leaving me with 6 new ones. Despite requesting they replace all 9 from the start and being told it wasn’t required.• Half a fix offered – After more than 7 months they fitted six batteries out of nine and expected me to run the system on the bare minimum, with no clear date for the remaining three.• Refund run-around – I’ve formally requested a refund, but RedEarth (manufacturer) and retailer. Each point to the other when it comes to responsibility. The customer is left in limbo while they argue over who pays.• Left to chase agencies myself – I’ve had to involve the Office of Fair Trading while RedEarth issue stock apologies and deliver nothing concrete, or what would be considered acceptable after this amount of time.If you value reliability, spare parts and credible after-sales support, avoid RedEarth. My “Australian-made” battery system has spent eight months as expensive garden art while power bills climb, and excuses keep coming. Spend your money with a company that stands behind its product. Have now engaged a legal firm to deal with this.",1.0,1.0,5.0,1.0,20kW,"More than $20,000",,,RedEarth,,,1.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_redearth.png'],0,0
122967,Rex,VIC - 3814,VIC,3814,True,2024-06-11,11 June 2024,1.0,,"I had decided to trust my solar installation to Red Earth after dealing with them from April 2020 to May 2023. Boldly proclaimed on the bottom of 8 emails from Red Earth are the words ""Design and Installation"" and included in the emails is a reference to ""our electrician"". I was disappointed to then be told to make my payments to Rilec Industries. Reluctantly I followed their instruction and 9 months later my system had not been installed. I cancelled the order and requested the return of my funds, but have had no response from Rilec. Red Earth will not assist. I will now take my case against Red Earth and Rilec to VCAT seeking the return of the large amount of money.",1.0,1.0,1.0,1.0,13kW,,,,,,,,False,[],0,0
100329,Alan,WA - 6516,WA,6516,True,2023-03-29,29 March 2023,5.0,,We decided to go with Red Earth off grid as it had good brand components and was the most economical option to get the capacity we wanted.The sales team were very helpful and informative and delivery time from them building the system to freighting it from Brisbane to Perth took an amazing 6 days.The system is going into our shed in Jurien Bay 230km north of Perth and so it had to sit in our home garage until we could get up to Jurien.Just waiting to tee up a time with the electrician to connect then hopefully it will perform as good as it looks.,5.0,5.0,5.0,5.0,5kW,"$15,000 to $20,000",Hyundai Solar,RedEarth (Other),RedEarth,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_redearth.png']",0,0
96941,David,VIC - 3467,VIC,3467,True,2022-01-12,12 January 2022,4.5,,"Just wanted to say thank you for supplying and installing the OFF-GRID DropBear system at our property in Avoca Victoria.While there were a few delays in completing installation mostly due to COVID, the system performs incredibly well and so much better than we ever expected it to.   We have been able to live in the property without making any compromises to our lifestyle and how we use electricity.  We have been able to install two large split systems air conditioners which are used for both heating and cooling, dishwasher, washing machine, electric heat pump hot water system, electric water pumps, and all the usual household loads without any issues.   In fact we are seldom able to use all the electricity generated by the solar panels in a day, especially in summer.  The backup generator has only kicked in only twice and was due to very extreme/unusual energy use.   We manually force the generator to start occasionally to ensure it turns over and its reliable.Thanks for a great system, we absolutely love living off grid",4.0,5.0,4.0,5.0,13kW,"More than $20,000",Trina,Fronius,RedEarth,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_redearth.png']",0,0
94582,Greg,QLD - 4655,QLD,4655,True,2021-10-22,22 October 2021,5.0,,"Redearth came to our notice via a Facebook add. I contacted the salesteam and co-incidentally a salesperson was in the area and made time to come out and talk to us and obtain detaied info on our requirements. This was no ordinary sales person, Dan was was also had an electrical background and able to answer by most detailed questions. Wtihin a couple of days we had a detailed and firm quote which we ultimatly accepted. We were then kept fully informed via emails and phone calls. The installers were just brilliant. It was a very professional and detailed installation. After the final installatoin Dan came back out to the house and fully explained the installation and requirements for reading the output of the units via an app. We cannot recomend Redearth enough. Highly proffesional and prompt.",5.0,5.0,5.0,5.0,6.6kW,"$12,500 to $15,000",Jinko Solar,I don't know,RedEarth,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_redearth.png']",0,0
92878,Tom,NSW - 2474,NSW,2474,True,2021-09-01,01 September 2021,5.0,,"I was very happy with the service, RedEarth exceeded my expectations and delivered a wonderful experience.I thinks it's important to support Australian based businesses so was I really pleased that RedEarth is Australian made and owned. The installers did a great job and customer service was fantastic, especially with all the delays that arose due to weather issues. I would give them 6 stars if I could!",5.0,5.0,5.0,5.0,3.3kW,"$4,000 to $6,000",JA Solar,Sungrow,RedEarth,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_redearth.png']",0,0
89774,HUBY,QLD - 4570,QLD,4570,True,2021-05-14,14 May 2021,5.0,,"I cannot express how pleased I am with the system. It's compact, highly efficient and satisfies all my needs. I can't fault it!I don't require a lot of power but my BlackMax is handling everything I'm throwing at it including circular saws, cermet mixer, fridge computer & lights! The beauty is I'm no longer affected by the blackouts, I can just stay comfortable at home while watching TV. I no longer have any electricity bills and I'm not spending hundreds in fuel for my generator.The installers were baffled at how simple it was to install as it all comes pre-wired and ready to connect. It also saved us money on installation fees as it took much less time and effort for the installers this was also. I'm also surprised on how well it functions on very cloudy days.I'm also happy how running this system does wonders for our environment we leave a legacy for our children there is no planet B so we need to be taking care of our earth.My lovely daughter Judith organised this for me. she loved that she was able to speak to real people, get answers in real time and have every question addressed thoroughly. My daughter understood what was involved. said yes lets go, and I'm glad we did!",5.0,5.0,5.0,5.0,6kW,"$12,500 to $15,000",Jinko Solar,OutBack Power,RedEarth,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_outback-power-technologies.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_redearth.png']",0,0
88498,Tapiwa,VIC - 3335,VIC,3335,True,2021-04-05,05 April 2021,4.0,,Sales and quoting process was good. the consultant was very attentive to the scope at hand. we have paid for a deposit and are awaiting installation in the next couple of weeks.,4.0,4.0,4.0,4.0,20kW,"More than $20,000",I don't know,Victron Energy,Pylontech,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_victron-energy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_pylon-technologies.png']",0,0
88311,Moz,NSW - 2800,NSW,2800,True,2021-03-30,30 March 2021,5.0,,"The quality of the system is the top of the line in Australia as far as I'm concerned!Thank you all - our new system is up and running and we are very pleased to have your product take pride of place in our home.Thanks to Sarah, Rachel & Goran for your assistance! Cameron, Mark and Peter did you've done a very neat job of the installation and I thank you all and your Red Earth Team for a job well done.With warm regards,Moz",5.0,5.0,5.0,5.0,8kW,"More than $20,000",Tindo Solar,Victron Energy,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_tindo-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_victron-energy.png']",0,0
