review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
132821,Richard,NSW - 2536,NSW,2536,True,2025-04-24,24 April 2025,4.75,,Easy process to supply and install the equipment.  Able to answer any question and very helpful proving product information. Good communication throughout.,4.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",,Sigenergy,Sigenergy,,5.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
128594,Andrew,NSW - 2539,NSW,2539,True,2024-12-03,03 December 2024,4.75,,"Ulladulla Solar provided me with lots of information and answered all my questions, and then some. I had done a lot of research beforehand, and being of electrical background, knew what they were saying. The installation went without a fault and the post installation was good. Highly recommend them",4.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Aiko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
123351,John,NSW - 2540,NSW,2540,True,2024-06-25,25 June 2024,3.5,,"The installation contractor was SolarHive (www.solarhive.netau (under construction ) or Facebook SolarHive). The workmanship was very professional and Scotty, the owner, had an excellent technical understanding of the solar panels, Enphase system and Enphase batteries. I would certainly recommend SolarHive for any future solar installation work. The connection to the Enphase system is excellent and the panels were split between the 3 phases.The initial quote was prepared by Ulladulla Solar which was very good and comprehensive. The salesperson was very friendly.Unfortunately, there was an issue with the compatibility between the REC solar panels (which are highly rated) and the Enphase microinverters. The microinverters had to be replaced with an earlier version with a low power cut-off. Unfortunately, this was not communicated to me during the proposal, and I was only told about this when the installer came to undertake the installation. It appears that this issue was brought up by the installer with Ulladulla Solar but not communicated to me. If this has been addressed during the proposal phase, I could have changed the configuration as I understand there are microinverters that have a higher power cut-off with the REC panels. Also, I may have changed the panels.Thus my 6.72kW system has now been reduced to a 5.04kW system. I just think this issue should have been highlighted early and not selling a 5.04kW system as a 6.72kW system. Thus, value for money has been rated low and Ulladulla Solar should have been aware of this issue.I was also given two start dates for the installation by Ulladulla Solar, but this did not eventuate. While I understand that the wet weather led to delays, it appears that there was a communication breakdown somewhere.",2.0,5.0,5.0,2.0,6.6kW,"More than $20,000",REC,Enphase,Enphase Energy,4.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_enphase-energy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_tesla.png']",0,0
121609,John,NSW - 2537,NSW,2537,True,2024-04-29,29 April 2024,4.5,,Sales quoting excellentInstallation completed by subcontractors. Tidy and punctualDid not follow up to assist with connecting to grid.,5.0,4.0,5.0,4.0,8kW,"$4,000 to $6,000",JA Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
111980,Louise,NSW - 2536,NSW,2536,True,2024-04-26,26 April 2024,4.75,,Clear and comprehensive information. Prompt action and installed promptly.Great customer service.Helped organise grid connection.,4.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",I don't know,Sungrow,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
120521,Hilton,NSW - 2537,NSW,2537,True,2024-03-22,22 March 2024,5.0,,Our setup has been running for 3 months and can’t fault it. From first meeting with John through to the final installation was completed to a very high quality.,5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Phono,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9d61a187fb51e02312cd6c4e37057eb50.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/ae6b70eb39b8beb8cfa9557436e096ba1.jpeg']",0,0
118246,Karin,NSW - 2536,NSW,2536,True,2024-01-10,10 January 2024,4.5,,"These guys were great, only ones to turn up and look over the property, communication was excellent , turned up when they said they would every time, install was smooth and tidy. I can’t fault these guys. You should use them…",4.0,4.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Phono,Sungrow,,5.0,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
113778,William,NSW - 2536,NSW,2536,True,2023-08-25,25 August 2023,4.0,,"Installation was tidy and  punctual, installers were very polite and helpful.",4.0,4.0,4.0,4.0,6.6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
112245,Robert,NSW - 2536,NSW,2536,True,2023-07-11,11 July 2023,4.0,,"Very happy with the the whole procedure. I thought all three quotes were good, not much between them. Price was not my only criteria, but Ulladulla Solar were the cheapest.",4.0,4.0,4.0,4.0,6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
111010,Peter,NSW - 2622,NSW,2622,True,2023-05-28,28 May 2023,4.5,,"The quote process was good. I was shown a couple of options and there was no sales pressure.We had a 16 Panel (Trina 415) 6,6kv system installed with Enphase microinverters. Scott and his offsider were pleasant to deal with and completed the job in about 6 hours. The workmanship looks great and the cleaned up any mess. They organised the grid connection.",4.0,5.0,5.0,4.0,6.6kW,"$8,000 to $10,000",Trina,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
