review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
137886,Carlo,NSW - 2250,NSW,2250,True,2025-09-29,29 September 2025,5.0,,Sales Person Samy was very patient as he helped me design a system that was right for me and fitted all my requirements.Quality install and helpful handover.,5.0,5.0,5.0,5.0,20kW,,Renogy LLC,Alpha Technologies,Alpha-ESS,5.0,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_renogy-llc.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
131787,Allan,NSW - 2852,NSW,2852,True,2025-03-22,22 March 2025,5.0,,Alex was very accommodating when designing my system and incorporated everything I wanted eg generator input and backup configuration.Installers arrived on time and did a neat job. Very quick and cleaned up after themselves.  System works very well so far.,5.0,5.0,5.0,5.0,15kW,"More than $20,000",Trina,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/fb2627f2c53d4e887ea429346862e3aa0.jpeg']",0,0
124967,Paul,NSW - 2193,NSW,2193,True,2024-08-13,13 August 2024,4.0,,Sales was efficient.Installation also prompt and efficient.Installation looks good except for piece of metal left on roof - potential future rust problem.They organised grid connect with change of meter.Connected to wifi.Short run down on using app.,4.0,4.0,4.0,4.0,6.6kW,"$2,000 to $4,000",Tindo Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_tindo-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
122744,Joanna,NSW - 2203,NSW,2203,True,2024-06-03,03 June 2024,5.0,,Good and helpfulPolite nice and tidy and good installationAll was great,5.0,5.0,5.0,5.0,9kW,"$4,000 to $6,000",Trina,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
121617,George,NSW - 2259,NSW,2259,True,2024-04-29,29 April 2024,5.0,,Great service with fast installing time and lovely installers. 13 kw system was installed within 2 weeks of signing and completed in 1 day. Very happy with the service provided by rescom solar.,5.0,5.0,5.0,5.0,13kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b7766d2529d14e66d30813551b3f35150.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/74b1538795caaeacfd45900e5979e74b1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/f12d03fd28cccd9d9f4c8312297d64fe2.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/af36f4eaaf5ffc22b49f7eb14ec5b1943.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/2e4efacd16017b00127e803be73172724.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9274e853746942e05f824fe47bf421e55.jpg']",0,0
121493,Tom,NSW - 2576,NSW,2576,True,2024-04-25,25 April 2024,4.75,,As AboveSales process Very GoodPolite and PunctualConnection Good,5.0,5.0,5.0,4.0,6.6kW,,Canadian Solar Inc,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
111465,Lazo,NSW - 2229,NSW,2229,True,2024-04-08,08 April 2024,5.0,,"From the three quotes that I received, only RenewCo bothered to come to my home and do a proper on site inspection. The other two wanted photos of my meter and the address. RenewCo were very professional and I would have gone with them if not for the price and the fact that they used optimisers (Solar edge) in their quote whereas I preferred micro inverters (Enphase). The panels from RenewCo were REC Alpha Pure R and the panels from Rescom were REC twinpeak 5. I know that the REC Alpha Pure R panels are better than the REC twinpeak 5, but they are not $4500 better. Also, seeing how Enphase micro inverters are dearer than SolarEdge optimisers, I found it hard to justify the cost difference. Furthermore, I received 15 years warranty on the micro inverters, compared to the 12 years warranty I was offered for the optimisers. Finally, the failure rate of micro inverters is lower than the failure rate of optimisers. I am very happy with my decision, and Rescom did a great job of the installation.",5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",REC,Enphase,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/2fe86b6bc30d937516fae296560ba02d0.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/43f3cb98f83e55722201934a9045d6681.jpeg']",0,0
116238,Rowan,NSW - 2045,NSW,2045,True,2023-11-04,04 November 2023,4.5,,"After getting more than 5 quotes, I spoke to Sam from Rescom who provided clear and helpful advice (without the up-sell - he suggested that waiting to see how the initial system performs before spending an extra $10K on a battery may be the best way to go). The quote of a little under $11K for a 12.35 kW system (Jinko panels, DC optimisers, SolarEdge inverters) was around the median - I obtained outlier quotes of less than $7K and more than $15K.The supply and installation occurred within 10 days of my acceptance of the quote. The installation itself was a smooth process taking about 4 hours.I couldn't turn my new system on for 3 weeks until the smart meter was installed, which was frustrating with a run of sunny skies but only partly the fault of Rescom for slightly delaying the submission of the request. My retailer, Dodo, needed to be chased up to have the smart meter installed.The system is now up and running, and generating >50 kWh per day on a sunny day. Thanks to Sam and Rescom for the support and service received to date.",4.0,5.0,5.0,4.0,13kW,"$10,000 to $12,500",Jinko Solar,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/21037403d157ba5171680400598e7f7e0.JPG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/19f42602316aeffde02fadfed624ed251.JPG']",0,0
115958,Malcolm,NSW - 2759,NSW,2759,True,2023-10-26,26 October 2023,4.5,,Salesman prepared to quote multiple brands in a timely mannerInstallation was done done within a week of signing up and they were very efficient and polite,4.0,4.0,5.0,5.0,10kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
114775,Sam,NSW - 2228,NSW,2228,True,2023-09-22,22 September 2023,4.5,,Installation was done within a week of signing the contract. Installation was professional and clean. Price was competitive and the sales responded quickly to questions.,5.0,4.0,5.0,4.0,13kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,5.0,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
