review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
134909,Lawrence,QLD - 4812,QLD,4812,True,2025-07-03,03 July 2025,5.0,,"The process of getting your electrical needs sorted by Doug and his team is second-to-none. From initial enquiry, to site visit and quoting, Doug excels. Installation is speedy, and with great product knowledge. The installation work is some of the neatest I've seen, and comes up with practical solutions to regulatory requirements for things like battery placement. Everything just works, and always for a fair price - I've had Doug install multiple solar and battery setups in the last few years at my homes, and he keeps me coming back for more!",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",Canadian Solar Inc,Sungrow,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
105906,Gary,QLD - 4818,QLD,4818,True,2022-12-02,02 December 2022,5.0,,"Doug was excellent, covered everything and the install was completed professionally.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
103478,David,QLD - 4814,QLD,4814,True,2022-09-10,10 September 2022,5.0,,Knowledgable and friendly service. Excellent communication at all times. Highly recommended,5.0,5.0,5.0,5.0,7kW,"$8,000 to $10,000",Canadian Solar Inc,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
91263,Damian,QLD - 4810,QLD,4810,True,2022-03-05,05 March 2022,4.5,,"Good communication, helpful some small extra tasks and kept to agreed timelines.",4.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0b978ac1690d369f3559c1aef734e9900.jpg']",0,0
95977,Robert,QLD - 4817,QLD,4817,True,2021-12-07,07 December 2021,5.0,,"Doug was very good, has an excellent and thorough knowledge of the product and explained very well. Continues to follow up also which was great customer service. Will continue to ise.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
95524,Matthew,QLD - 4814,QLD,4814,True,2021-11-23,23 November 2021,5.0,,Quote received quickly. Installation date was soon.workmanship is quality.Easy and excellent communication from Doug.,5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",Canadian Solar Inc,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
86552,Sharon,QLD - 4818,QLD,4818,True,2021-10-02,02 October 2021,5.0,,"The whole process, from quote to installation went well. Was kept informed along the way and connection to the grid was also organised by the installer. Was punctual and courteous, would highly recommend.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",Canadian Solar Inc,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
92300,Zane,QLD - 4811,QLD,4811,True,2021-08-13,13 August 2021,4.75,,"The process of using Solar Quotes was a quick, efficient & trustworthy experience.I had 2 reputable installers visit my home & provide proposals.After putting the idea of Solar off for many years due to the many bad eggs within the industry,  Solar Quotes were able to help eliminate this.As someone in the construction industry, I did not have the time to review & vet all the installers in the market, instead, I could trust Solar Quotes would provide reputable installers that would complete a professional & reliable system.I opted to go for the smaller retailer in Reward Energy & Cooling.  Doug was very knowledgeable, provide a good product & was honest about the process of solar.He installed on the scheduled day & finished a 7.2 Kw system by 2pm that afternoon. This was all done with an 8 week old baby within the house.So far the system has been performing well and Doug was quick to rectify any commissioning issues that were present.This was a painless experience that was long overdue.Zane.",5.0,5.0,5.0,4.0,7kW,"$6,000 to $8,000",Canadian Solar Inc,Enphase,,,1.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/bf4a5302456f96e47c5f2d5640cdafc00.jpg']",0,0
91727,Matt,QLD - 4818,QLD,4818,True,2021-07-25,25 July 2021,5.0,,"We decided to go with Doug from REC because of his knowledge, experience and his willingness to answer any and all questions without any pressure to secure a sale. We live in Sydney and we’re buying solar for our place in Townsville that we will be moving into early next year.As I imagine like most people buying solar we knew very little about solar, we’d done a fair bit of research online but a lot of the info we found contradicted each other which left us at square one. Doug took the time to answer all our questions and to give us an understanding of how things work and why he uses the products he uses. There was zero pressure to buy or go ahead with REC, Doug just wanted to make sure we had all the information and understanding so we could make an informed decision about solar.Once we decided to go ahead with REC the whole experience was so smooth, being that we live in Sydney Doug had to liaise with our tenants for the install which wasn’t a problem. Our tenants said the team from REC were super friendly and professional, left the place as they found it and walked them through the Enlighten app for monitoring each panel and system performance.Could not fault REC and would recommend them for anyone who wants a Solar.",5.0,5.0,5.0,5.0,7kW,"$4,000 to $6,000",Canadian Solar Inc,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
84680,Zac,QLD - 4814,QLD,4814,True,2020-12-12,12 December 2020,5.0,,"Got Enphase microinverter system with Q Cells panels through Reward Energy and Cooling. Doug Fordyce was prompt, knowledgeable and also a great bloke from quoting through to completion. Job was done quickly and professionally, and looks great too. All round and excellent experience,  and I would highly recommend Doug and Reward Energy and Cooling.",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",Qcells,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/840255d8732ba5ae6a4a9cb0a95b144d0.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/840255d8732ba5ae6a4a9cb0a95b144d0.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/547d97ce5f41189714ed3e0f89db6fa41.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/547d97ce5f41189714ed3e0f89db6fa41.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a6a265d0631321255a86e318c01b44c22.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a6a265d0631321255a86e318c01b44c22.jpeg']",0,0
