review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140094,Matt,QLD - 4216,QLD,4216,True,2025-11-18,18 November 2025,5.0,,"Fantastic installers. System works great, currently have a positive bill",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",TW Solar,SAJ,SAJ,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_tw-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_guangzhou-sanjing-electric.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_saj.png']",0,0
138611,Ashley,QLD - 4124,QLD,4124,True,2025-10-16,16 October 2025,1.0,,"Ryde Energy 30kw battery - paid $686 deposit after they said 4 weeks installation.  Then they rang and said 10 weeks away.  I am new to all of these batteries so I saw the previous company I signed up for offering a 50kw battery for $7200 installed.  I asked if they could match it, they couldn't so I went with VoltX and asked for a refund.  ""Company policy is no refunds"".  VoltX gave me a refund no questions asked.  I don't know of any company in 2025 who would keep $686 for doing nothing, still 6 weeks away from my booking, plenty of time to change it to someone else. They said they were all booked up and selling heaps of batteries.It's just bs. UnAustralian. VoltX refunded after weeks.If you put a deposit on a car even a bloody used car salesman gives you your deposit back.  I read some product reviews which I should of done earlier but I heard an Australian and thought I can trust him.  Looks like you earn a tidy income by keeping people's deposit money. 1 person said 1-2 days and they flat out refused. Unbelievable.Companies policies don't excuse them from treating others the way they would like to be treated if they were a customer themselves.  I have nothing in writing with any dates. I am thinking that is probably intentional because I read a few where no one turned up on the day planned.Definitely not the way an honest business is run with or without policies to blame.Absolutely disgracefulAshley",1.0,1.0,1.0,1.0,,"$6,000 to $8,000",,,Sofar,,,1.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_sofar.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_earth-ev.png']",0,0
136425,Kerrie,QLD - 4011,QLD,4011,True,2025-08-25,25 August 2025,1.75,,"Quote process was easy, polite but that's where the good experience stopped with this company. Customer service was combative and unhelpful.On day of installation was informed they couldn't install the size system they'd quoted and supplied documentation for. I asked if there was any roof space that was unused in the quote - yes was the answer but the panels would be in the shade during winter - causing a small drop-off during the winter months. I thought - a small drop-off was an acceptable compromise.It didn't take too many days to find out that it was an enormous drop-off as those panels pulled down production of 8 others they were connected to. As much as I contacted the company they wouldn't concede this was the case, even though the data from the App backed up what I was saying.Long story short - after a complaint to the Office of Fair Trading - the company maintained their denial that the 3 panels were causing a massive drop off and stated taking them out of the system wouldn't be beneficial to better production. Having 15 panels on my roof - I was only producing 6-7 kws on average per day.I engaged an independent solar electrician who was horrified - he disconnected the 3 panels from the system and over the past 2 days I've generated 28.9kws on both days.I do not recommend this company - I have other issues with the installation which I'm still trying to get sorted 4 months down the track.",2.0,2.0,2.0,1.0,6kW,"$4,000 to $6,000",I don't know,I don't know,,,,,False,[],0,0
132809,Alan,QLD - 4170,QLD,4170,True,2025-04-23,23 April 2025,5.0,,,5.0,5.0,5.0,5.0,13kW,"$4,000 to $6,000",,SAJ,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_guangzhou-sanjing-electric.png'],0,0
129935,Ross,QLD - 4019,QLD,4019,True,2025-01-18,18 January 2025,3.75,,"House currently under construction, Installation is planned for late February.",5.0,3.0,4.0,3.0,10kW,"$12,500 to $15,000",TW Solar,SAJ,SAJ,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_tw-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_guangzhou-sanjing-electric.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_saj.png']",0,0
129200,Jonathan,QLD - 4207,QLD,4207,True,2024-12-19,19 December 2024,1.0,,"If anyone if considering using Ryde Energy for their solar installation, perhaps you may wish to read my recent experience first:Building a new house so wanted to take advantage of a pre-wire so we could avoid conduit on the roof and walls. The whole point of a pre-wire is to ensure associated wiring is set up before the house is finished so that all is visible on the roof is panels and inverters on the wall. Ryde Energy did not complete the pre-wire in the roof space when there was ample opportunity to do so (i.e. when the house was simply a frame and roof with access scaffolding in place) so I’m now left with exposed white conduit (against a dark background) running across the garage roof up the house wall to the upper roof, where there is more visible conduit between panels. Quite frankly it looks shit and defeats the whole purpose of having a pre-wire.Then there is the whole situation with the inverters. Ryde Energy’s electrician turned up on site with a 3 phase inverter, but the pre-install was set up for 2 single phase inverters. To accommodate this change, we needed to chase 4 bricks out of my brand new home to reposition the wiring for the 3 phase inverter. Once we had done this, the electrician then informed me that he’d made a mistake and we required 2 single phase inverters after all!!! So my wall was damaged for no reason and I was left to patch it up as best I could (at my cost of time and materials).Finally after the installation was supposedly complete, there were panels positioned well above the top of the roof pitch on one side (so could be seen from the other side), and some overhanging the gutter (so rain would fall from the top roof directly on to my garage). Also they did not evenly cut all the railings.This was supposed to be a fantastic and exciting chapter for my family, with a lovely new home to live in. House aesthetics are important to us, hence the request for a pre-wire as we wanted as little impact on the house exterior as possible. Now we are left we a solar system that looks ill thought out and a mess.Not a happy customer Ryde Energy.",1.0,1.0,1.0,1.0,10kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
127868,Simon,QLD - 4014,QLD,4014,True,2024-11-13,13 November 2024,4.75,,The sales and quoting process from Ryde Energy was detailed and comprehensive and they were more than happy to explain the system and brands of components they recommended. The installation was efficient and carried out by Ryde Energy's own staff. They guys arrived on time and did a neat and tidy job of the install. Ryde is also organising the grid connection post install too. So far the service from start to finish has been exceptional.,5.0,4.0,5.0,5.0,13kW,"$4,000 to $6,000",TW Solar,Growatt,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_tw-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
126958,Barbara,QLD - 4179,QLD,4179,True,2024-10-16,16 October 2024,5.0,,The quoting process was easy & fast.The installation went smoothly. The installers were highly motivated and friendly. They left my place tidy. The installation was done in 3 steps and needed around 10 days.The installer helped me with installing the app on my mobile phone.,5.0,5.0,5.0,5.0,10kW,"$4,000 to $6,000",,,,,,,False,[],0,0
121348,Anthony Erle,QLD - 4550,QLD,4550,True,2024-04-19,19 April 2024,4.75,,From initial contact through to installation customer service was paramount. Salesman gave the best advise and answered all my questions that you helped me ask...Installation waiting time was at first lengthy but gave me the option to get it earlier if the opportunity arose. From deposit paid to completion of works was within a month.Explanation on how it all works and setting up the app to monitor very easy.Very happy with outcome.,5.0,5.0,4.0,5.0,13kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,4.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
116993,Rosita,QLD - 4227,QLD,4227,True,2023-11-29,29 November 2023,3.25,,"We had solar installed on our roof by this company . Unfortunately they broke 10 tiles on our newly repaired roof (replaced tiles pointed, sealed and painted roof approx. 8 weeks ago).  When we asked about them repairing it they flatly refused stating that tiles will get broken depending on the condition of the roof. We understand that maybe 1 or 2 tiles  but 10 I believe is an excessive amount. (We have had solar panels put 2 previous older homes and had no broken tiles)  We have been quoted  $400.00 to repair 10 tiles approx. $10 each and for the repairer to come to replace them, coat and paint them. So we are now out of pocket as they refuse to pay for this repair.",3.0,5.0,4.0,1.0,6kW,"$2,000 to $4,000",,,,,,,False,[],0,0
