review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140448,Mark,QLD - 4275,QLD,4275,True,2025-11-25,25 November 2025,5.0,,"From the moment SGS came into the picture with their quote from SolarQuotes it was easy and went along really smooth.I was that impressed by the team that I also got them to replace some failing split system air conditioners. If that doesnt say enough, I dont know what else will.",5.0,5.0,5.0,5.0,20kW,"More than $20,000",TCL (Other),Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
140359,Vinod,QLD - 4209,QLD,4209,True,2025-11-23,23 November 2025,5.0,,"I recently went with SGS Solar, and the entire experience was excellent from start to finish. Their pricing was very competitive compared to other quotes I received, and communication was always clear, quick, and easy.The installation team was professional, punctual, and worked efficiently. They completed the job much faster than I expected, and the workmanship was clean and high-quality. Everything was explained properly, and the system has been performing well since day one.Overall, I’m extremely happy with SGS Solar and would confidently recommend them to anyone looking for a smooth, reliable and well-priced solar installation. Great service and a great company to deal with!",5.0,5.0,5.0,5.0,more than 30kW,"$15,000 to $20,000",Jinko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/f2fb41bef1338ab75d1c305bcf9de3f90.jpg']",0,0
135085,Sian,QLD - 4217,QLD,4217,True,2025-07-07,07 July 2025,5.0,,Quote to install was smooth and the actually turned up to take a look at the roof,5.0,5.0,5.0,5.0,20kW,"$12,500 to $15,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
134818,Danny,QLD - 4214,QLD,4214,True,2025-07-01,01 July 2025,4.75,,"Sales and information was excellent.Installation was on time, tidy, and very good.Great assistance and knowledge with setting up.",5.0,4.0,5.0,5.0,15kW,"$6,000 to $8,000",Trina,SAJ,SAJ,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_guangzhou-sanjing-electric.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_saj.png']",0,0
133825,Anthony,QLD - 4227,QLD,4227,True,2025-05-27,27 May 2025,5.0,,What a great team! Quote was swift after initial inquiry. Glenn went through everything in detail without blinding me with science. The install was excellent as we were also in the process of repainting the roof so SGS were more than happy to work around the other trades time frames. Performing the install in two parts to suit. Extremely happy with the service and the quality.,5.0,5.0,5.0,5.0,13kW,"$6,000 to $8,000",,,,,,,False,[],0,0
130797,Sharron,QLD - 4209,QLD,4209,True,2025-02-17,17 February 2025,5.0,,"Glenn,Alex and the team were fantastic to deal with. They were honest, reliable, hard working and a pleasure to work with. The installation team left the job sight spotless and were kind and respectful the whole time.Alex connected me to the apps I needed and was patient and explained everything well.I highly recommend this fantastic business.",5.0,5.0,5.0,5.0,13kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
126510,Andrew,QLD - 4207,QLD,4207,True,2024-10-02,02 October 2024,4.25,,Everything was done very smoothly. Good job done by installers.,4.0,4.0,4.0,5.0,10kW,"$6,000 to $8,000",,,,,,,False,[],0,0
116834,Bev,QLD - 4212,QLD,4212,True,2023-11-23,23 November 2023,2.25,,"The quoting process and installation was fine and all the above issues were met in a timely and pleasant manner.However the after sales service has been almost non existent.  My first phone call was promptly returned.On October 27 our inverter disconnected from Wi-fi.  Of course we did not understand why and the repercussions thereof, so I phoned SGS at 7.52am and left a message.  With no response to my call I phoned again at 11.01 to the mobile and at 11.38 to landline no.  I was understandably anxious.  My calls were returned at 12.06 pm and clearly not well received.  I was told that ""I told you I would always get back to you.  If you expect me to keep coming out to you there will have to be charges involved.  I took this as a veiled threat and am reluctant to call again.  I had not asked or expected him to come out to me; I was just after some explanation.  He sent me a link to reconnect, but despite many many attempts this did not happen.  I let him know this and he said he would send someone around that day.  He later sent a text to say they had had a big day and would not be coming. The next day the inverter was up and running again and was described as a ""glitch"".  On November, I advised that the inverter again disconnected from the Wi-f and that once again that I had followed the instructions to reconnect  but again could not effect reconnection.  He contacted me on Monday and said someone would come around that morning and I told him I was not home till after 1.00pm.  Still have not had any follow up.I decided to put in an enquiry direct to Goodwe.  And when doing this on or about 18 or 19/11 I went out to check the Serial no and discovered that the inverter was again disconnected from Wi-fi.  3 times in this short period of time signals more that a ""glitch"".  Particularly as everything else was still connected.If I don't get a favorable response from Goodwe, my next step will have to be Fair Trading/Obudsman.  I have paid out good money and don't think my expectations are too high.To add insult to injury before the installation I enquired about a Sungro inverter but was told they were not available in 3 phase which I later found out was incorrect.  No happy Jan.",2.0,2.0,4.0,1.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Goodwe,,,1.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
113296,Matthew,QLD - 4209,QLD,4209,True,2023-08-11,11 August 2023,5.0,,"SGS were a pleasure to work with especially given the more “custom” requirements of my install. Great workmanship, communication and service overall.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
112659,Paul,QLD - 4212,QLD,4212,True,2023-07-25,25 July 2023,5.0,,"I highly recommend using SGS Electrical for your Solar installation. I obtained 5 quotes from different suppliers and Glen was by far the most helpful, professional, and competitive. He offers the best quality products, and several options for consideration. Glen explains very well in plain English that is easy to understand. He does what he says he will do, kept me informed at every stage, was always available for phone calls, texts, or by email. The customer service is excellent. The installers were also professional and friendly, cleaning up after themselves and explaining how the system works. We are very confident that we got quality products at a competitive price through an honest and trustworthy operator giving good old fashioned service.",5.0,5.0,5.0,5.0,9kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
