review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
120472,Michael,SA - 5116,SA,5116,True,2024-03-20,20 March 2024,5.0,,Lucas from solarlab was very professional and informative. Nothing was ever any trouble. He would contact me back asap.  Whenever I had any questions. The installation was great. Arrived when they said. Didn't leave until the job was completed. Very professional. Worked on my house like it was there own. Grid connection was all sorted by them after install.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",,Goodwe,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
107882,Alby,SA - 5171,SA,5171,True,2023-12-03,03 December 2023,4.5,,Courteous and professional installation by focussed technicians went smoothly.Great company to work with.,4.0,5.0,5.0,4.0,9kW,"$8,000 to $10,000",Trina,Fronius,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d237dac148e4dc18ff4f133fc4588ace0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b44f218b8c1240c91ce75ec62ba3e9501.jpg']",0,0
114935,Lynton,SA - 5112,SA,5112,True,2023-09-27,27 September 2023,4.5,,"From my original contact with Sales, to operations/coordinator of works, and then installation of system, I was very pleased with the respect & courtesy everyone displayed towards me.Every process and procedure was laid out to me, and I couldn't be more pleased with the entire process of buying and installing the Solarlab Solar System.I applied for many quotes, and Solarlab impressed on many levels.My system is only 1 week in, but I can already appreciate it's ability, as the app provided easily displays what is happening in real time.I thank, and recommend all the team at Solarlab. Cheers. Lynton. (SA)",4.0,4.0,5.0,5.0,7kW,"$6,000 to $8,000",,Goodwe,,,4.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
114771,Dave,SA - 5501,SA,5501,True,2023-09-22,22 September 2023,4.0,,Most pleasing was the flexibility on price. Matching competitors was an advantage. System installed as scheduled with no issue. Frequent correspondence prior to installation with the service provider. System up and running. Should have done this sooner. My house runs purely from solar during daylight hours. A great investment. Say goodbye to bill shock.,4.0,4.0,4.0,4.0,9kW,"$6,000 to $8,000",Axitec,Sungrow,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_axitec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
114209,Michael,SA - 5163,SA,5163,True,2023-09-07,07 September 2023,5.0,,The quoting process was clear and helpful and they provided guidance in regards to the 4 different panel systems we asked them to quote and the info as to how they would work with our Tesla 2 power wall the install was done in 2 days and i am very happy with the hole process from start to finish,5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",REC,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
111143,Ben,SA - 5052,SA,5052,True,2023-06-01,01 June 2023,5.0,,The communication was very good. I didn't feel as though I was getting the 'salesman' pitch with the initial phone call. They were very happy to answer all my questions factually and address my concerns. The install was prompt and done to a very high standard. The price was as quoted which I was happy with. I would be happy to highly recommend Solarlab.,5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Trina,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
110162,Linda,SA - 5090,SA,5090,True,2023-05-03,03 May 2023,5.0,,Company was easy to deal with and everything seems to be completed as promised,5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
110022,Davo,SA - 5085,SA,5085,True,2023-04-28,28 April 2023,5.0,,"The sales/quoting process was a breeze. I got several quotes and the guys at SOLARLAB rose to the occasion. They were not the cheapest quote that I got and there were several more expensive but the sales rep, form SOLARLAB seemed more interested in customer service rather than just trying to sell a solar system. Each time I had a question I just rang up and got an answer on the spot or they got back to me ASAP.The installation went really well. The three guys worked as a team. They were polite, tidy and punctual.I can not complain about the customer service, in fact, it was brilliant. After the installation was complete they showed me which App to get on my phone and whats more, they showed me how to use it. So now I can see how much power I am generating, how much I am using and how much I am feeding back into the grid.Thanks so much SOLARLAB",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",REC,Fronius,,5.0,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
100412,Laurence,SA - 5091,SA,5091,True,2023-04-06,06 April 2023,4.75,,"So far all good. Quick installation, and assistance once our providers smart meter was installed. All contact with Solar Lab, has been courteous and prompt. I would recommend this company.",5.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",LONGi Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
96912,Brian,SA - 5062,SA,5062,True,2022-09-12,12 September 2022,4.75,,"Installation was prompt by a very professional team.The SunGrow inverter did not work and had to be replaced.The second one did not work.It had to be set to China provider then changed to Australian.Probably a fault of SunGrow, not SolarLab.Working well now with a great mobile phone app.",5.0,5.0,5.0,4.0,6.6kW,"$6,000 to $8,000",Axitec,Sungrow,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_axitec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
97848,Judith,SA - 5114,SA,5114,True,2022-02-15,15 February 2022,5.0,,"The sales person was very pleasant to speak with.  A clear speaking voice was great and he took my suggestions and gave quotes on two options.The installation team were excellent.  They were prompt and obviously worked well together.The grid connection was done without a hitch two weeks after panel installation.The process generated many emails with all relevant information, electrical certifications, warranty details etc.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
87496,Sam,SA - 5062,SA,5062,True,2021-12-14,14 December 2021,4.5,,"The initial customer service from the salesperson was outstanding. The shading from trees, the age of my house and the old switchboard made this a more complex and expensive job, but the SolarLab team were persistent about solving the issues that arose, particularly with the energy retailer. The installation was very neatly and impressively done. The communication with SolarLab, throughout the 4 week timeline from day of panels going on to finalisation of the switchboard and meter upgrade, was good. To have partnered with such a friendly and high quality team made it an overall positive experience. Of course, now I have the system running as it should, I am very happy. Thanks SolarLab!",4.0,5.0,5.0,4.0,6.6kW,"$6,000 to $8,000",LONGi Solar,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
96088,Jonan,SA - 5087,SA,5087,True,2021-12-10,10 December 2021,4.75,,Extremely quick quotation. Able to reply text messages on weekend. The installation went smooth and quite tidy. Customer service were slightly slow to respond but able to meet all my requirements.,5.0,5.0,5.0,4.0,5kW,"$4,000 to $6,000",Axitec,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_axitec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
85270,Stephen,SA - 5169,SA,5169,True,2021-09-07,07 September 2021,4.5,,Solarlab are a great company to deal with they are on time they keep the job clean they are polite and they kept to the quote that was given,4.0,5.0,5.0,4.0,8kW,"$8,000 to $10,000",LONGi Solar,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
91347,James,SA - 5251,SA,5251,True,2021-07-08,08 July 2021,4.75,,"Overall very happy with whole process.Sales/quoting process was prompt, professional & informative.Installation in one day was smooth despite slow start due to condensation on roof. Outstanding technical issue resulting from complications of existing system was explained & resolved promptly in days following. Install waa neat & tidy with all rubbish removed from site.Installers were all very polite, suitably dressed and identifying Solarlab.Customer service was outstanding with constant & clear communications through each step of process.",5.0,5.0,4.0,5.0,4kW,"$4,000 to $6,000",LONGi Solar,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
87931,Anne,SA - 5152,SA,5152,True,2021-03-18,18 March 2021,5.0,,"Salesman covered everything and answered all of my millions of questions.Installation was quick and efficient with polite, respectful workers.Had a few issues getting the Enphase system to report properly with our two phase meter system, but the electricians came back promptly and sorted the problem.",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",Hyundai Solar,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
87637,Kevin,SA - 5043,SA,5043,True,2021-03-10,10 March 2021,4.5,,The sales team had a good understanding of my solar requirements and went the extra mile to offer solutions to my problems. The team is honest and checks with the client after installation to ensure that everything went okay. Questions and issues were resolved ASAP where possible.,4.0,5.0,5.0,4.0,6.6kW,"$6,000 to $8,000",LG,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
