review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
138742,Ian,NSW - 2430,NSW,2430,True,2025-10-21,21 October 2025,5.0,,"Terry was very prompt at responding to our quote request, was the only quoted to actually attend in person & was able to see the site & quote appropriately to our setup & requirements.Installation went very smoothly, the 4 installers were very punctual, tidy, professional & efficient. The whole installation of 18 new panels, gateway & 3 batteries only took 6 hours.We were shown how to use the system & to understand all major components, linked into the App to monitor our system & shown how to tailor the Sigenergy system to our needs.Kathy was very efficient during the whole process, keeping us updated with dates etc. Also, on request, Terry also provided us with the link to the Origin / SolarQuotes Partner Plus energy plan after installation. Very impressed with the system purchased & the whole quoting and installation process.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Canadian Solar Inc,Sigenergy,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/422841fb7bd35dcd6b04d01f637909fb0.jpeg']",0,0
136870,Stephen,NSW - 2427,NSW,2427,True,2025-09-06,06 September 2025,5.0,,"I am very happy to recommend SolaXs for solar and battery installation.From the very beginning, Terry arrived on site and provided excellent advice, answering all my questions clearly and helping me choose the right system to meet my needs. Since accepting quote, government announced the rebate and stock had been hard to acquire. SolaXs kept me up to date with expected arrival dates on stock and gave me options to speed up installation if I preferred. Installation process went smoothly with the team demonstrating professionalism throughout, and completing the job efficiently, even when asked to hardwire ethernet as last minute decision on my part.They were courteous, tidy, and left the site spotless after finishing. I highly recommend SolaXs to anyone considering solar installation—they truly deliver top-notch service and quality workmanship.",5.0,5.0,5.0,5.0,7kW,"$15,000 to $20,000",Canadian Solar Inc,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
134359,Jane,NSW - 2428,NSW,2428,True,2025-06-15,15 June 2025,4.5,,All Good - Every thing worked out well took little time,5.0,5.0,4.0,4.0,6.6kW,,,,,,,,False,[],0,0
133581,Geoff,NSW - 2428,NSW,2428,True,2025-05-20,20 May 2025,4.0,,"The Sales Rep was very good and knowledgeable, happy to spend time with you so you can understand the quote. Installation went well, tidy work.",4.0,4.0,4.0,4.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
133193,Nick,NSW - 2444,NSW,2444,True,2025-05-07,07 May 2025,5.0,,"I am very happy with my experience with SolaXs. From the very beginning, Terry provided excellent initial advice, answering all my questions clearly and helping me choose the right system for my needs. The installation process went smoothly with the team demonstrating professionalism throughout, and completing the job efficiently. They were courteous, tidy, and left the site spotless after finishing. I highly recommend SolaXs to anyone considering solar installation—they truly deliver top-notch service and quality workmanship",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Canadian Solar Inc,Sigenergy,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/77803970b15351daa818472bfc946c8d0.JPG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/71b04e0be3bb10a3b413d5d93c2db18f1.JPG']",0,0
131693,Graham,NSW - 2446,NSW,2446,True,2025-03-19,19 March 2025,5.0,,"Sales and quoting was clear and covered all aspects needed. Punctual, excellent communication and quality system. Connection to grid promptly organised.",5.0,5.0,5.0,5.0,8kW,"$4,000 to $6,000",Canadian Solar Inc,Goodwe,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
131368,Greg,NSW - 2444,NSW,2444,True,2025-03-07,07 March 2025,3.75,,Quote process was easy all companies were very happy to explain the process and to talk about changes to the system. The installation team were tidy and friendly and after installation they explained the operation of the system and arranged grid connection,4.0,4.0,4.0,3.0,10kW,"$8,000 to $10,000",Trina,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
130368,Narene,NSW - 2430,NSW,2430,True,2025-02-02,02 February 2025,5.0,,"Terry the owner of the business came out and quotedThe guys working for Terry were extremely professional and polite, cleaned up after themselves and were on time.Yes I was shown how the system worked and they connect my phone so that I could monitor my savings.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
128776,Charlie,NSW - 2443,NSW,2443,True,2024-12-08,08 December 2024,5.0,,Terry answered all of my questions and explained why and how the difference between quotes occurred.His team arrived on time and the job was completed with no fuss and left no rubbish.,5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",Trina,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
126935,Jim,NSW - 2439,NSW,2439,True,2024-10-15,15 October 2024,5.0,,"The quoting process was smooth and easy,The installers were punctual, tidy and polite.Customer service was good.",5.0,5.0,5.0,5.0,6.6kW,"$15,000 to $20,000",Canadian Solar Inc,Goodwe,Goodwe,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_goodwe-battery.png']",0,0
125852,John,NSW - 2444,NSW,2444,True,2024-09-10,10 September 2024,4.0,,"From the time I first contacted SolaX they were very polite & informative.The sales person Gary was really knowledgeable and no question was too hard to answer.The sales office kept us informed to what and when things would happen with the installation and when it came to the installers they were very friendly, and across what would happen.The work was very good - they were particular with the way they went about their tasks and tidied up when they finished. They explained how it all works and setup the app on the phone for me.",4.0,4.0,4.0,4.0,8kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
124117,Lee,NSW - 2430,NSW,2430,True,2024-07-20,20 July 2024,4.5,,"Easy process   Inspection on site , quote given and accept then solar system installed and operational within 5 weeks",4.0,4.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,Goodwe,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
123763,Stewart,NSW - 2444,NSW,2444,True,2024-07-09,09 July 2024,4.75,,"Completed yesterday and in a timely manner.Tyrone, James  were both capable and professional  . Asissited by .Daniel and SteveOn TimeGrid connection was enabledQuoting process straight forward",5.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
123727,Joan,NSW - 2446,NSW,2446,True,2024-07-08,08 July 2024,4.5,,"Decided to go with Solaxs and from the start the experience was exceptionalThey arrived at 8am as agreed and were straight in to installing it. They queried about PV panels on one side of the roof under a tree line, but once advised the 2 trees were (are) to be removed, they understood the reasoning, but we appreciated their concern.One row of PV panels didn't align the the row above - looking a bit disjoined - mentioned this and they returned the next day without hassle and rearranged to all line up.The job was completed in a day (WOW) and they explained they would need to return the next day to input a code for operations. On his return, Torrens was patience and practical in explaining and answering my numerous questions.System as been running for a few weeks now and I can't wait for the next power bill so I can see the actual savings :)",4.0,4.0,5.0,5.0,10kW,"More than $20,000",Canadian Solar Inc,Goodwe,BYD,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
123204,Barbara,NSW - 2428,NSW,2428,True,2024-06-19,19 June 2024,5.0,,"From the very beginning this Company was very professional and the only company that explained the system and battery options and how they worked without the hard sell.The young men who came to install the system were very polite, hard working and tidy. They even brought their own microwave so they didn’t intrude. I honestly can’t recommend them highly enough.",5.0,5.0,5.0,5.0,7kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
123120,Sandra,NSW - 2431,NSW,2431,True,2024-06-17,17 June 2024,5.0,,"The quoting period was very good, representative of the company came out to the property. The installation team were great, polite and very helpful. SolaXs also organised the grid connection. We had the inverter put in garage. Very happy with the installation and after sales service as I had a couple of questions.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/56b56d27b2d3128560b8af016ba3eadc0.jpg']",0,0
122146,Sean,NSW - 2445,NSW,2445,True,2024-05-14,14 May 2024,4.0,,Ony Supplier that come to my house and gave a competitive quote,4.0,4.0,4.0,4.0,13kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
111453,Gary,NSW - 2440,NSW,2440,True,2024-04-07,07 April 2024,5.0,,The solarxs team completed the job professionally and on schedule..thankyou,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
120862,PHILLIP,NSW - 2430,NSW,2430,True,2024-04-03,03 April 2024,5.0,,Great service.  Prompt site visit and quoting and offered great advice tailored to my needs and corroborated the research I had already done. I can highly recommend.,5.0,5.0,5.0,5.0,8kW,"$15,000 to $20,000",Canadian Solar Inc,Goodwe,BYD,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
120689,Raymond,NSW - 2427,NSW,2427,True,2024-03-27,27 March 2024,4.75,,"The Gentleman gave me a reasonable quote which I accepted, the installation date was set and punctual, they arrived on time did the installation and cleaned up at the end.The next day they organised the grid connection, all went well.",4.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,,1.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
120640,Chris,NSW - 2444,NSW,2444,True,2024-03-26,26 March 2024,4.75,,"The sales and quoting process was straightforward.The installation process was impressive , Quality material and workmanship the team arrived early and the system 18 panels and 6 kw inverter battery ready was functioning properly by lunchtime.including all regulatory requirements.The application to replace the existing meter with a smart meter is organised.",5.0,5.0,5.0,4.0,8kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e4c477ab819b8c5f51dc440b98f17f220.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/fe993f26ee34b15b68bf1a6735b44d401.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1a0b0e405b4f69b5831ef97e3637ab5b2.jpeg']",0,0
120081,Caroline,NSW - 2440,NSW,2440,True,2024-03-10,10 March 2024,5.0,,Emotional customer service.  They explained the everything and took care of everything.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
109852,Bruce,NSW - 2428,NSW,2428,True,2024-02-20,20 February 2024,5.0,,"I decided to purchase the new system from SolaXS of Port Macquarie. Terry arrived punctually to discuss my options and answered any queries I had in an informative manner.The price was as I expected (not dissimilar to the other quotes) and the installation date suited me better than the other firms.Installation was carried out without fuss. The installers were punctual, polite and tidy.SolaXS arranged the grid connection as well as the changeover of my existing meter to a smart meter.I would not hesitate to recommend them to anyone wishing to install a solar system.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
119373,Steve,NSW - 2430,NSW,2430,True,2024-02-17,17 February 2024,5.0,,"Extremely happy.SolaXs did fantastic work. The communication of the process and dealing with the electricity companies was great for me not to deal with.The advice on sizing was important and saved me some money.And the end result and quality of the install I’m very happy with.Now running 100% off grid so far.Purchased 19 panels, 6KW inverter and 8KW batteries.",5.0,5.0,5.0,5.0,6.6kW,"$15,000 to $20,000",Canadian Solar Inc,Goodwe,BYD,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
116698,Lauren,SA - 5116,SA,5116,True,2023-11-17,17 November 2023,5.0,,"The service providers who assisted in arranging the installation for this inverter replacement and also the installers who fit the new inverter were very helpful, professional, and accommodating, and demonstrated excellent communication without any problems. I am very happy with this company and recommend them to anyone looking to have their inverter installed.",5.0,5.0,5.0,5.0,2kW,"$0 to $2,000",,SolaX Power,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png'],0,0
113015,Bronwyn,NSW - 2444,NSW,2444,True,2023-08-03,03 August 2023,5.0,,"Quote was as expected, great customer service, smooth installation. Very satisfied customer. Happy to recommend publicly.",5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",,,,,,,False,[],0,0
112933,Michael,NSW - 2444,NSW,2444,True,2023-08-01,01 August 2023,5.0,,"SOLAXS is a fantastic business, with excellent customer service and friendly, professional staff. I would highly recommend them. Local owners and contributes to the local community.The system itself is excellent, of great quality and I love the app that connects so you can track your usage and solar contributions.",5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",,Goodwe,,,5.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/bd44ccdcac9615235add9713a0e158610.jpg']",0,0
112624,Mel,NSW - 2444,NSW,2444,True,2023-07-24,24 July 2023,1.75,,"We have had our system in for 18months now. Was great when it worked. But the inverter goes off duty regularly, and then we find that everyone at the company has gone off duty too. Couldn’t be more helpful, before they have your money. Couldn’t be less helpful after. They are just a warehouse, so no one to deal with when you need it. Avoid!!",1.0,1.0,4.0,1.0,6kW,"$6,000 to $8,000",,Goodwe,,,1.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
110949,Katrina,NSW - 2430,NSW,2430,True,2023-05-26,26 May 2023,5.0,,"The site visit was a very informative candid conversation and professional quote that was exactly what was discussed, not to mention no up front money to start the ball rolling and a service proposal that includes cleaning your panels!!  The day of installation was also professional - all done in 1/2 a day with no mess no fuss and good communication! A smart meter was required and they took care to arrange that as well! Very happy customer that can't recommend Solaxs enough!!",5.0,5.0,5.0,5.0,6.6kW,"$12,500 to $15,000",Canadian Solar Inc,Goodwe,BYD,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
99728,Ian,NSW - 2444,NSW,2444,True,2023-03-28,28 March 2023,4.75,,"The process for getting the system installed was excellent. The installation team were on time and did an excellent job. However, I have rated the Quality of System slightly low because there have been some issues with the inverter WIFI and the SEMS Home Kit monitoring application. This has mainly manifested itself in the loss of all monitoring. It was the monitoring system that influenced my decision to use SolaXS. SolaXS have, however, put in a great deal of effort to resolve the issue resulting in a new model of Smart Meter being installed. This has not fully resolved the problem but the SolaXS team are, once again, scheduled to investigate the new issue very shortly.Their Customer Service has been excellent and I am confident that they will resolve the current problem soon. I would still be willing to recommend SolaXS to my friends.",5.0,4.0,5.0,5.0,6kW,"$4,000 to $6,000",Trina,Goodwe,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
99983,Cheryle,NSW - 2444,NSW,2444,True,2023-03-27,27 March 2023,5.0,,The Sales Staff (Gary) contacted me and offered to attend my house to explain Solar Panels.  He was extremely helpful and answered all questions with immediate answers.The installation was quick and efficient.  The Head Installer (Adam) ensured that the place was left clean and tidy. All staff attending were very polite.  Adam spent time explaining the system. They were punctual.Customer Service was efficient.   Grid Connection was organized by them in a quick and timely fashion.I have no complaints and would recommend them to anyone wishing to install Solar Panels.Thank you,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
109057,Ainslie,NSW - 2430,NSW,2430,True,2023-03-22,22 March 2023,4.5,,"Everything from the first contact with sales rep, team in the office, crew that did install were awesome. Punctual, friendly, no mess left & explained everything! Super happy!",4.0,4.0,5.0,5.0,7kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
108706,Diane,NSW - 2430,NSW,2430,True,2023-03-08,08 March 2023,4.5,,"I chose the company because they took the time to meet with me, and check out the site, before I accepted their quote. Their salesperson, Gary, explained the process in detail and answered all my questions. (Being a solar novice, I had lots of questions!) No pressure from the company to accept the quote. No upfront payment. Emails answered the same day. Although the price was a little higher than my cheapest quote, I was happy to pay a little more for the excellent service. Installers arrived promptly on the day, were polite, efficient and cleaned up thoroughly afterwards. Lead sparky explained the system after installation, took the time to assist me to download the SEMs app and explain how the consumption meter worked. Totally happy with the whole process!",4.0,4.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
108664,David,NSW - 2444,NSW,2444,True,2023-03-07,07 March 2023,5.0,,Great to deal with from sales through to installation and completion. Very knowledgeable staff.,5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
