review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
122908,Brendan,NSW - 2852,NSW,2852,True,2024-06-09,09 June 2024,5.0,,"Jess from SPS was absolutely fantastic. She spent a lot of time explaining our options and the technology. She was very knowledgeable and even confirmed details with the manufacturer. Even after the install she has kept in touch and answered more of our questions.The install team arrived on time, were extremely polite and courteous.  The installation went smoothly and they left the site clean and tidy and the panels look awesome as well. Even though my internet was causing problems with the programming they never got upset or frustrated.A very professional company from presages, to install and postsales support.",5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",Trina,SolarEdge,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
110785,Keith,NSW - 2830,NSW,2830,True,2024-03-18,18 March 2024,5.0,,Only provider who came to the site and explained everything face to face. The salesman Dylan was very helpful and explained each of the systems well.The installation was prompt and went ahead in one day without issue. Followup and ongoing assistance top notch.,5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",SolarEdge,SolarEdge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
119199,Joe,NSW - 2800,NSW,2800,True,2024-02-13,13 February 2024,4.0,,Company worked to address a specification/quoting issue. They wore the cost to rectify the issue and focused on customer satisfaction. Still waiting on a firm ware update to complete the commissioning.  Explaining the problem with me and coming to a workable solution was key to addressing the issue.,4.0,4.0,4.0,4.0,13kW,"More than $20,000",REC,Redback,Pylontech,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_redback.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_pylon-technologies.png']",0,0
113336,Keith,NSW - 2850,NSW,2850,True,2023-08-13,13 August 2023,5.0,,"Solar Pumping Solutions provided a very professional service.  Their Sales Manager (Dylan) came to our house & explained the whole installation & connection process process in a logical & easy to understand manner.The information I obtained from Solar Quotes was  of considerable assistance.The installation team arrived on time and were very polite.  Our 16 Solar Edge panels & Inverter were installed within a few hours. It was a pleasure to have such a good crew.As regards the grid connection,  I informed our electricity supplier of the installation & requested modification of the Smart Meter to accommodate the new install.  This was on 17th July 2023. Unfortunately I am still waiting for our supplier to confirm that this has been done & to give me  details of the new plan, including Feed-in-Tariff.",5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",SolarEdge,SolarEdge,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
99621,Tim,NSW - 2795,NSW,2795,True,2023-02-28,28 February 2023,4.5,,"I had issues with the old system and house configuration that no one over several years and numerous other installer could satisfactory fix. SPS solar took the time to help me resolve my issues and whilst their quote was a bit expensive the components and installation was first class. They were able to do the job earlier than they quoted and were on time on the day of the install. The guys doing the install were friendly and very efficient, they were first class.The after sales service so far has been excellent ensuring the system is functioning correctly and ensured my electricity supplier is also doing the right thing.",3.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",Qcells,SolarEdge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
107634,Pnina,NSW - 2795,NSW,2795,True,2023-01-26,26 January 2023,5.0,,"Excellent, Dylan was brilliant, was on site for a pre quote look at my needs",5.0,5.0,5.0,5.0,6kW,"$10,000 to $12,500",Trina,SolarEdge,,,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
96748,Ian,NSW - 2795,NSW,2795,True,2022-09-08,08 September 2022,5.0,,Quick and professional quoting and installation with good customer service and support.I have highly recommended this company to friends when discussing solar.,5.0,5.0,5.0,5.0,8kW,"$12,500 to $15,000",Qcells,SolarEdge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
90914,Simon,NSW - 2850,NSW,2850,True,2022-02-22,22 February 2022,4.0,,My overall experience of dealing with Solar Pumping Solutions has been very positive and I am glad I made the choice to select them.,4.0,4.0,4.0,4.0,7kW,"$8,000 to $10,000",Hyundai Solar,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/583c63d34e7357058911421f33aef02c.jpg']",0,0
90811,David,NSW - 2800,NSW,2800,True,2022-02-14,14 February 2022,5.0,,Very efficient with updates up to installation. Installation company used was also very good. Customer service was great. SPS helped with grid connection as well. could not fault any part of the process.,5.0,5.0,5.0,5.0,7kW,"$8,000 to $10,000",Trina,SolarEdge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
97634,Toni,NSW - 2800,NSW,2800,True,2022-02-08,08 February 2022,5.0,,Excellent quote and detailed explanation of what the system would provide.,5.0,5.0,5.0,5.0,7kW,"$8,000 to $10,000",Trina,SolarEdge,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
93027,Ross,NSW - 2850,NSW,2850,True,2021-09-05,05 September 2021,4.5,,"Happy with every thing from the Quoting, installing and customer service",4.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Sungrow,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
93012,Elke,NSW - 2790,NSW,2790,True,2021-09-04,04 September 2021,5.0,,"SPS Mudgee was the only company that came to do an onsite visit, out of the 5 quotes we obtained. which was essential for my installation as it was one of the most difficult ones they had done. The job required roof rails and I was given a quote for this prior to booking the installation. Quoting was accurate and I was informed regularly of the progress of my installation. The solar system installed is a high end system. The tradesmen cleaned up their mess at the end of the job.",5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",Hyundai Solar,SolarEdge,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
90551,Keenan,NSW - 2800,NSW,2800,True,2021-06-09,09 June 2021,4.75,,Very neat and tidy installation the system was installed with in 2 weeks from when I ordered it,5.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Sungrow,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
89320,Glenn,NSW - 2830,NSW,2830,True,2021-05-01,01 May 2021,4.75,,The supplier kept me well informed throughout the installation process. They were extremely helpful and quick to respond to my questions. They provided all of the supporting information after the installation to assist with the upgrade of the smart meter.,4.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",LONGi Solar,SolarEdge,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
86911,Helmut,NSW - 2852,NSW,2852,True,2021-02-17,17 February 2021,5.0,,"On the day i made the inquiry I received several quotes from this supplier to give me a choice, based on our discussion.Accepting one of the quotes, i placed an order on the 3rd February 2021.The system was installed and fully commissioned a fortnight later, on the 16th February 2021.The sales team was extremely helpful explaining all technical pros/cons and was always accessible to respond to questions.The installation crew was on time -as scheduled- and very friendly, helpful and tidy.Grid connection wasn't an issue as i had a previous feed-in arrangement (and Net-Meter).While i cannot fully vouch for the system quality (only 2 days old), i am happy with the performance thus far and the wi-Fi monitoring capability.Overall, i am happy to give them a 5-star rating.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
82338,Jeffery,NSW - 2852,NSW,2852,True,2020-10-09,09 October 2020,5.0,,Came out checked house and quoted on systems we choose the system  and it was all done within a month system install was great and looks good.,5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",,,,,,False,[],0,0
72789,Rob,NSW - 2852,NSW,2852,True,2020-01-27,27 January 2020,4.25,,"Very Professional, they came and looked at our roof to evaluate what we needed. They didn't just try and sell us the Biggest most expensive option",4.0,4.0,4.0,5.0,6.6kW,"$6,000 to $8,000",,,,,,False,[],0,0
