review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
125450,Malcolm,WA - 6450,WA,6450,True,2024-08-28,28 August 2024,4.5,,"The quote took nearly two weeks but all was good, they were good to deal with, all were easy to get along with, had one visit which was helpful [ long way down here] all installed inside a month with no problems, neat and tidy and all round good guys.",4.0,4.0,5.0,5.0,6.6kW,"$10,000 to $12,500",Tindo Solar,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_tindo-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
114154,Gregory,WA - 6285,WA,6285,True,2023-09-05,05 September 2023,5.0,,From start to go - no hassles.  Couldn't be happier.  System performing very well.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Trina,Fronius,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
62876,JIm,WA - 6280,WA,6280,True,2019-04-16,16 April 2019,4.0,,"The only problems I have had are getting reliable stats on ""energy imported from grid"" (see above). Since Fronius are importing this via my wifi network, I assume that I should also be able to import these stats to my computer to do my own analysis, but I am not sure if this is possible?",4.0,4.0,4.0,4.0,5kW,"$3,000 to $6,000",,Fronius,,,3.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
54362,Susan,WA - 6281,WA,6281,True,2018-10-19,19 October 2018,4.0,,,4.0,,4.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
50344,Geoff,WA - 6285,WA,6285,True,2018-07-23,23 July 2018,4.75,,,5.0,5.0,4.0,5.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
37349,Chris,WA - 6284,WA,6284,True,2018-04-13,13 April 2018,4.5,,Some of the suppliers weren't that interested.  Lots of sales people whose technical knowledge was not that good.  Sean Scanlon from Save Energy was excellent.,5.0,4.0,4.0,5.0,More than 6kW,"$6,000 to $10,000",SunPower,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
36433,Chris,WA - 6281,WA,6281,True,2017-06-28,28 June 2017,4.25,,Excellent service from installers.,4.0,4.0,5.0,4.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
36381,Muriel,WA - 6285,WA,6285,True,2017-06-26,26 June 2017,4.0,,,4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
35217,Peter,WA - 6285,WA,6285,True,2017-04-26,26 April 2017,4.0,,,4.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
29181,Chris,WA - 6282,WA,6282,True,2016-09-24,24 September 2016,4.75,,I am signing up today install not yet,4.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",Solarworld,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_solarworld.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
