review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
22723,Brigitte,VIC - 3184,VIC,3184,True,2014-05-12,12 May 2014,2.0,,It's been slow.  I've paid my deposit several months ago and there are still no panels on my roof!,0,,2.0,2.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
21509,Marilyn,VIC - 3149,VIC,3149,True,2014-01-26,26 January 2014,3.75,,Too soon to comment about operational  aspects.,4.0,4.0,4.0,3.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
21479,Mark,VIC - 3029,VIC,3029,True,2014-01-21,21 January 2014,5.0,,"Shine On were excellent to deal with. The communication was great. Leighton the salesman was very informative and not pushy and was happy to make changes to the quote as necessary. Caitlin, the operations manager was excellent as well. Jan and his installers were friendly, quick, efficient and cleaned up after themselves. Everything happened exactly on schedule. The installation was completely painless. Unfortunately in this age of ""competition"" in the retail electricity sector, there is completely unnecessary duplication of miscellaneous paperwork that bounced back and forth between Powercor and Red Energy, which slowed down my connection. I would not hesitate to recommend Shine On. Top job.",5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
21110,Andrea,VIC - 3072,VIC,3072,True,2013-12-14,14 December 2013,4.0,,It just got installed on Friday. So not fully connected yet. At this stage the above answers are not completely accurate because the system is not up and running. I am happy to redo it in a few weeks when we are functioning. The salesman and the installers seemed very professional. The office back up was a little bit relaxed. For example they were supposed to send me paperwork before the install. I had to ring the day before the install to check if they were coming or not ie l still didn't have the paperwork. The installers bought it on the day.,4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
20708,Martin,VIC - 3335,VIC,3335,True,2013-11-09,09 November 2013,4.5,,aaa+,4.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
19892,Martin,VIC - 3931,VIC,3931,True,2013-09-05,05 September 2013,4.0,,,4.0,4.0,4.0,4.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
19351,Anon,VIC - 3976,VIC,3976,True,2013-07-15,15 July 2013,3.25,,,3.0,3.0,4.0,3.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
19249,Peter,VIC - 3804,VIC,3804,True,2013-07-06,06 July 2013,4.75,,"I had my system installed today and it looks great. I would just like to thank Brad for his honest and trustworthy advise. I have listed the reasons that I chose Solar My Home and you will notice that I have not mentioned the price,this is because all of the quotes I got were similar in price. It is the details that matter.I went with Shine On for the following reasons :1. They are local and Australian owned .2. The salesman (Brad ) has worked as an installer.3. The company prides itself on using the best quality cables connections and hardware.4. Brad organised my for T.V. antenna to be professionally moved (included in the cost of the system).On the day of the installation.The installers turned up on time and were very poite and courteous. They cleaned up completely on the day. The music that they had playing while they worked wasnÃƒÂ¢Ã¯Â¿Â½Ã¯Â¿Â½t too bad either!",5.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
19170,Esmene,VIC - 3093,VIC,3093,True,2013-06-29,29 June 2013,4.0,,An honest and straight talking salesman makes all the difference. David listened to our needs and we came up with the best solution and offer.Cheers and thanks to your website!!,4.0,4.0,0,4.0,4kW,"$10,000 to $15,000",,,,,,False,[],0,0
19131,Matt,VIC - 3106,VIC,3106,True,2013-06-27,27 June 2013,4.0,,Installation to commence in 2 weeks.,3.0,5.0,0,4.0,More than 6kW,"$10,000 to $15,000",,,,,,False,[],0,0
