review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
125297,Sam,NSW - 2162,NSW,2162,True,2024-08-23,23 August 2024,3.0,,"If I could the installer Zero, I would.",5.0,5.0,1.0,1.0,6.6kW,"$4,000 to $6,000",,Goodwe,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
98354,Unhappy,QLD - 4560,QLD,4560,True,2022-03-07,07 March 2022,1.0,,"Sky Solar Energy suck you in with a slick sales pitch and cheap quote. When it comes time to instal they conveniently can’t get stock of the contracted equipment so they try and substitute with alternatives. First off they offer reputable alternatives but then for some reason don’t have stock of those. Then they try and offer an ‘upgrade’ to equipment that has no proven history or reputation in Australia. When you point out that you can’t find any information about the suggested substitution online they send you the marketing brochure and expect you to take it as gospel.After 4-5 months of rejecting the substations and asking for a deposit refund they suddenly offer an actual upgrade substitution of a reputable brand.By that stage of back and forth and losing confidence in them, and repeated requests of a deposit refund they just flat out refuse.They have not been able to provide the equipment in the original contract and refuse to acknowledge that and provide a deposit refund.The contract they sent me took 3 tries to actually have my details correct too. The first two had another clients details still in it. If the basic lack of attention to detail in a simple contract is something they can’t even manage, I’d hate to think about how much they’d struggle to actually do an install.Be very wary. Classic bait and switch tactics and can’t deliver on the contract that they provide.",1.0,1.0,1.0,1.0,8kW,"$4,000 to $6,000",,,,,,False,[],0,0
92391,Janet,QLD - 4108,QLD,4108,True,2021-08-17,17 August 2021,5.0,,"I didn't like Sky Solar Energy's quote at the beginning because their quoted price is way more cheaper than other 3 companies.But once their sales started the conversation with me, I knew this is a reliable company. Justin explained how does everything work and showed me a few fun videos, step by step, I learned the whole concept.After I signed the contract, all processes went well. The installers was polite and friendly, they helped me to replace some broken tiles for free when they did the installation.For someone know nothing about solar, this is the company you can reply on.Thank you Sky Solar Energy, cheap price but super thoughtful service!",5.0,5.0,5.0,5.0,10kW,"$4,000 to $6,000",,,,,,False,[],0,0
91294,Danny,QLD - 4117,QLD,4117,True,2021-07-07,07 July 2021,1.0,,"The worst warranty service I have even experienced.Have been waiting for more than 2 months for a replacement.Called their service number you will find no one answer the phone call at all.No reply of emails or messages.Reconsider it again if you decide to purchase Delta.Delta was good few years ago, don't know what happened!.",1.0,1.0,1.0,1.0,more than 30kW,"More than $20,000",,Delta,,,1.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_delta.jpg'],0,0
83683,Brett,VIC - 3147,VIC,3147,True,2020-11-17,17 November 2020,1.0,,"We had a 6.6KW solar system installed by Sky Solar Energy (VIC branch) in 2019 and had been very happy with it, until one Saturday recently when a large bang came from out electricity switchboard and our power went out. We had to get an emergency electrician to get our power back on on the weekend which cost $223.03 (cheap actually). We also had to get another electrician out the following week to repair the damage to the switchboard. The second electrician (South Eastern Electrics) found that two switches had burned out on the switchboard and that ""poor quality workmanship"" associated with the solar installation was to blame (please see report and photos attached). He also said that we were ""lucky it didn’t start a fire"". The incident also burned out our inverter which SolaX has since replaced under warranty.The Electrician's report is below:""Attend site as requested to:- Replace burnt out main switch.- Replace heat damaged circuit breaker.- Replace burnt out solar main switch.- Repair active connection inside switchboard.-Supply a Certificate of Electrical Safety - 635458597The works above were a result of unsatisfactory and non compliant works done by the solar installers at the time ofinstallation. Terminal connections were not tight and the active connection inside switchboard was not solderedproperly and did not have a connector on it, wires were loose and held together with tape. In my opinion this was poorworkmanship and a problem waiting to happen.''Sky Solar covered the cost of $442.75 to have the switchboard fixed. But they refused to pay my out-of-pocket expenses for the emergency electrician ($223.03). Refusal was because the emergency electrician invoice said nothing about 'solar' on it. I offered to get a revised invoice but they stopped answering my emails.",1.0,1.0,1.0,1.0,6.6kW,"$6,000 to $8,000",LONGi Solar,SolaX Power,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/2d62798e4e8e0575bf3434ff44574c1d0.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1377ffdb4d046a543f9e1b35cca91fce1.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8ede76a3d87d84fe5cc626126b3ced6a2.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/df0aa8ee8a215224c0295fd80479aa0b3.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/46209e80e459504de1f5302461fb97944.jpg']",0,0
76230,George,QLD - 4511,QLD,4511,True,2020-05-01,01 May 2020,5.0,,Well done to all  involved in quoting  and selling me my solar system.From the first call  with Justin  who is  very knowledgeable  in his field  to Harry and the girls  that spoke to me from the Rocklea office right up to when Ethan and his crew installed the system all went well .Even though  we had rain on the day of installation  it did not deter the installation crew at all .I would not have a worry at all in recommending SKY SOLAR ENERGY to anyone thinking of installing a solar system at their home or business.Well done to all at SKY SOLAR ENERGY,5.0,5.0,5.0,5.0,8kW,"$4,000 to $6,000",Infinity New Energy,SAJ,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_infinity-new-energy.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_guangzhou-sanjing-electric.png']",0,0
68725,Cary,NSW - 2745,NSW,2745,True,2019-09-25,25 September 2019,4.25,,"Good at selling their product over the phone. They do not require attending the site for inspection which I though was odd, but sales person (Sam) was still able to assess the correct location of where the panels would be installed.Installation of 21 x 315W Trina panels and Fronius Primo 5KW inverter took roughly 4 hours. Installers could be a little bit more professional and tidy though - not a good look when someone is smoking on the job.Customer service could also be better if more prompt in their service, instead of me following up.It has been 3 weeks now since the solar system has been installed at my property and I'm still waiting and trying to chase up my electricity provider to replace my old meter box with a smart one.",5.0,5.0,4.0,3.0,6.6kW,"$4,000 to $6,000",Trina,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
68680,David,NSW - 2283,NSW,2283,True,2019-09-24,24 September 2019,4.5,,"I dealt with Sam G for the quote. He was knowledgeable and was contactable when I needed questions answered. The installers were good, the lead electrician was a nice guy, they wanted to put panels all on one side of the house but I asked them to be half/half (as I've noted the sun movement across summer/winter). They happily worked it out for me.  I've so far generated ~7800kWh from end of sept 2018 to end of sept 2019 with no issues so far.There was a delay due to the panels I agreed to not being available but they offered bigger panels at the same price (I did the research and they were of slightly better quality, so i was happy).I'd recommend this company, and they told me at the time that they use their own installers (they don't outsource) so check that is still the case. I felt they were honest but did work on volume rather than having a smaller (more expensive) customer base - which is fine if you do your own research first.My only issue with the install was they wouldn't install the inverter inside the garage (instead its on the outside wall). I would have liked it been out of the weather.",5.0,5.0,4.0,4.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Growatt,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
67583,Brian,NSW - 2259,NSW,2259,True,2019-08-20,20 August 2019,4.0,,"Sales guy was very helpful, not pushy and his advice was appreciated. The office staff looked after the paperwork without any fuss and their installers were efficient and most capable, but not so good with communication.",4.0,5.0,4.0,3.0,6.6kW,"$4,000 to $6,000",Trina,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
63213,Anon,VIC - 3028,VIC,3028,True,2019-04-25,25 April 2019,2.33,,"I went with Sky Solar Energy, I was counting on their expertise and knowledge to guide me through the process, but I was let down they came and installed the solar before I got the ok from the government to get my rebate so I lost my rebate because of them, I asked them to pay for the rebate they said no and offered me a 18 month interest free to pay it off, I told them not interested in that been sending emails to them multiple times, and they just tell me the system has gone up by $1500 called the CEO still waiting for a proper response, I came up with a compromise of paying half of the rebate and they pay the other half, but they still continue to tell me the system has gone up by $1500 ????",3.0,,3.0,1.0,More than 6kW,"$3,000 to $6,000",,,,,,False,[],0,0
