review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
105648,Garry,VIC - 3027,VIC,3027,True,2022-11-23,23 November 2022,5.0,,"We signed up with Sky Solar for a 15kW system for our house with Q cells Solar Panels and Goodwe Inverter. System installed within 2 weeks of booking and Inspection done within 2 days of installation. System doing great. Installation team was excellent, did a neat and clean job. Would highly recommend Sky Solar.",5.0,5.0,5.0,5.0,15kW,"$12,500 to $15,000",Hanwha Q CELLS,Goodwe,,5.0,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
95838,Marc,VIC - 3127,VIC,3127,True,2021-12-03,03 December 2021,5.0,,"Quoting process was simple and quick. Installation was professional,prompt and efficient. Customer service was ( keeping in mind that the installation was completed only 4 weeks ago ) good and all that I expected. Inspection and grid connection was organised by the installer",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Canadian Solar Inc,Goodwe,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
90441,Annette,VIC - 3177,VIC,3177,True,2021-06-06,06 June 2021,4.75,,"Great price but salesperson is extremely hard to contact afterwards.  There is no direct number, or surname provided.  I also requested consumption monitoring so I could gauge how much I was consuming as well as generating but all I got was how much I was generating.",5.0,5.0,5.0,4.0,6.6kW,"$2,000 to $4,000",LONGi Solar,Goodwe,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
77294,Mike,QLD - 4655,QLD,4655,True,2020-06-02,02 June 2020,3.0,,"Greatest to deal with, from start to finish. But after sales service is worst ever, if you have any issues. Good luck, took us 8 weeks to have failed inverter replaced.",4.0,2.0,5.0,1.0,6.6kW,"$3,000 to $6,000",,Growatt,,,1.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
64313,Les,VIC - 3128,VIC,3128,True,2020-01-22,22 January 2020,4.5,,,4.0,4.0,5.0,5.0,6.6kW,"$3,000 to $6,000",EGing,Growatt,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_eging.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
71697,Jason,QLD - 4300,QLD,4300,True,2019-12-19,19 December 2019,4.5,,"We received quotes from a lot of different people on our 6.5kw Jinko system with a 5kw Sungrow Inverter. And for the same product, these guys were over a $1000 cheaper. Install was done within 2 weeks. I'm no expert so I don't know how the quality of their install compares to others. But so far the panels are delivering the numbers as promised.Thanks",5.0,4.0,5.0,4.0,6.6kW,"$2,000 to $4,000",Jinko Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
64064,Roy and judith,VIC - 3434,VIC,3434,True,2019-05-15,15 May 2019,5.0,,"Hello and sorry we had to go outside your three recommendations, one was a not good and one was very expensive and dominant!! (neither did you justice and should have not been recommended). Another was fantastic in almost  every way, but sadly almost $1000- dollars more than the superb system we now have. We wish to thank you for your help, we learnt a lot about solar from you and without it, we would not have got the great deal and system we are enjoying now. Many Many Thanks Roy and Judith Gardener (ps we held off on this reply until all was finished, up and running and signed off)",5.0,5.0,5.0,5.0,6.6kW,Under $3000,,,,,,False,[],0,0
53324,Anon,VIC - 3268,VIC,3268,True,2018-09-26,26 September 2018,4.0,,,4.0,4.0,4.0,4.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
52331,Alan,QLD - 4207,QLD,4207,True,2018-09-07,07 September 2018,4.25,,,4.0,4.0,4.0,5.0,5kW,Under $3000,,,,,,False,[],0,0
40524,Peter,QLD - 4500,QLD,4500,True,2018-03-07,07 March 2018,4.25,,"Hi,Some of our friends have shown an interest in our  installation of solar panels on our roof in July 2017, We have deliberately waited until we had one full Quarter of unobstructed electricity generation to see how this investment in Solar Panels panned outSome History:-We live in a 20 yr old, Large 4 Bedroom, 2 Garage brick and tile roof suburban  house with a large pool,  air-conditioning, Insulated roof cavity, Solahart hot water,  Sauna  and No gas appliances situated  on the north side of Brisbane. There are only generally 2 of us but we did have a son stay with for a few weeks last quarterPrevious power use:-The last 8 quarters of Electric Power bills from Origin Energy were as followsAug 2015 ---- $533Nov 2015---- $454Feb  2016----$747June2016----$565Aug 2016----$556Nov 2016----$470Feb 2017----$621June2017----$531Av. Bill     =   $560 per QuarterWe started looking at solar earlier this year and ended up with about 10 quotes with the stipulation that they quote and install  (the biggest under existing Law)  a 6.5kv system with a 5 kv Fronius inverter made in Austria (which is battery ready when batteries are cheap enough to install) and tier 1 solar panels. We ended up with quotes ranging from $4480 to $7100. We accepted a quote with 26 x 270w Lightway solar panels and of course the 5kw Fronius inverterIn July we entered a monthly ongoing  contract with Origin Energy to get 14c per kv generated from solar and they charge us 26.96c per kv for any power we use from the grid. (  we exported  (1844kw) or  2.5 times as much into the grid then we took out (744kw) at night) during the quarter in what I must say was a rather cool, wet and cloudy spring for Queensland.The only changes we made to our lifestyle were that we converted where practical all light bulbs from Fluro to LED , had the pool pump on at midday instead of midnight and if we thought about it  we would set the dishwasher and washing machine to do a load during the day if we were out. But we will still use the Sauna and dryer after dusk if we feel like itWe had a bill for last quarter (Nov 2017) of $62 for 3 months power use or 69 cents a dayIf we can keep our bills at around $62 then the  payback time on the $4480 solar investment is two and a quarter years or over 44% per year return on our investment - After 2.25 years we have free power or very minimal bills for the next 20 yrs and/or until cheaper batteries arrive?????We will keep you informed",4.0,5.0,4.0,4.0,More than 6kW,"$3,000 to $6,000",Lightway,Fronius,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lightway.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/f48c6b87e7fff1fd552e8a1bfe2ec308.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/d042dcd7231ac4e0634c5bf88a86e0bc.png']",0,0
