review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
121852,Sue,NSW - 2155,NSW,2155,True,2024-05-06,06 May 2024,5.0,,"Many thanks to Luke and your team for the recent supply and installation of our first step in the solar journey.It was very comforting to be able to sit down at your facility to discuss our concerns and to physically see the panels and control equipment that would suit our needs.  You certainly explained things in a way that made it easy for us to understand.Our discussions with other suppliers prior to speaking with your company, did not mention better options for the panel locations or the need for modifications to our homes’ electrical supply to enable us to obtain maximum benefit from the system.The installation completed by Jerry and Conner was completed professionally. They arrived on time, worked tirelessly through the day to install our panels, inverters and control panel, they were efficient, polite, tidy and very professional in completing the job.Nicole has been excellent at scheduling and coordinating the installation of the panels, modifications to our electrical board and the required documentation. After the modifications to our board were made Jerry and Conner arrived within the hour to complete and commission the system.We wish you and your team continued success and would have no hesitation in recommending your organisation, it is always nice to support a family business.",5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",SunPower,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
102751,Daniel,NSW - 2155,NSW,2155,True,2022-08-18,18 August 2022,5.0,,"Skyline did my 9.99kW system and most recently my Tesla battery. Quotes are attended to super fast. The admin team are great at getting all paperwork processed and helping out when I had questions. The installers are super professional and happy to answer questions. All of the components are good quality and you're presented with great options to achieve what you need, rather than being pushed into a certain brand. I had an issue with voltage once my solar was installed, despite it being a network issue, Skyline helped me through the process to get it fixed and followed up to make sure everything was working as it should be.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",,SolarEdge,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png'],0,0
99738,Jenny,NSW - 2133,NSW,2133,True,2022-05-09,09 May 2022,5.0,,"It was a great experience engaging your company to install a solar system for our home.  From the date you contact me till the contract being sign and arranged an installation date, your service team make us feeling warm and being look after.  Your installation technicians are very professional, they came in two days due to rainy day and they had completed the installation in this difficult condition promptly.Not to mention, the after-sale services with friendly email and calls to ensure we have all necessary documents to contact our energy provider.  I will surely recommend your company to friends who need solar system for their property.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
99125,Michael,NSW - 2153,NSW,2153,True,2022-04-13,13 April 2022,5.0,,"Couldn't have asked for a better experience with Skyline Solar. On the front end, Sean gave us everything we needed in terms of information about the type of system we wanted. He also answered all our questions promptly....and we did have a few of them given our previous lack of knowledge about solar.The install experience was just as good. The team arrived on time each day, were courteous and extremely tidy. Once they finished they gave a good run through and answered all the questions I had.Post install the communication has continued to be great and we got everything we needed on the day the installation finished.Thank you Skyline Solar - a great experience and I would highly recommend your business to others.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",SunPower,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
98801,Steve,NSW - 2756,NSW,2756,True,2022-03-29,29 March 2022,5.0,,"What a great company to deal with, Sean and Nicole are extremely knowledgeable and very helpful.The install team did a fantastic job and we are pleased with how it turned  out.Very happy with the whole process and also Supporting a great  local business",5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",SunPower,SMA,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4cce2b9bfb872c60f81c608b0a2c12080.jpg']",0,0
94602,Tony,NSW - 2762,NSW,2762,True,2021-10-23,23 October 2021,4.75,,"We have used Skyline Solar twice to install our Solar. One on our previous house and recently to our current house.Skyline Solar quote is reasonable and the quoting process is acceptable.The installation is good and the installers are on timeThe customer service is excellent and both Vanessa Wilson and Nicole Lumnon were very helpful, very organised.We recommend Skyline Solar to anyone who wants to have Solar installed",4.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Suntech,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
94479,Scott,NSW - 2769,NSW,2769,True,2021-10-19,19 October 2021,5.0,,"Just had solar installed by Skyline Solar - very happy with the outcome.It is nice to deal with a company that is focused on quality and comes across as extremely professional in what they do.The installers were fantastic, nothing was an issue, did a great job, cleaned up after them selfs and took the rubbish away. what more could you ask, Thanks Skyline.",5.0,5.0,5.0,5.0,9kW,"$10,000 to $12,500",,SMA,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png'],0,0
94165,Robert,NSW - 2281,NSW,2281,True,2021-10-08,08 October 2021,5.0,,This being my second home I've had a solar/battery system installed I new what I wanted out of the completed package.The sales team were prompt with providing a very good and informative detailed quote which was easy to understand.The installation team arrive on schedule and went about the job without any fuss. The site was cleaned up and went very smoothly. Due to the complex shape of my roof one person needed to come back the following day to finish and commission the system. The follow up from the office was very prompt and all thing just worked. Certainly a much happier experience than my first solar system install.,5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",SunPower,SolarEdge,Tesla Powerwall 2,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
93973,Robyn,NSW - 2756,NSW,2756,True,2021-10-01,01 October 2021,4.75,,Friendly helpful staff who arrive at the arranged time and complete their work in an efficient manner. So far very happy with the product.,4.0,5.0,5.0,5.0,6.6kW,"More than $20,000",,SolarEdge,Tesla Powerwall 2,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
93459,Calum,NSW - 2155,NSW,2155,True,2021-09-17,17 September 2021,5.0,,Thanks so much to the team from Skyline Solar. Installed a 9kw system and we couldn’t be happier with the service. Professional and warm throughout the whole process and took the time to make sure we got the right system for our situation. Highly recommend.,5.0,5.0,5.0,5.0,9kW,"$8,000 to $10,000",Suntech,SMA,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
