review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
133564,Alison,TAS - 7018,TAS,7018,True,2025-05-19,19 May 2025,4.25,,All good but early days. The app to monitor is good. The installer did a tidy job. Yet to see the benefits as only just installed.,5.0,4.0,5.0,3.0,9kW,"$8,000 to $10,000",,Goodwe,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
125234,Peter,TAS - 7011,TAS,7011,True,2024-08-22,22 August 2024,4.75,,Second system through Solahart in Hobart. Excellent!They should be on your list!!!!!!!!!!!!!!,5.0,5.0,5.0,4.0,8kW,"$6,000 to $8,000",,,,,,,True,"[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/2575b8def3f3af1f9771f0356dd038900.jpg']",0,0
124935,Aiden,TAS - 7173,TAS,7173,True,2024-08-13,13 August 2024,4.5,,Was the first company to get in touch and come to my property to provide quote. Installation was fast and very professional and they were helpful showing me how the app and software worked after installation,5.0,3.0,5.0,5.0,8kW,"$6,000 to $8,000",SolaHart,Goodwe,,4.0,3.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solahart.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/96bcc66be6a12c3225f4f36ba49bf0cf1.jpeg']",0,0
123275,Denise,TAS - 7140,TAS,7140,True,2024-06-22,22 June 2024,5.0,,"Every aspect of our experience with Solarhart Hobart has been exemplary .. friendly customer service, prompt and professional installation, quality solar panels, and great follow up and support.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",SolaHart,SolarEdge,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solahart.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8b4753f6b432c66ce29f30f9b47d78e20.jpeg']",0,0
123084,Margaret,TAS - 7008,TAS,7008,True,2024-06-16,16 June 2024,4.5,,"The sales and quoting process was smooth with a very knowledgeable sales person who helped us with our choices without pressure. All pre instillation requirements with council permits etc were attended efficiently and with good communication.The installation was punctual, efficient and tidy.I would have appreciated a follow up email or call to check that I was happy with everything but this is a minor issue.",5.0,4.0,5.0,4.0,13kW,"$10,000 to $12,500",,Goodwe,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
122889,Peter,TAS - 7000,TAS,7000,True,2024-06-08,08 June 2024,5.0,,Neil arrived to offer a quote for our installation and was extremely professional and well prepared.He gave us a number of options and reassured us that nothing was too much trouble.We felt we were in good hands.The installers arrived as promised on the day and efficiently and professionally installed our 6kw solar edge panels and inverter.We couldn't have been happier with the service provided,5.0,5.0,5.0,5.0,6kW,"$8,000 to $10,000",SolarEdge,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/414dfcd0afec7de739f3a000bf69420d0.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/77f2a01aa3bca0a3184d15d4e9f0de791.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9d645132d9027840af7718c7b96bf67c2.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c21d4081d328185dfb3f60fe7dd0d1a63.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/76d29683085c39b90eadf165aac310794.jpeg']",0,0
113230,Ivan,TAS - 7016,TAS,7016,True,2024-06-05,05 June 2024,4.75,,"Neil the salesman was very easy and helpful to talk to, only down fall was 1 panel placement would not go where he said it would.Sam and the boys that done the installation were on time very polite, told me everything that was going to happen, they cleaned up all the mess, overall, a great installation team.The team from Solahart  were very good throughout the whole experience.I've Only had solar on for a month so far, but all seems to be working well.",4.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",Solahart Silhouette (Other),Goodwe,,5.0,4.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
111775,Matt,TAS - 7018,TAS,7018,True,2024-04-19,19 April 2024,5.0,,"Quote was professional, we liked that they came on site and even followed up with another visit to check roof size. They were always professional and efficient and helpfulInstallation was quick and they arrived when they said they would",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",I don't know,I don't know,I don’t think we got one (Other),5.0,5.0,,False,[],0,0
120717,Robert,TAS - 7008,TAS,7008,True,2024-03-28,28 March 2024,4.0,,Sales process was efficient and without any over the top marketing. Installers were punctual pleasant and professional. Overall a good experience.,4.0,4.0,4.0,4.0,6kW,"$4,000 to $6,000",Solahart Industries,Goodwe,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
114261,Rod,TAS - 7172,TAS,7172,True,2023-09-09,09 September 2023,5.0,,Sales  and quoting process good.Installation service was extremely professional and punctual.They did organise the grid connection.We are having the engineer inspection done on Monday pm 12th September,5.0,5.0,5.0,5.0,7kW,"$10,000 to $12,500",,,,,,,False,[],0,0
