review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
131021,Noriel,NSW - 2340,NSW,2340,True,2025-02-24,24 February 2025,5.0,,"Solahart Tamworth sales/quote process was done smoothly and hassle free, their main sales man was very professional and provided my with honest assessment of my property requirements with all the information I need to make an informed decision. All the question in my hear were literally answered and the options for available hardware components are of the best quality and brands.The installation goes very well too! The installers were very knowledgeable and definitely know their way in putting up a quality installation, the installers were very easy to talk to and respectful.Solahart Tamworth's customer service team was superb! They literally did everything on their part to ensure all necessary steps and procedures are in place, I never had to wonder and ask them at all because they did almost everything and assisted me with everything I need to know and do.It's definitely worth it to deal with local businesses and suppliers.",5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",SolaHart,SolarEdge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solahart.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
104176,Louise,NSW - 2350,NSW,2350,True,2022-10-07,07 October 2022,5.0,,"We chose Solahart - Namoi Sustainable Energy for our 8kW Solar installation with battery and Gateway as they came on site for a face to face consultation and site inspection, and were happy to locate the panels and inverter on the shed with the battery and gateway on the house. We also purchased a new PowerStore Hot Water System as part of the package. Their customer service was excellent, they listened to us and addressed all our questions. They organised the grid connection and supplied us a partially prefilled smart meter application form for our energy supplier. The installation did get put back due to weather but when it went ahead the guys were on time and got the system installed, up and running in the two days they allocated for the install. In spite of a couple of hiccups. The installation team were NS Energy employees and were lovely, polite fellows.",5.0,5.0,5.0,5.0,8kW,"More than $20,000",SolaHart,SolarEdge,Tesla Powerwall 2,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solahart.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
97806,Matthew,NSW - 2456,NSW,2456,True,2022-02-14,14 February 2022,5.0,,"The whole end-to-end process was so simple, from quoting to the super-quick installation to getting us up and running with all the paperwork, monitoring etc. Everyone I dealt with was friendly and efficient, and it's clear that the folks running the business take solar power and sustainability really seriously. Thanks!",5.0,5.0,5.0,5.0,6.6kW,"$12,500 to $15,000",SolarEdge,SolarEdge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
91693,Warren,NSW - 2350,NSW,2350,True,2022-02-05,05 February 2022,5.0,,"The process of quoting was quick with on-site inspection and plenty of time to sit with the rep to discuss options and consider our individual circumstances. Installation a bit delayed due to weather but when this was locked in, the team arrived on time and installation went smoothly. The system looks great on the roof, the Solaredge app allows us to follow exactly what the system is doing. Grid connection all went smoothly. We are now looking at best feed-in tariff. Very satisfied with the Solarhart Tamworth install and follow-up.",5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",SolaHart,SolarEdge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solahart.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/4aa82b1d7af9120d3760cfd48cdaf6dc.jpg']",0,0
94923,Paul,NSW - 2350,NSW,2350,True,2021-11-04,04 November 2021,4.5,,". Easy and clear.. Great service.. Few hiccups with paperwork, still waiting for connection to grid.",4.0,5.0,5.0,4.0,6kW,"$10,000 to $12,500",SolaHart,SolarEdge,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solahart.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
76550,Kim,NSW - 2350,NSW,2350,True,2020-05-09,09 May 2020,4.75,,Sales and quoting greatCompleted paper work for meHave not yet installed have a couple weeks wait yet,4.0,5.0,5.0,5.0,20kW,,Canadian Solar Inc,Solaredge,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
63123,Ben,NSW - 2350,NSW,2350,True,2019-04-23,23 April 2019,4.75,,A simple experience with low pressure yet engaged sales people,4.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
57039,Graeme,NSW - 2344,NSW,2344,True,2018-12-12,12 December 2018,4.67,,Thanks for your three quotes which were very helpful but we decided to go with a local company as they have high quality systems and were able to do a site inspection as our installation was not so straight forward and we believe that a local company can give us better after sales service and monitoring. Lachlan at NSE was very effeicent and helpful as were all the local companies that quoted.,4.0,5.0,0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
43848,Richard,NSW - 2357,NSW,2357,True,2018-10-09,09 October 2018,4.0,,Finn the service you offer is very valuable to people who are outside the loop with the day to day setting up . To many vested interests pulling the striings at a national level.,4.0,4.0,0,4.0,More than 6kW,"$15,000 to $20,000",REC,Solaredge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/385e44b048cdecd327bed2a12d2821c0.png']",0,0
47252,Meg,NSW - 2390,NSW,2390,True,2018-04-30,30 April 2018,4.0,,"Very nice salesman. Found existing panels to be damaged. Claimed on insurance, paid a fee to secure job. Still waiting for installation was told could be 5 or 6 weeks away. I will contact solar hart  today and see how things are progrsessing.",4.0,4.0,0,4.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
