review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
82205,Ibram,NSW - 2155,NSW,2155,True,2020-10-06,06 October 2020,1.5,,"Staff members who do not go by their real name, would give you the best service until payment, after that they will pass you on to one another as they will no longer be making any more money out of you. The delivery was late, the company did not keep a record of the electrician who installed the system, not sure if he was even licensed. The did not organise the connection to the grid after installation and refused to assist even after the matter was referred to Fair trade. The team tried changing the quote after deposit was given. The are very rude and do not reply to emails or phone calls. Avoid this company at all costs as you will spend many months on emails and phone calls trying to get them to deliver on the service.",1.0,3.0,1.0,1.0,7kW,"$8,000 to $10,000",,Enphase,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png'],0,0
80555,Kim,NSW - 2259,NSW,2259,True,2020-08-19,19 August 2020,4.75,,delivered on what was quoted quickly and effeciently. installer quickMore customer service needed if intall os delayed,5.0,4.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Trunsun (Other),Growatt,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
80510,Michelle,NSW - 2136,NSW,2136,True,2020-08-18,18 August 2020,5.0,,"Contacted Solarbeam regarding Solar Panel installation and I am very pleased with the full installation in a timely manner. This is includes the initial salesperson who was very helpful, the informative phone calls and emails during the whole process. The installer and electrician were both punctual, efficient and polite. Connection to the wifi monitoring was carried out on my phone and mark was so helpful and courteous.I would recommend Solarbeam",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Suntech,Growatt,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
79713,Graham,NSW - 2759,NSW,2759,True,2020-07-29,29 July 2020,5.0,,Solar beam has done a great job last week and i will recommend solar beam to my friend and others.,5.0,5.0,5.0,5.0,15kW,"$8,000 to $10,000",,Goodwe,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
78914,David,NSW - 2097,NSW,2097,True,2020-07-10,10 July 2020,5.0,,"I was looking for a min 6KW system that would fit my small roof. The SolarBeam sales team were very easy to work with, explained all the options available and recommended a system that fitted my needs. I needed a larger capacity panel to hit my limit of 16 panels for a 6.4kw system. The installer (Yingsheng Wu) was very polite, professional, did a really neat job and took extra care to make the install smooth, with no impact on my family, or my work from home business. Even with a slight COVID related delivery delay, I'm very happy with the process, the hardware (16 x 400w Risen panels, 5kw Fronius inverter) and the service.Great job,",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Risen,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
78065,D,NSW - 2147,NSW,2147,True,2020-06-22,22 June 2020,2.25,,"Solarbeam sent me written quote the day before the installation the installer come around showed me the plan 15 of 20 panels was facing south with tilt south to get facing north they wanted a extra $900 should of read the reviews and went with someone else because before install was finished they wanted full payment would ring every day and email,l  was criminal.",2.0,2.0,4.0,1.0,6.6kW,"$2,000 to $4,000",,,,,,False,[],0,0
75000,Alfred,NSW - 2207,NSW,2207,True,2020-03-30,30 March 2020,4.5,,"These are the cheapest and best value solar system I found in Sydney.Their quote is good 20-50% compare to 4 other solar company that quoted me for a 6.6kw system.Very happy with the price and quality.Had some issue with the installation date as the bush fire and weather mean a few changes and delay of 2mth to the installation date. However through a few calls and email finally had it install. My advice is just keep email and calling them, they are very busy.Very happy with the system, works perfectly and already getting credit from the solar feed-in",5.0,5.0,4.0,4.0,6.6kW,"$2,000 to $4,000",ET Solar,Goodwe,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_et-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a6815c88db50f34eb664fb5764c2d6ee0.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4b4744ff2a480b63530e1eb3719cf3891.jpeg']",0,0
74649,Jamie,NSW - 2232,NSW,2232,True,2020-03-20,20 March 2020,1.0,,"Terrible Experience with this company, do not do business with them.The company lies, he quoted to install a 6.6kw system and instead has installed 4.4kw because some of the panels 'would be in shading and the entire system wont work if there is any shade'. This is a lie and is not true. I requested Solar Beam return to install the remainder of the panels I have paid for, they said 'give me some time', called back 2 weeks later same excuse. It's now been 2 months and they will not answer my calls, wont respond to emails or messages.Was also promised the inverter had Wi-Fi and I could see the power input via an app on my phone, App does not work Solar Beam had no idea how to make it work, they tried to ask the people in China, no luck with that either they just gave up so its totally useless.I have requested the company give me a partial refund or install the remainder of my panels that I have paid for, nothing.Next complaint is to the ACCC and Solar Watchdog to report his company.Be aware, I have warned you.",1.0,1.0,1.0,1.0,6.6kW,"$2,000 to $4,000",,KACO,,,2.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_kaco.png'],0,0
73572,Sudip,NSW - 2765,NSW,2765,True,2020-02-17,17 February 2020,4.25,,"Some delays with installation date and communication Issue about when exactly the installers are coming, but the installer  was fantastic and very professional.",4.0,4.0,4.0,5.0,10kW,,,,,,,False,[],0,0
72830,John,NSW - 2037,NSW,2037,True,2020-01-28,28 January 2020,4.25,,"Sales/quoting process could be improved. Initially sold me an inverter plus 22 panels with 6.6 kw for $3,200 (or $485 per kw), but later found it too large for roof space, and substituted a smaller system with 8 panels supplying 3.4 kw for $3,000 (or $872 per kw).Installation was delayed by wet weather and holiday, but very fast and professional on the day. Leader pointed out the good and  bad points of alternative layouts, and let the client decide (main issue was minimising shadow), and also made requested changes (to conduit path). Many thanks to Hamza, Akram and Zayn for a good job!Too early yet to comment on after-sale customer service, including notification to power company about grid connection but expect all OK.",4.0,4.0,5.0,4.0,3kW,"$2,000 to $4,000",LONGi Solar,KStar (Other),,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/800f21f2ac0bd9034908e8ee730ff0310.jpg']",0,0
