review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
117748,Susan,VIC - 3444,VIC,3444,True,2023-12-19,19 December 2023,2.0,,"The sales and quoting process was good. The installation seemed fine in the beginning. We were very happy initially, but we didn't know what to look for.The brackets which attach the solar panels were not installed properly. Roof tiles were left broken leaving holes and tiles were not seated properly near the brackets. They should have shaved the underside of the tiles so that they sat flush. This fault would have been glaringly evident to a professional at the time. Once I knew what to look for I was ashamed at having been conned so badly. The owner inspected it and just walked away without saying anything. Now we have to replace the roof. Solar Central are not answering calls or emails. To make matters worse, I looked at their ABN history and discovered that they have been operating with multiple trading names changing at 1-2 year intervals. They have created a second ABN for this business name and created a Discretionary Trading Trust associated with the ABN for the business I engaged for the installation.I don't know whether this company has done the same thing to other customers, but engaging Solar Central to install our system has been devastating in our case. We are not wealthy and this could break us. BUYER BEWARE. VERY AWARE. A 10-year warranty for workmanship means nothing if the business doesn't respond or exist anymore.I am bothering to provide this review because I have heard this is a common trap for unsuspecting purchasers. People don't know how to inspect their system installation. You trust that safety inspections would provide protection. I have since heard of cases of other companies corner cutting on panel installation causing serious roof damage.",1.0,5.0,1.0,1.0,13kW,"$10,000 to $12,500",LONGi Solar,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/02cf49560c8c75f51cbc5c51f6f4674d0.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8016b1cb140033eea7f8053da15cd77b1.jpeg']",0,0
113998,Tanya,VIC - 3551,VIC,3551,True,2023-09-01,01 September 2023,3.5,,"I was impressed with the knowledge and advice from the sales consultant. We were booked in for Nov but had to wait till March for installation. We then were mucked around with dates, no shows and numerous calls trying to follow up. It's now Sept and although our set up is completed we are still being ghosted on a follow up on how to use our home kit & smart meter. Very disappointed, as I like to support a local business but the lack of communication I won't be recommending them.",5.0,5.0,2.0,2.0,7kW,"$4,000 to $6,000",Jinko Solar,Goodwe,,,1.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
98686,Hajo,VIC - 3516,VIC,3516,True,2022-03-22,22 March 2022,5.0,,"The crew at Solar Central were phenomenal in every facet. From quotation through to completion of the install. They went out of their way, to make sure, that satisfaction was guaranteed. I would highly recommend Solar Central to anyone seeking Solar systems for either home or business.",5.0,5.0,5.0,5.0,9kW,"$8,000 to $10,000",,Fronius,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
90604,Steven,VIC - 3054,VIC,3054,True,2021-06-11,11 June 2021,4.5,,Very happy with Solar Central from the first enquiry to the excellent communication and good quality installation.,4.0,4.0,5.0,5.0,4kW,"$4,000 to $6,000",Risen,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b65d2faf7e0ccf4c572e4747f4e14a700.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4feaf26069e1590640201f8160941d3e1.jpeg']",0,0
89976,Peter,VIC - 3550,VIC,3550,True,2021-05-20,20 May 2021,4.5,,"From quote and installation of our system every team member was obliging and happy to answer our questions. We were informed at every stage of the process and installation was arranged around our requirements, the installers were helpful very professional and tidy. Many thanks to the team at Solar Central.",4.0,4.0,5.0,5.0,6.6kW,"$10,000 to $12,500",SunPower,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
83016,Roslyn,VIC - 3550,VIC,3550,True,2020-10-28,28 October 2020,5.0,,"Solar Central were in contact within 2hours of the request for quote through Solar Quotes and quote submitted following day.Quick and efficient from quoting to installation.After installation area was left neat & clean. No rubbish.They organised everything, including the grid connection.",5.0,5.0,5.0,5.0,3.3kW,"$4,000 to $6,000",Jinko Solar,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
82950,Rob,VIC - 3437,VIC,3437,True,2020-10-26,26 October 2020,5.0,,I approached Solar Central as they had been recommended to me by a friend.  My sales enquiry was followed up promptly and professionally by Chantal who answered all questions and helped me gain a good understanding of solar energy.  This was followed up with a site visit from Matt who gave me a high degree of confidence that the proposed equipment and installation plan would be appropriate for our needs.Once I made the decision to go with Solar Central the paperwork and rebate application was smooth and install took place within the agreed timeframe.  Despite several days of poor weather Matt and his team completed the job with no hiccups.  All of the team members on site and in the office were friendly and courteous and took the time to keep me updated on their progress.The electrical inspection took place within a week and the system is working well.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Risen,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
82265,Gary,VIC - 3465,VIC,3465,True,2020-10-07,07 October 2020,5.0,,"From the outset we were impressed with the knowledge of the sales contact, well done Chantel, With 3 quotes supplied of different costs, comparisons were easier to make, and deciding which system to choose, was made a lot easier.The installers arrived on time and despite poor weather, worked late on the last day to complete the instal. After completion, the worksite was cleaned and a full explanation of how to operate the system was given and a contact number if there were any further questions.Solar Quotes arranged the electrical inspection and advised the electicity provider of the instal.Overall we are very impressed by the Solar Quotes team",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Jinko Solar,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
80906,David,VIC - 3453,VIC,3453,True,2020-08-28,28 August 2020,5.0,,"I am very careful who I would recommend as I am a tradie too, but I have no issue with saying I found them to be 100% professional, from their admin to all the tradies and the follow up.  Outstanding company.They responded immediately to give me a quote, they kept me updated on start time, they turned up and worked hard.Use them.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Suntech,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
77383,Brett,VIC - 3516,VIC,3516,True,2020-06-05,05 June 2020,5.0,,"Wonderful people to deal with, from the office to the installers, they were all wonderful, helpful, truthful and competent.They were right on time with the install. I would recommend Solar Central to anybody.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",SunPower,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
