review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
58297,Michael,SA - 5051,SA,5051,True,2019-01-10,10 January 2019,5.0,,"Very impressed with the process approach they used together with integrated technology. The initial quote, proposal, installation and system approach used were well considered and all worked first time. The Fronius solareeb app is fantastic and we are much better managers of power now.",5.0,5.0,5.0,5.0,More than 6kW,"$6,000 to $10,000",,,,,,False,[],0,0
39668,Anon,SA - 5049,SA,5049,True,2018-06-29,29 June 2018,4.5,,,4.0,4.0,5.0,5.0,More than 6kW,"$6,000 to $10,000",REC,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
38034,Kheng,SA - 5044,SA,5044,True,2018-05-07,07 May 2018,4.75,,"I received quotes from quite a few providers (both sourced from Finn's site and external)In the end I went with Solar Choice Australia (based in Somerton Park) as they were local and great to deal with.Had 2 systems installed (over a period of a month and a half).Rob (sales) was excellent to deal with, highly recommended. Easily contactable and very pleasant. No hard sell and was very accommodating of my various changes.He dealt with all the necessary approvals from SAPN efficiently.Gavin (installer) and his crew were fantastic! Knowledgeable and up to the challenge of the design we went with. Going above and beyond what was expected.He spent nearly a week on this project as the install encompassed multiple orientations, tilts and different inverter systems (both string and optimized).It rained on the install days and they powered through...Also very responsive even after the install has been completed.Would not hesitate to recommend them to friends and family.Only hiccup was the increase in pricing (through no fault of theirs, STC rates had dropped drastically during this period)Even then the final cost was extremely competitive.The final design went through many iterations, but the final result is one I'm very pleased with.The installed system is a fairly large residential system.I didn't go with the cheapest system but one with quality components that should perform well for many years to come.Next step would be batteries once they come down in price sufficiently.I would recommend doing your homework, ask questions on the Whirlpool site and reach out to Finn (if you have any further questions) before making your final decision.Don't forget to add on some form of consumption monitoring to see what you actually produce/generate, consume, export and save.",4.0,5.0,5.0,5.0,More than 6kW,"more than $20,000",REC,Solaredge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
42098,Peter,SA - 5169,SA,5169,True,2017-12-21,21 December 2017,5.0,,Excellent service and install process. Date that was requested was available and install done very quickly. I was very wary of getting a system as much as I really wanted to as everything that you hear about companies but honestly Rob was a pleasure to deal with and changed the plan numerous times at my request. The same system with a different company was over $1000 more and they couldn't install until it the new year. Highly recommended!!,5.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
41572,Tony,SA - 5125,SA,5125,True,2017-12-09,09 December 2017,4.75,,The installers were friendly  and professional.,5.0,4.0,5.0,5.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
34096,Ben,SA - 5050,SA,5050,True,2017-11-30,30 November 2017,3.75,,,4.0,3.0,4.0,4.0,5kW,"$3,000 to $6,000",Jinko Solar,Fronius,,4.0,3.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
40859,Terry,SA - 5167,SA,5167,True,2017-11-23,23 November 2017,4.25,,,4.0,4.0,5.0,4.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
40820,Michael,SA - 5159,SA,5159,True,2017-11-22,22 November 2017,4.5,,,4.0,5.0,5.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
40048,Stephen,SA - 5016,SA,5016,True,2017-11-06,06 November 2017,4.25,,,4.0,4.0,5.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
34129,Allan,SA - 5173,SA,5173,True,2017-11-03,03 November 2017,5.0,,,5.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",Qcells,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
