review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
135794,Nina,NSW - 2232,NSW,2232,True,2025-08-03,03 August 2025,5.0,,"Ben was easy to deal with and very helpful in answering questions and taking our calls prior.Nothing changed after we chose Ben as our solar installation company. He was prompt, careful during installation and took all rubbish away.We have now had the system for over a year and we are very happy with it. We managed to get more panels and a better price whilst buying a hybrid Fronius inverter and mid-range panels.Very happy to recommend Solar Concepts and Ben for his customer service, pricing and workmanship.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Trina,Fronius,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
124914,Nancy,NSW - 2508,NSW,2508,True,2024-08-12,12 August 2024,5.0,,Shopped around and Ben was very competitive he even managed to find room for a couple more panels with which no other provider saw the opportunity for. He was a pleasure to have around and left the site clear of rubbish. He came recommended by 2 other friends and I would happily recommend him now too. Service was fantastic. Very happy!,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,SolarEdge,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
111825,Anna,NSW - 2232,NSW,2232,True,2024-04-21,21 April 2024,5.0,,Great service professional and efficient installation. Installer has carried out many installations in my local area,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",I don't know,Fronius,,5.0,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
116801,Eugene,NSW - 2230,NSW,2230,True,2023-11-22,22 November 2023,5.0,,I asked Ben to follow up on some issues relating to a recent installation.He was very obliging and professional and maintained his excellent standards.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Trina,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
114890,Grant,NSW - 2030,NSW,2030,True,2023-09-26,26 September 2023,5.0,,"Ben was fantastic from the outset. Firstly he is very knowledgeable - so he gave me great advice on which products to use with value for money kept in mind.  He did the job himself on time and in the manner he said he would.  The installation was smooth and done to a very high standard. He talked me out of products he felt I did not need, when he could have gone along with it and made more money.  I was left feeling like I got the right product at a fair price. He has been responsive to my questions even after the final bill was paid. 5 stars in all aspects, I would recommend to anyone.",5.0,5.0,5.0,5.0,15kW,"$12,500 to $15,000",Trina,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
113247,Eugene,NSW - 2230,NSW,2230,True,2023-08-10,10 August 2023,5.0,,Ben is a local installer and is very experienced.This install was a replacement of a 12 yr old system and the installation was done in line with the quote.The job was professional and the site was left neat and tidy.I would recommend Solar Concepts.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Trina,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
111642,Leonard,NSW - 2217,NSW,2217,True,2023-06-19,19 June 2023,5.0,,Ben talked through the options with me to identify the best solution before providing a quote. The installation was done promptly and within the timeframe agreed. Very tidy and punctual and with a deep knowledge of solar and how to optimise the installation for best performance. I would certainly recommend Ben and Solar Concepts for solar installation.,5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Trina,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
111067,Michael,NSW - 2230,NSW,2230,True,2023-05-30,30 May 2023,5.0,,"Ben, of Solar Concepts, is local and installed my first 2,8 kW system in 2010. his work was great and i was very happy to know that he was still in business 13 years later, to install a replacement 10.8 kW system for me. He knows what he is doing and does it himself - not the salesman and sub-contractor you get with a big company. He did a brilliant job and I would recommend him without hesitation. He put in a 10.8 kW system for less money than the big companies quoted for a 6.6 kW system.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Trina,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
110816,Gary,NSW - 2232,NSW,2232,True,2023-05-22,22 May 2023,5.0,,I wanted to replace my old solar as it was very old. I was recommended to Ben he came back to me with a quote within 2 hours of my first call.Installation was completed on the days given. Not an easy job but was completed without any issues.I would highly recommend Solar Concepts to anyone looking to install solar system.,5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",,Fronius,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
106320,Leah,NSW - 2233,NSW,2233,True,2022-12-13,13 December 2022,5.0,,"We had our solar installed last week by Ben from solar concepts and I think he did a great job. Great communication about when he was coming, about what the job entailed and about the equipment he was using etc We felt instantly happy after talking to Ben that he knew exactly what he was talking about and what he was doing and he didn’t disappoint. I would recommend Ben to anyone. He also didn’t leave mess anywhere which every other trade I have ever dealt with has and as our Wi-Fi is not yet connected Ben offered to come back once it is and setup the app and show us how to use it.",5.0,5.0,5.0,5.0,15kW,"$12,500 to $15,000",Trina,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/fcee5028b844a1a70f7997ea0ed560d20.jpeg']",0,0
