review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
131081,Tony,VIC - 3942,VIC,3942,True,2025-02-26,26 February 2025,5.0,,"We had our system installed 3 years ago. At the time we contacted 3 suppliers and Wayne was the only one who came to our house, checked out our different roof angles and suggested a system totally different to the telephone/internet based installers and explained why. Very happy with their service and installation.I'm writing this review 3 years later because recently our Goodwee inverter had a melt down. We made a phone call to Solar Dynamics and they arranged one of their technicians to check it out, confirm it needed replacing and arrange the warranty claim with Goodwee. They followed up everything. We did not have to do anything other than wait for Goodwee to supply the new inverter. As soon as it was delivered to Solar Dynamics they installed it at our house and made sure it was connected to my phone app. The new inverter is running superbly.We were lucky to have purchased an inverter that the manufacturer honored the warranty. But more importantly we had the full back up and support of our installer. Well done Solar Dynamics.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,4.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
129631,Mark,VIC - 3951,VIC,3951,True,2025-01-09,09 January 2025,4.75,,"When we decided to add a battery and double our panel capacity, we thought it appropriate to check the market.  SolarQuotes proposed our original supplier, Solar Dynamics, and two other nearby operators,Those two other candidates had an opportunity to demonstrate that they could do better, but they failed badly.  As when we installed the first panels, Wayne at Solar Dynamics was the only candidate to spend time with me, hear what I wanted, and explain the finer details.  Neither of the others listened.  One simply quoted for a Powerwall 2 (yes, a fire hazard for a cedar weatherboard house) and not even the extra panels that were requested.  The other was going to put extra panels in a shaded area.Thanks for keeping the standards up, Wayne and the team at Solar Dynamics.By the way, the Sigen system with 16kWh of storage recommended by Wayne went in with only one slight hitch - it loses the wifi connection.  Solar Dynamics will be installing a wired internet connection in a couple of weeks.  The Sigen is otherwise performing flawlessly and has already carried us safely through a 6 hour blackout that we only knew about because Ausnet sent a message saying they were investigating.  To top that off, we use Amber as our provider and they are already managing the system so that we aren't just saving money - we are making money.No nuclear options needed or considered.",5.0,4.0,5.0,5.0,13kW,"$15,000 to $20,000",,,Sigenergy,,,4.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
125278,Martin,VIC - 3977,VIC,3977,True,2024-08-23,23 August 2024,5.0,,"Wayne explained about the basics, cleared my queries (I believe I didn’t ask any foolish questions as I had watched and read about solar technology from the fantastic website of Finn’s solar quotes) and he did a site survey. Suggested the best location for the inverter considering battery installation in future. The installers came and they did a wonderful job and didn’t leave rubbish. The admin staff at solar dynamics did a fantastic job in completing the required paperwork.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
124361,Craig,VIC - 3996,VIC,3996,True,2024-07-27,27 July 2024,4.0,,"First contact with Hermann was great ,gave me all the answers I needed and I used that with the other installers when they rang",4.0,4.0,4.0,4.0,7kW,,Canadian Solar Inc,Sungrow,Sungrow,4.0,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
123466,David,VIC - 3995,VIC,3995,True,2024-06-29,29 June 2024,4.75,,"The sales and quoting process was straightforward with no over-hyping and useful advice was given on optimum design and layout of panels for our site.Installation went ahead earlier than scheduled, which was a pleasant surprise.Installers were very punctual and super polite and did not mind being asked questions during the install. They were quick and efficient and cleaned up well after the install.",5.0,4.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Trina,Redback,,4.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_redback.png']",0,0
120044,Tony,VIC - 3953,VIC,3953,True,2024-03-09,09 March 2024,5.0,,"My experience with Solar Dynamics was first rate!  Wayne conducted a thorough site inspection prior to the preparation of his quote and happily answered my subsequent questions in several follow up conversations.  The installation team of three were friendly, professional and thorough. My installation was somewhat challenging, (complex roof presented cabling difficulties, cathedral ceilings etc.), the installers kept me informed of issues when they arose and resolved them in a competent and neat manner, mindful of the installed systems aesthetic appearance as well as its functionality.  The office staff were a delight to deal with and responded to my requests in a prompt and efficient fashion.  The 'icing on the cake' - Solar Dynamics were competitive in their pricing too! I have no hesitation in recommending them to prospective clients.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
118420,Paul,VIC - 3953,VIC,3953,True,2024-01-16,16 January 2024,5.0,,"Right from the initial quote, to on site review, subsequent revised quotes, installation and final electrical inspection, Solar Dynamics were consistently top quality in communication and delivery of the promised product.  The install team were brilliant and hard working on more than warm days on the roof.   Communication from the team in the office was clear and timely.  No question we asked was too silly and treated with respect at all times.  The whole experience was great.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",Jinko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
117886,Clare,VIC - 3953,VIC,3953,True,2023-12-23,23 December 2023,5.0,,"Sales team very helpful before agreeing to quote. Quote sign off very thorough. Installers on time, tidy and polite.Delivered job on time as planned",5.0,5.0,5.0,5.0,15kW,"More than $20,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
117068,David,VIC - 3121,VIC,3121,True,2023-12-02,02 December 2023,5.0,,"The up front service was extremely good and a clear solution was provided to meet my desires. The quoting process was also good. Information was provided as to the Govt's help on rebate and interest free loan.The installation was efficient, on time, and looks to be a sensible installation albeit slightly different to that proposed. A straight line installation was easier to install.I already had a grid system and so this was not necessary. What I really appreciated was the follow up from the company the day after the instal to see how it went and if I was happy which I was.A very good experience . Now we wait on approval from the Govt. and operation of the system.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Jinko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
107789,Philip,VIC - 3927,VIC,3927,True,2023-11-28,28 November 2023,4.5,,Quoting was extensive and were the only company that looked closely at my current systemSales person was skilled informed and professionalInstalled on the day quotedInstallers very professional and tidyAll communication was efficient and informativeVery happy with the system,3.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",Canadian Solar Inc,Fronius,Enphase Energy,4.0,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
