review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
71204,Tony,NSW - 2099,NSW,2099,True,2020-08-13,13 August 2020,4.0,,"Had the system installed since December 1 and so far great.  Helpful site visit, quick responses to queries and ""doing as they say they would"" on installation meant that there were no surprises and also very happy with performance so far.  I organised the grid connection before installation which occurred 3 days after installation with change out to a smart meter so good flow of timing. Particularly happy with the information from the Solar Edge Inverter software which means that you have the tool to manage our own electricity usage to match when we are generating power as far as possible.",4.0,4.0,4.0,4.0,7kW,"$8,000 to $10,000",REC,Solaredge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
75271,Frank,NSW - 2525,NSW,2525,True,2020-04-06,06 April 2020,5.0,,"The quotes provided by Tim were informative and allowed for options to be compared. Excellent pre-installation service. Tim answered all my questions and took time out of his day to explain things in detail (many times). Being new to all of this, I wanted peace of mind, and Tim was able to do this by putting me at ease and I felt comfortable trusting his advice not even having met him. No question was too hard or difficult.The team were punctual to the minute on installation day and very friendly. They were tidy and cleaned after themselves. They were happy to go the extra mile to ensure I was satisfied.Would definitely recommend Solar Fusion Solutions and the team. Excellent work guys.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",LONGi Solar,SMA,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
74342,Siao Hau,NSW - 2117,NSW,2117,True,2020-03-11,11 March 2020,4.75,,"I started by PV journey with a very strong recommendation from a friend. Getting my due diligence done, I decided to get the three quotes from SolarQuotes. Solar Fusion came up along with that strong recommendation that I had. I was intrigued by the excellent reviews for Solar Fusion but was slightly concerned about the somewhat short track record. The quotes came in and there wasn't much separating them.Where Solar Fusion excelled was the approach Tim Dimitriou (ostensibly electrical engineer but he does everything) had towards sales. He listened to what I wanted, to my concerns (e.g. my roof was relatively flat) and answered all my questions (e.g. I had a 3-phase supply - what does this mean for my system selection?), and I had A LOT of questions, being an engineer by training and profession. The other recommended installer, on the other hand, was more interested in a sale and gave me unconvincing responses to my questions. Solar Fusion wasn't the lowest quote (though it wasn't far off) but Tim's patience and conviction in addressing all my concerns gave me a lot of confidence in Solar Fusion doing a good job.And I wasn't disappointed. The install didn't go smoothly. It was a hot and blustery day and one of the panel wasn't secured well and fell over and cracked a skylight cover. I heard a noise but didn't know what had happened, not being on the roof. Tim disclosed in the incident fully and replaced both the errant panel and the skylight cover. The skylight cover replacement took a while but Tim followed up over the course of 4 months to get it done.All in all, I couldn't be more pleased with my choice of installer, given that I took a slight gamble on a installer with a relatively short track record. If you are looking for the best price, you could get it from someone else. If you are looking for an installer who understands your needs and constraints, design the best system to suit, being onsite to supervise the installation, and provide impeccable support throughout the entire process, Tim's your man.",4.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",LONGi Solar,Enphase,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/f1c7b933319db91207439afb283ee7b90.jpg']",0,0
67249,Theo,NSW - 2196,NSW,2196,True,2019-08-12,12 August 2019,4.75,,"I was extremely happy with my experience with Solar Fusion Solutions and its director Tim Dimitriou. Tim is a rare blend of a very capable engineer and unusually honest salesman. He was able to explain the very complex solar industry with its hundreds of companies and hundreds of different brands for panels and inverters. He also explained what are the benefits of having solar power in oneâ€™s home.Then he took drone photographs of my house roof and came with an optimal layout for the panels based on the position of the roof regarding the daily movement of the sun.Based on my bills from my electricity provider and on information I provided how and when during the day we use electricity power he offered three different engineering projects for the solar system power size based on price vs quality. Tim explained in detail each one based on price and quality. He even presented me with calculations of how much money saving was expected from each (all made a saving of over 80%). We agreed on the middle option and the date of the installation. Then he has a pleasant surprise by proposing to install sensors and software to monitor my daily solar production and usage which could be recorded every day on the website of the company Solaredge, so that I can enjoy how my solar system is doing from my computer.His crew were punctual and polite and did a hassle-free job. And Tim also came out to make sure everything was running smoothly during the installation.Tim also sent the necessary documentation to my electricity provider. Then they changed my old electricity meter to a bidirectional one (free of charge). And these days I watch how we are having a significant self-consumption, and making a nice profit even during winter.",4.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",LONGi Solar,Solaredge,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
66133,Eva,NSW - 2030,NSW,2030,True,2019-07-15,15 July 2019,5.0,,The quotation/sales were very detailed and explanations were clear and transparent.The installation was issue free.The connection to the grid was explained and went smoothly.After sales service was great. Would be great if all services were so efficient and hassle free.,5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",,,,,,False,[],0,0
64746,Rich,NSW - 2035,NSW,2035,True,2019-06-04,04 June 2019,5.0,,"I was extremely happy with my experience with Solar Fusion Solutions. Tim took a very personal approach to explain a very complex marketplace. He was able to easily beat competitive quotes provided by the major power companies on identical equipment. We then compared the pricing and performance with higher quality, more reliable equipment options. We spent literally hours on the phone discussing the different options and Tim sent me various comparison quotes so I could fully understand the costs and implications.  In the end I was very confident in the choices I was making.Tim also spent some considerable time with me making sure the layout of panels was the correct and most efficient one, based on my house location. This was after the sale had been made.Tim also personally oversaw the installation process. His crew were punctual ad polite and did a very good job. And Tim also came out to make sure everything was running smoothly once the equipment was installed.Tim even followed up 2 weeks later to make sure everything was still working and I was satisfied.From start to finish Tim's service levels were off the charts. I have no hesitation in recommending him to anyone who is looking for solar.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,,,,,False,[],0,0
63328,Anon,NSW - 2211,NSW,2211,True,2019-04-27,27 April 2019,5.0,,"I highly recommend Solar Fusion, Tim our sales rep not only sold us the unit, but he is highly qualified, he has excellent knowledge of Solar Systems and actually tailored the Solar according to our needs and requirements. He took the time out to explain the system to us in detail and was always available when we had additional questions to ask. Overall Fantastic Service.We were looking at a different Solar Systems with other companies, but Tim stood out amongst them all, and it was a very easy decision to go with Solar Fusion.",0,5.0,5.0,5.0,6kW,"$10,000 to $15,000",,,,,,False,[],0,0
62334,Michael,NSW - 2030,NSW,2030,True,2019-04-07,07 April 2019,4.75,,"I was most impressed at the way Tim analysed our particular requirements and my house and roof layout.  He engineered the system to give maximum output, excellent quality and best value for money.  A number of my friends have used them as well and were delighted with the outcome.Highly recommended",4.0,5.0,5.0,5.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
62100,Jacqui,NSW - 2227,NSW,2227,True,2019-04-02,02 April 2019,5.0,,"We have ducted air conditioning, an electric stove and a pool, so we were very keen to reduce our electricity costs!  A very good friend of ours recommended Tim of Solar Fusion Solutions to us, because he had used him to install Solar on his own house, and on his kids houses, so he knew Tim quite well, and really admired his honesty.We followed his recommendation and got Tim Dimitriou of Solar Fusions Solutions to design and install our solar setup.  From the start we knew we had done the right thing, as the discussions we had with Tim were totally professional and honest.  He instantly identified our shading problem, and offered us various solutions for it.  He gave us several quotes, outlining the pros and cons of each variation of panels and Inverters, and then we talked about them.  He listened to our ideas and adjusted his quotes accordingly.We chose one, and the installers were very competent and professional.  They did a great job, and we are extremely happy with their neat work.  Tim kept an eye on the solar production and identified a small problem, which turned out to be an Ausgrid issue.  He quickly set about getting it fixed by Ausgrid.  We are managing significant self-consumption, and making a tidy profit.  The main things not happily powered by the sun now are the Off Peak Hot Water, and the night time use of the stove, lights and TV etc â€¦We would happily recommend Tim Dimitriou of Solar Fusion Solutions to install Solar Power to anyone!",5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
57984,Kevin,NSW - 2033,NSW,2033,True,2019-01-02,02 January 2019,5.0,,"Tim Dimitriou is a true professional. From the planning stage through to implementation and delivery, the process was seamless and efficient. Tim has excellent knowledge regarding solar and how I could use it to my benefit. He provided me with over 10 different permutations and solar output schedules for my property, all with justification as to why to use the layout I eventually selected - and it wasn't based on price but rather to achieve maximum benefit. I have already recommended Tim to 2 other friends and I will use him again for another property of mine.",5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
57752,Anon,NSW - 2026,NSW,2026,True,2018-12-29,29 December 2018,4.0,,"Dealt directly with Tim Demetriou the director of the company and found him to be very professional, friendly helpful. He had no problems answering questions, was available promptly and would highly recommend him to anyone else. Excellent backup",4.0,4.0,4.0,4.0,6kW,"$10,000 to $15,000",,,,,,False,[],0,0
57082,Lin,NSW - 2037,NSW,2037,True,2018-12-13,13 December 2018,5.0,,"Tim was really good in providing the options and their pros/cons. Tim also made sure we were aware of the steps and kept us up to date with the installation progress. After installation, Tim checked on the system for us and answered any questions we had. I would fully recommend Tim and Solar Fusion Solutions to anyone looking to buy solar.",5.0,5.0,5.0,5.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
56687,Terence,NSW - 2137,NSW,2137,True,2018-12-05,05 December 2018,4.5,,After sales service and support has been exceptional. Tim goes above and beyond and is always available to help and advise.,4.0,5.0,4.0,5.0,6kW,"$10,000 to $15,000",,,,,,False,[],0,0
56514,Frank,NSW - 2168,NSW,2168,True,2018-12-01,01 December 2018,4.75,,"1st Class experience all the way from sales to installation to services.Everything  was explained clearly, appointments were kept.Communications all the the way through the process was exceptionally good.I would have no hesitation in recommending Solar Fusion Solutions to anyinterested in having solar power installed.",4.0,5.0,5.0,5.0,More than 6kW,"$10,000 to $15,000",,,,,,False,[],0,0
56349,Melinda,NSW - 2030,NSW,2030,True,2018-11-28,28 November 2018,4.75,,"I can highly recommend Tim and Solar Fusion Solutions.   The solar industry can be very confusing and there seem to be a lot of people in the industry who are dishonest, pushy and/or selling poor quality systems with no follow up or care for the customer's long term goals of saving money on electricity and doing the right thing for the planet by using solar.   Tim is NOT one of these people!  He is a true professional with a wealth of knowledge about solar and great customer service.   He went above and beyond to make sure I got the system that was right for me, that it was installed properly and that it continues to work optimally and efficiently.   Although he was not required to, he monitored my solar production for the first few months to ensure everything was at it's best.   Luckily for me, he noted an issue that I would not have been aware of that meant that I was not producing as much power as I could have.  He immediately contacted me, came and tested the system, diagnosed the problem, got the installer to make changes to overcome the problem and then continued to monitor performance after the fix to make sure all was good.  Other members of my family have also now benefited from solar installations by Tim and we are all very happy.  If I have the opportunity to install Solar again, I will definitely use Tim and Solar Fusion Solutions.",4.0,5.0,5.0,5.0,More than 6kW,"$6,000 to $10,000",,,,,,False,[],0,0
55940,COLIN,NSW - 2540,NSW,2540,True,2018-11-19,19 November 2018,5.0,,"Tim Demetriou made the entire experience totally hassle free and have already recommended him and his company to several friends,some of whom have already installed with him.He is reliable and free to give his expertise and time,even once you've signed up with him.His team of installers were spot on time,very pleasant to deal with and left my house without a trace of rubbish.5star service throughout the experience.",5.0,5.0,5.0,5.0,6kW,"$10,000 to $15,000",,,,,,False,[],0,0
55935,Peter,NSW - 2540,NSW,2540,True,2018-11-19,19 November 2018,4.75,,Absolutely thrilled with system and company I dealt with.Tim of Solar Fushion Solutions was veryKnowledgeable and proffesional in his approach. At no time did I feel under â€œSales Pressureâ€.Have already recommended Solar Fusion Solutions to 3 other persons.Have already noted savings on my electrical bill,5.0,4.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
