review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
123866,Ioan,WA - 6058,WA,6058,True,2024-07-11,11 July 2024,5.0,,The quotation process was very simple and helpful to all our questions.Installation dan in time very tidy.Customer service 10/10.They organised the grid connection.,5.0,5.0,5.0,5.0,10kW,,Akcome 440w NTYPE (Other),Sofar (Other),Sofar (Other),,5.0,False,[],0,0
118380,Andrew,WA - 6208,WA,6208,True,2024-01-15,15 January 2024,5.0,,Very excellent service from quote to installation. Every question I asked was answered in a timely manner.,5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",,,,,,False,[],0,0
112344,John,WA - 6100,WA,6100,True,2023-07-14,14 July 2023,5.0,,"Our old Solar Edwards had finally given up leaving our household with no hot water and urgently looking for a new system and with no idea where to start. I called Dave at Solar Harness who was polite and cheerful over the phone and asked many questions including gauging our usage and what was already installed.Dave gave us a couple of options and made a recommendation for the enviroheat pump due to our usage, this also was not the most expensive option which was great.Once we were happy with this option the installation was squeezed in very quickly and the team that arrived completed the install in no time and were very professional, with hot water running in no time.Overall a great experience by Dave and his team at Solar Harness and happy to continue to use them as well as recommend.",5.0,5.0,5.0,5.0,1.5kW,"$4,000 to $6,000",,,,,,False,[],0,0
112301,Nick,WA - 6011,WA,6011,True,2023-07-13,13 July 2023,5.0,,"Knowledgeable, helpful, and affordable. The installation process was quick and easy, and the installers were professional and efficient. I would definitely recommend them to anyone who is looking for solar.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,,,,,False,[],0,0
109799,JArrad,WA - 6163,WA,6163,True,2023-04-19,19 April 2023,5.0,,"How was the sales/quoting process?Was fantastic, was scared to buy form a Cowboy company, as heard some bad stories, however doing my research on Solar Harness we came to buy from them. Can not recommend them more.How did the installation go? Polite? Tidy? Punctual?On time, clean and courteous.How was the customer service? e.g. did they help organise the grid connection after the install?Was smooth from start to finish.",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Phono,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
101192,Shane,WA - 6230,WA,6230,True,2022-07-07,07 July 2022,5.0,,From the amazing Vicki (sales) to Calvin (gun installer) i can not fault this team whatsoever…great to keep my money here in WA too…impossible to fault the whole process when your dealing with these guys…roll on saving some money!,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,Shenzen Sofar Solar,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_shenzen-sofar-solar.png'],0,0
90196,Geoff,WA - 6071,WA,6071,True,2021-05-28,28 May 2021,5.0,,"Solar Harness put in my original PV System and therefore were the first I contacted. David Murray was extremely helpful about putting in a larger system and made the process very smooth.I was offered a very good deal and in just 10 days  the old system was removed and the new installed.The service was exceptional, highly professional and the installer, J, was efficient, neat and tidy.I would not hesitate to recommend this company and the quality of the system is very good.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,False,[],0,0
85905,Tom,WA - 6156,WA,6156,True,2021-01-21,21 January 2021,5.0,,"Solar Harness installed a 3kW system for me 9 years ago. Originally there was a defect with the inverter that they supplied and they came and installed a new (upgraded) model without hesitation about a year after the original install. I recently had some troubles with the inverter, and they were still in business (awesome) and were really willing to help. The system is now back up and running again!From what I have seen and heard, getting good after-sales support from solar installers can be difficult and these guys went out of their way to help. Big thanks to David and the crew!",5.0,5.0,5.0,5.0,3.3kW,"$4,000 to $6,000",,Fimer,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
76510,Abby,WA - 6122,WA,6122,True,2020-05-08,08 May 2020,5.0,,"We recently purchased a system from Solar Harness. Solar Harness were very professional, easy to deal with and their installers did a great job! We have been very happy with the savings we have received so far. We would highly recommend purchasing a system from them.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Phono,,,5.0,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png'],0,0
73487,Peter,WA - 6110,WA,6110,True,2020-02-13,13 February 2020,4.75,,Very easy to deal with from start to finish. Not the cheapest but definitely good quality,5.0,4.0,5.0,5.0,5kW,"$4,000 to $6,000",Jupiter link (Other),Sofar (Other),N/A (Other),,,False,[],0,0
72497,Francis,WA - 6170,WA,6170,True,2020-01-17,17 January 2020,4.25,,"â€¢ Sales Personell Paul was great, patient, understanding, of our situation, accomodating, & did not try and upsell us only the biggest system but actually recommended us only what we needed + a little extra.â€¢ Installers Jack & David from Vista were very punctual, try thier best to keep the noise level as low as possible, & made adequate effort to not interrupt our day as much as possible.â€¢ Yes, Paul organized all the necessary arrangements for the Reprogramming of the meter and Grid connection very promptly, & even organizied the Interest Free Finance. Very happy.",4.0,4.0,4.0,5.0,3kW,"$4,000 to $6,000",Not sure (Other),Shenzen Sofar Solar,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_shenzen-sofar-solar.png'],0,0
69007,Sarah,WA - 6056,WA,6056,True,2019-10-04,04 October 2019,5.0,,Fantastic company to deal with. The process was very easy and the installation time/date was flexible to suit us. The product is great quality and has made a great impact on our electricity bills. Would highly recommend them,5.0,5.0,5.0,5.0,2kW,"$6,000 to $8,000",SolarWatt,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solarwatt.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
65343,Brian,WA - 6112,WA,6112,True,2019-06-20,20 June 2019,1.75,,"After enquiring about one panel (the panel does not have water on it when it rains and all the other panels have water beading up) I was told next time it rains I need to climb up on my roof & take a photo & send it in to them, I was also told its only been up their 1 month so it should be fine...!!! My question was do they think the installer forgot to take the plastic cover sheet off 1 panel, the answer I received was they don't leave the factory with it still stuck on them, my reply was well the installer left the rest of the plastic cover sheets jammed in our gutters which was lucky that i found it as solar harness would of had been responsible for my gutters overflowing possibly into our house. Not happy with response I expect better than climb up & take a photo next time it rains after what i paid for the system ....if this is the way they deal with enquiries they need to step up better than that response.",2.0,2.0,2.0,1.0,6.6kW,"$6,000 to $8,000",,,,,,False,[],0,0
