review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
129596,Iain,VIC - 3551,VIC,3551,True,2025-01-08,08 January 2025,3.0,,"I initially decided to go with this company but then cancelled my contract and asked for a refund of my deposit. Worrying (strange) signs initially were questions like ""do you think you'll go with us?"" only 2 days after intial contact and after having told them I wouldn't make a decision until the next week. They persisted and asked 4 days after contact ""say you'll go with us .... please?"" Very strange indeed.In the following days I was fed all sorts of incorrect (false) information including:- My existing 12 year old system ""would only be generating 5% of its original output. It was actually generating 90%- Tilt angle of the panels makes no difference to power output which is blatantly false- Fronius inverters will cost ""thousands more"" than their preferred inverters, again false- No idea that less than 10 degree tilt angle can invalidate some panel warranties- Stated that it doesnt make much difference if panels are facing north or west, false- Didn't understand what I was trying to achieve (maximise production at start and end of the day) and wouldn't listen- Pestered me multiple times to contact VicSolar about progress of my solar rebate application even before VicSolar'sminimum response time had been reached- Wouldn't stop talking and listen- Would not refund my deposit after 2 weeks of requests until I threatened further action.I had lost all confidence in this company and their lack of knowlege of solar basics, false statements etc which is why I cancelled the project.Their rating of 3.8 at the time of discussion says it all.",3.0,,0,3.0,10kW,,,,,,,False,[],0,0
123193,Gavan,VIC - 3713,VIC,3713,True,2024-06-19,19 June 2024,5.0,,"Great system. great company to deal with. Michael Barnett the representive I dealt with was absolutely great to deal with, nothing was to much trouble to help out.As was all the people I spoke to.absolutleya great company.",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",,,,,,True,['https://www.solarquotes.com.au/img/evchargermanufacturers/I_tesla.png'],0,0
118058,Andrew,VIC - 3620,VIC,3620,True,2024-01-02,02 January 2024,4.25,,I purchased the package deal.  10.6 kW hr battery. 6 kW panels and suitable inverter.  The system has done far more than I ever expected. I chose to get a frame so the panels were optimally aimed.  In this house they are all facing North.  This gives the maximum power per day although panels facing North West would give more on a summer evening where the demand is highest.I signed up at the end of June 2023.  I had some difficulty with the paperwork with Solar Victoria for the rebates because they wanted a quote.  I sent the quote but the initial quote wasn't what they were after so a second quote finalised this and got the process started.After two months I got the hurry up from solar victoria and after three and a half  months they said that my rebates were about to expire.  I contacted Solar Victoria and got a three month extension.   Finally after four months the system was installed.I was impressed by the capabilities of the system.  A little disappointed that although I was feeding back 30 to 40 kwHr per day while using just 8 I was still being billed for some electricity. Somehow the device uses some power from the grid to run the inverter at night even though the battery has plenty of capacity. (it uses about 2kW per day even if I am not using any other electricity from the grid).Of course Powercor has not credited me with any of the feedback. But that has happened before.  Eventually it will get sorted out.Other than the amounts mentioned above I haven't used any electricity from the grid in two months of use.The actual installation was fine.  A single day and everything was complete and operational.  No fuss.  Not even without power for a long time.  Much of the installation was complete before the power had to be turned off temporarily.,5.0,5.0,3.0,4.0,6kW,"$12,500 to $15,000",,SolaX Power,SolaX Power,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/cb2ee191fb6fee64a7f091c6cfb6b7640.JPG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/97639695b2384276a78ae04829ee65881.JPG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/ec153bd8134d1c24996ae62d3a7e21b83.JPG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9a8656cc7e0827558d9386dd07fd2b685.JPG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/306ddaf38d9fa060b2dff0cfef23bcff7.JPG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/dc85fdc999671f85cd8663dbab671b198.JPG']",0,0
114250,Evelyn,VIC - 3162,VIC,3162,True,2023-09-08,08 September 2023,5.0,,I engaged with solar link to install a solar system for our house as electricity prices are so high. They were professional and easy to deal with. Installed in quick time. Couldn't be happier.,5.0,5.0,5.0,5.0,6.6kW,,EGing,Solis,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_eging.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
104870,Victoria,VIC - 3149,VIC,3149,True,2022-10-28,28 October 2022,2.75,,The quote and invoice documentation was deceiving.  I was given a quote for total of $2990 and the first invoice I received was for the same amount.  I paid this amount only then to be invoiced for another $1400 as I elected not to get the interest free loan.  At no time did I receive any documentation stating the total cost for the system was for anything other than $2990.For my 10 panels there were 5 installers on site and all of their vehicles parked illegally in the street creating a hazard.No evidence (eg photos) was provided on how the panels were installed and climbing up 15+metres to check it is not possible for me.  The roof is not visible from any angle on the street so I have no clue if they installed every panel as proposed.,3.0,3.0,2.0,3.0,3.3kW,"$4,000 to $6,000",,I don't know,,,,False,[],0,0
101552,Kris,VIC - 3041,VIC,3041,True,2022-07-21,21 July 2022,5.0,,Why contacted a few companies in relation to solar and we found that Solar Link Australia were transparent from the start and that all their operations were local which gave us that extra satisfaction and trustworthiness.The salesman was very knowledgeable and was very polite and always answered my questions with no problem. He even answered his phone after hours as I'm busy during the day.The install was smooth and we are very happy with our system. Highly recommended.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Trina,Solis,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
99353,Michael,VIC - 3162,VIC,3162,True,2022-04-21,21 April 2022,5.0,,"Solar Link installed solar on my house and I can't recommend them highly enough. They were efficient from the word go, hassle free, cheaper than anyone else and above all, a very happy happy customer. I have had friends and family use them too and they are very happy. Highly recommended.",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",,Solis,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png'],0,0
94865,Louie,NSW - 2147,NSW,2147,True,2021-11-03,03 November 2021,5.0,,The guys at Solarlink were awesome to deal with!Ryan was informative and communicated clearly at every stage without any pushy sales tactics.The installation team were awesome and left our place spotless!Thanks again and was a pleasure dealing with you guys,5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Canadian Solar Inc,Goodwe,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
91877,Noelle,VIC - 3730,VIC,3730,True,2021-07-29,29 July 2021,4.5,,It was a hassle free process and Pat the installer was great.,5.0,3.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Risen,Solis,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
89940,Lawrence,VIC - 3108,VIC,3108,True,2021-05-19,19 May 2021,4.75,,"Sales/quoting process was excellent,Installation was firstly very informative by the Installer Foreman, his team were very polite and the panels, wiring and Inverter were installed very professionally and tidy. However the only disappointment was that offcuts of wiring and pvc tubing was not tidy in so far as they were thrown into the garden, driveway or left on the roof.Customer Service. was excellent, including the grid connection after the installation.",5.0,5.0,4.0,5.0,6kW,"$8,000 to $10,000",Risen,Solis,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
86579,John,VIC - 3747,VIC,3747,True,2021-02-08,08 February 2021,4.25,,,4.0,4.0,5.0,4.0,5kW,Under $3000,,Solis,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png'],0,0
