review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
138260,John,QLD - 4300,QLD,4300,True,2025-10-07,07 October 2025,1.5,,"I placed an order for a solar battery and paid a $500 deposit. I was advised that the estimated arrival time would be 4–6 weeks, but it has been 7 weeks and now it’s now the 8th week and I still haven’t received an ETA or a refund. The person I’ve been communicating with has been responsive, but unfortunately, the promised timeline hasn’t been met. I’ll continue to share updates here as things progress.",1.0,1.0,1.0,3.0,10kW,"$4,000 to $6,000",,ESY (Other),ESY Sunhome,,1.0,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_esy-sunhome-batteries.png'],0,0
134831,David,NSW - 2229,NSW,2229,True,2025-07-01,01 July 2025,5.0,,Was very helpful and quote came quickly. Great service all the way through.,5.0,5.0,5.0,5.0,more than 30kW,,,XESS,XESS,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_xess.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_xess.png']",0,0
133458,Rob,VIC - 3214,VIC,3214,True,2025-05-15,15 May 2025,5.0,,"Very neat, tidy and nothing was a problem. Would highly recommend them",5.0,5.0,5.0,5.0,6kW,"$0 to $2,000",,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e538494353cc327e4eef9ede40192a120.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4ad9cee7c868eaacec234f92ecc098a81.jpg']",0,0
130332,Oliver,QLD - 4300,QLD,4300,True,2025-01-31,31 January 2025,1.0,,"I have my solar system installed by Solarmasters 2017 and the inverter fails 2025 January. I'm trying to get the hold of them for the warranty to replace inverter but they are hard to contact and seems avoiding the situation. Avoid these guys, my advise is go to a reputable company.",1.0,1.0,1.0,1.0,5kW,"$8,000 to $10,000",BYD Solar,,,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_byd-solar.png'],0,0
129523,Randell,QLD - 4210,QLD,4210,True,2025-01-06,06 January 2025,4.0,,"Punctual, great communication. Respectful and took the time to explain how to use and left his contact details for any questions we had later on.",4.0,4.0,4.0,4.0,13kW,"$4,000 to $6,000",JA Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
127980,Wilson,QLD - 4226,QLD,4226,True,2024-11-15,15 November 2024,1.0,,"Very disappointed and Stressful! Already paid a deposit more than a month ago but upto now our solar system is not yet installed! Already made 3 attempts of sending an unreliable installers to our house and upto now no Solar panels installed on our roof! Communication also very bad! You’re the one who always need to chase them for an update if what’s going on and their phone numbers are always not working so you’ll waste a day or two before you can contact them! Very stressful and waste of our time!RESPONSE:Yes sending installer 3 times,first installer - didn’t come (no show!)second installer - didn’t come (no show!)third installer - came but incapable of doing itFYI: There’s already a lot of solar system installed on our complex with the same roof and townhouse design so don’t tell me that it’s not doable or challenging job. we even provided a photo of the installation made on one of the townhouse so that the installer can just copy it but the 3rd installer just walked away and say he can’t do it.UPDATE:After Solar Masters sees my review they have contacted me over the phone and ask me to delete my review immediately and told me that they will not continue the installation and threatened me that they will sue me for criminal defamation if I will not delete it. So me and my wife was really upset because we’re being threatened so we just decided to totally cancel the installation because we already have enough and it’s already causing us a lot of stress on our part and we don’t want to be threatened like thisFYI: we will not delete/revise our original review above even if Solar Masters threatened us and you (Solar Master) should not be threatening your clients for criminal defamation if ever you have received a bad review.LESSON LEARNED: (Advise to potential solar clients)-Choose the right Solar Company and don’t fall for a cheap installation same as I did.-Make a company background check first, make sure that the company is legit and reliable-Check if their after sales support works, try dialling their after sales support / service number, see if it’s even working!?-Check if the company has a real existing office and their company address is correct!-Verify that their employees/staff are using legit/real names and not just fictitious names for some reasons-Think twice! (Fictitious names = Dodgy!)?Hope my review will help others to choose a right solar company installer and will not have a bad experience like us. thank you",1.0,1.0,1.0,1.0,7kW,"$4,000 to $6,000",,,,,,,False,[],0,0
127551,David,QLD - 4035,QLD,4035,True,2024-11-01,01 November 2024,1.75,,Purchased a 10kwatt system installed on the 10 Oct. Installer dumped those unwanted clippers and rubbish on the roof. They cracked 5-6 of the roof tiles but did not replace them ( I have ready more than 10 new tiles for replacement). The panels they installed was very close to the edge of the roof ( Regulation state that it must 20cm away from the edge of the roof). Send videos and photos to Solar Masters and spoke to the person in charge of installation. Send text and email many times but never respond. Very very poor services. Will consider to take legal action against this company.,2.0,3.0,1.0,1.0,10kW,"$4,000 to $6,000",Jinko Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d1c69a3d3c21350696aece05c866dcb57.jpg']",0,0
125484,Ben,QLD - 4500,QLD,4500,True,2024-08-29,29 August 2024,5.0,,"I contacted Solar Masters in Brisbane after seeing their advertising. Mark talked me through their options and provided a thorough solar proposal. The quality of his service and the detail in the proposal satisfied my questions and I was happy to proceed. Once I confirmed, everything from that point was seamless and handled by Solar Masters. I had to delay their initial installation date and this was no problem for them. The installation team were great too.",5.0,5.0,5.0,5.0,10kW,"$2,000 to $4,000",Seraphim,Solis,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
115849,Ileana,QLD - 4078,QLD,4078,True,2024-08-19,19 August 2024,4.5,,"I chose Solar Masters as installer because of comprehensive information given prior to installation, price affordability and instalation quality . They helped me with the best solar panels design for my circumstances, organized the grid connection in my behalf, brought down the old system and had the new system working by 2 pm same day.The crew lead by Leroy was professional, polite and left the property tidy at the end.",4.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
123229,Martin,QLD - 4179,QLD,4179,True,2024-06-20,20 June 2024,1.75,,"Massively pressured selling. Constantly ringing me pushing  me to buy.  I was worried about changes and costs after signing and was assured numerous times that wouldn’t happen.It did.Install was a nightmare to arrange. Then they just didnt turn up, not even a phone call.Then they finally come and from the first second it’s a barrage of issues of how they cant do it the way they planned it, complaining about costs etc.They kept changing panel location and the system is very sub optimal.  String layout and panel location nothing like original plan.  Many panels in shaded locations.Now they want more money to make it as planned.",2.0,3.0,1.0,1.0,20kW,"$12,500 to $15,000",Trina,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
