review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
31046,Anon,VIC - 3562,VIC,3562,True,2016-07-15,15 July 2016,2.33,,Cannot Contact the company at all,0,2.0,4.0,1.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
30157,Ian,VIC - 3046,VIC,3046,True,2016-04-18,18 April 2016,2.0,,"Bought 3.3 Kw set up in April 2011. Installation a shambles 2 months, bad response to phone calls. 5000 TL inverter failed April 2016, sonds like a record for Sunna.Installer and Sunna gone belly up.",2.0,3.0,2.0,1.0,3kW,"$10,000 to $15,000",,Sunna Tech,,,3.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sunna-tech.png'],0,0
8947,Phillip,VIC - 3169,VIC,3169,True,2012-10-08,08 October 2012,4.75,,"The agent (Gary) from Solar Megamart who I spoke to was extremely helpful and did not mislead me or try to push his product. I was very satisfied with the price he provided, the information and service he offered. He knew the meaning of customer service and follow up.On the other hand, I felt that I was let down by the service provided by the head office or the administration. Following my initial upfront deposit payment I waited for approximately 2 weeks before receiving an invoice. Furthermore the date of installation was cancelled and rescheduled on 2 occasions. However this could have been attributed to the high demand for solar power in the month of June.",5.0,5.0,4.0,5.0,3kW,"$6,000 to $10,000",Canadian Solar Inc,Sunna Tech,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sunna-tech.png']",0,0
9118,Brian,VIC - 3951,VIC,3951,True,2012-09-14,14 September 2012,4.0,,"Due to the difficulty of getting it installed before the end of the year and to get the Govt rebate this was one company that was able have this done .While the system is generating power to the grid this is only an offset amount until I have the meter changed to a smart meter and receive the 60 cents a kw ,it has been suggested up to 6 weeks for the power company to effect this.I have read some negetive comments about this company but have had no trouble so far but have still have paperwork to be lodged for the job to be completed.",4.0,4.0,4.0,4.0,5kW,"$15,000 to $20,000",Lightway,Sunna Tech,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lightway.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sunna-tech.png']",0,0
8481,Ian,VIC - 3046,VIC,3046,True,2012-09-12,12 September 2012,1.0,,"Installation started 16-5-2011, still not complete, not enough panels sent out and wrong sized panel sent to finish.5 KW inverter purchased with a view to extend the system from an initial 3.36 KW to 5 KW.The array so far installed leaves no room for enough additional panels to fully utilise the 5 KW inverter even though there is enough roof space to do so.Since signup the panel type and inverter have both been changed due to SMM inability to supply quoted components. Array supplied totals 3.29 KW as against 3.36 quoted .Phone calls to SMM installation manager go to message service and are not returned.Phone calls to SMM HO elicit a platituinous respons and suggestion I contact the installer. the installer is a subcontracter apparently used as a cut-out or blame shifter to remove responsibilityfrom SMM management.",1.0,1.0,1.0,1.0,2kW,"$10,000 to $15,000",Lightway,Sunna Tech,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lightway.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sunna-tech.png']",0,0
13240,Heather,VIC - 3950,VIC,3950,True,2012-05-25,25 May 2012,4.0,,,4.0,4.0,0,4.0,1.5kW,Under $3000,,,,,,False,[],0,0
10637,Tim,VIC - 3195,VIC,3195,True,2011-11-01,01 November 2011,4.25,,The subcontractor was fantastic. SMM were good and always available.,4.0,4.0,5.0,4.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
9622,Ian,VIC - 3040,VIC,3040,True,2011-07-31,31 July 2011,4.5,,,4.0,4.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
9381,Frankie,VIC - 3531,VIC,3531,True,2011-07-18,18 July 2011,4.5,,,4.0,5.0,4.0,5.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
8737,Ian,VIC - 3124,VIC,3124,True,2011-06-24,24 June 2011,3.67,,"Installation was very fast but still waiting for energy supplier to instal dual-feed meter & turn it on.Lady on their enquiries line was a bit confused, sales guy very helpful & flexible.",4.0,,4.0,3.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
