review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
18862,Anon,VIC - 3756,VIC,3756,True,2013-05-31,31 May 2013,3.67,,,4.0,4.0,0,3.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
5916,David,QLD - 4005,QLD,4005,True,2012-09-11,11 September 2012,3.67,,,4.0,4.0,0,3.0,1.5kW,Under $3000,can't recall.... (Other),Latronics,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_latronics.png'],0,0
15652,Rodney,NSW - 2282,NSW,2282,True,2012-09-04,04 September 2012,4.75,,"I was provided with a single point of contact for all of my questions. Kris looked after the process from beginning to end. He provided me with estimates over the phone and later visited me at home to ensure I understood how the whole process worked and to iron out any potential issues with an installation. My system has been in for six months now and has done exactly as described, you could definitely call me a happy customer.",5.0,5.0,4.0,5.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
12280,Paul,NSW - 2323,NSW,2323,True,2012-04-10,10 April 2012,4.75,,Would recommend and already have recommended Solar Power Australia to family and friends who have enquired about our system and the service and advice we recieved from them during the process of selection for our system.,4.0,5.0,5.0,5.0,1.5kW,Under $3000,,,,,,False,[],0,0
11903,Anon,VIC - 3953,VIC,3953,True,2012-03-19,19 March 2012,4.0,,,4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
11902,Darryllyn,VIC - 3953,VIC,3953,True,2012-03-19,19 March 2012,4.0,,,4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
9692,Jos,QLD - 4570,QLD,4570,True,2011-08-04,04 August 2011,4.25,,,4.0,4.0,4.0,5.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
8539,Chris,QLD - 4854,QLD,4854,True,2011-06-15,15 June 2011,5.0,,,5.0,5.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
4551,Steven,NSW - 2299,NSW,2299,True,2010-12-27,27 December 2010,5.0,,Brant Palmer was the sales rep and he explained ahd went through all the things I didnt understand about solar power. I would recomend him to anyone.,5.0,5.0,0,5.0,1.5kW,Under $3000,,,,,,False,[],0,0
4113,Anon,NSW - 2795,NSW,2795,True,2010-12-04,04 December 2010,4.5,,,4.0,4.0,5.0,5.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
2386,Anon,NSW - 2486,NSW,2486,True,2010-08-28,28 August 2010,4.0,,,4.0,4.0,4.0,4.0,1.5kW,Under $3000,,,,,,False,[],0,0
1849,Bob,QLD - 4211,QLD,4211,True,2010-07-24,24 July 2010,4.0,,"Thank you for all your information, it was the best that I had found anywhere",4.0,4.0,0,0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
1278,Ian,NSW - 2282,NSW,2282,True,2010-06-19,19 June 2010,5.0,,I found a upplier who was only 1km from home. It is always an advantage to see the people and the product at first hand,5.0,5.0,5.0,5.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
928,Ravi,WA - 6155,WA,6155,True,2010-06-16,16 June 2010,2.0,,They were very professional in their approach. Gil and Jeff are down to earth and cut through the BS.  Only time will tell on the quality of their workmanship and units.  Wrong time of year to put panels to the test.  I await for August to come.,3.0,3.0,1.0,1.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
413,Barry,QLD - 4209,QLD,4209,True,2010-06-01,01 June 2010,3.75,,,4.0,4.0,4.0,3.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
