review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,inverter_rating,has_images,image_urls,overall_rating,quality_rating
58217,Adrian,NSW - 2567,NSW,2567,True,2019-01-08,08 January 2019,1.0,,Take my money and run,1.0,1.0,1.0,1.0,More than 6kW,"$15,000 to $20,000",,,,,False,[],0,0
44287,Roman,NSW - 2565,NSW,2565,True,2018-02-15,15 February 2018,1.0,,After paying a deposit my booked installation was cancelled and excuses started. After over 2 months of trying to get another installation date I gave up and asked for my deposit back. Went with another provide who matched the quote and installed as promises one week later. Stay away from Solar power NSW.,1.0,1.0,1.0,1.0,3kW,"$3,000 to $6,000",,,,,False,[],0,0
35601,Gisela,NSW - 2527,NSW,2527,True,2017-05-16,16 May 2017,4.0,,Going on past experience with this company and price is why i decided to go with them.,4.0,,0,4.0,1.5kW,Under $3000,,,,,False,[],0,0
32124,Paul,NSW - 2574,NSW,2574,True,2016-10-29,29 October 2016,1.5,,"Very poor company to deal with. Happy to take your money, but if you have problems, it will take ages to get sorted.",1.0,2.0,2.0,1.0,1.5kW,Under $3000,,JFY,,1.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_jfy.png'],0,0
25127,Elizabeth,NSW - 2539,NSW,2539,True,2015-02-01,01 February 2015,4.0,,"All the companies you referred me to were prompt in reply, in attending to quote, and professional in demeanour.",4.0,4.0,0,4.0,3kW,"$3,000 to $6,000",,,,,False,[],0,0
23661,Derek,NSW - 2540,NSW,2540,True,2014-09-06,06 September 2014,4.67,,"The system I chose was comparable in rating, size and warranty to other quotes but over $1000 cheaper.",5.0,4.0,0,5.0,3kW,"$3,000 to $6,000",,,,,False,[],0,0
23625,Liz,NSW - 2565,NSW,2565,True,2014-08-29,29 August 2014,5.0,,I originally was going to hook up with Gotogosolar. Trying to contact them was impossible and the answering machine was that full that it would not even leave a message. Gut instinct was to cancel them. Looking back at all the negative comments. Glad I did not touch them.,5.0,5.0,5.0,5.0,4kW,"$3,000 to $6,000",,,,,False,[],0,0
20724,Scott,NSW - 2541,NSW,2541,True,2013-11-10,10 November 2013,3.67,,Went round and inspected other installed systems from the supplier and spoke to the residents who got them to install the systems. Asked about problems with the systems installed if any. Went back to the other guys and offered them the chance to meet or beat the offer. They could not! Checked online the Invertor and PV Panels as per your recommendations. Looking forward to having the system installed.,5.0,3.0,0,3.0,3kW,"$3,000 to $6,000",,,,,False,[],0,0
16553,Jim,NSW - 2654,NSW,2654,True,2012-11-20,20 November 2012,4.25,,"Paid deposit 5 weeks later system installed, installers and electrician who connected me to the grid 5 days  later were great, customer service after sales is just as important to me as pre sale time will tell.",4.0,5.0,5.0,3.0,2kW,Under $3000,,,,,False,[],0,0
16510,JIM,NSW - 2564,NSW,2564,True,2012-11-17,17 November 2012,4.5,,"Attended office in person, after agreeing on system was informed system would take 4 to 6 weeks to be installed. At around the 5 week mark received a call and the next week the installers installed the system.  I contacted office a few days later and was given the electricians number to install the new meters, 3 days later the system was fully up and running. My total experience with this company, installers and electrician has been very positive indeed. Today has been the first day generating electricity very happy. After sales service is just as important to me as the purchase sales so hopefully this will continune to be positive as i will be adding another 4 panels as funds come available in the next 6 months. Thank you Solar power NSW.",5.0,5.0,4.0,4.0,2kW,Under $3000,,,,,False,[],0,0
