review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140249,Brett,NSW - 2286,NSW,2286,True,2025-11-20,20 November 2025,1.0,,"If you value honesty, reliability, and communication, I urge you to stay far away from this company.Their team initially confirmed an installation date weeks ago. No one showed, not even a call to let us know that they weren't coming. Since then, I have been misled on every occasion, repeatedly assured they would follow up, only to be left hanging every time. About 19 emails and phone calls—often ignored or met with inaccurate promises of calling back and even hang-ups. It’s impossible to get anyone to respond.This is not just a scheduling issue. This is a company that disregards its own customers and basic service commitments. If this is how they treat customers before the job is even started, I can only imagine the nightmare if anything ever goes wrong with the install or system.Do yourself a favour and find another provider that actually values your time, communication, and trust. I wish I had known—don’t make the same mistake I did.",1.0,1.0,1.0,1.0,13kW,"$10,000 to $12,500",,,,,,,False,[],0,0
140174,Ravi,NSW - 2155,NSW,2155,True,2025-11-19,19 November 2025,5.0,,Very easy and quick quote. Installation was done a month before the proposed date. Really proffezional installers,5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",JA Solar,Fox ESS,Fox ESS,5.0,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fox-ess.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_fox-ess.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5fdaa9bd9f7312d0b064ea816e3f6eb80.jpg']",0,0
138096,Timothy,SA - 5121,SA,5121,True,2025-10-02,02 October 2025,1.0,,Paid the deposit for my system in June after being bombarded by calls and emails. System hasn’t been installed and nobody wanted to answer me. Was told 3-4 weeks ago I would receive a refund on my deposit but now nobody in the company wants anything to do with me.,1.0,1.0,1.0,1.0,6.6kW,"$10,000 to $12,500",,,,,,,False,[],0,0
137696,Russell,SA - 5159,SA,5159,True,2025-09-24,24 September 2025,1.0,,"My experience with Solar Power Nation has been a complete failure from start to finish, and I am now forced to recover my deposit through a formal complaint with Consumer and Business Services SA.The sales process felt rushed, with pressure to sign my contract before the end of the financial year to ""lock in prices"" on a 10.56kW Risen panel system with a Sigenergy battery. I paid the dollar deposit on June 27, 2025.What followed was months of silence. The company completely missed the installation target date and the final deadline in our contract, with zero proactive communication.After I repeatedly chased them for an update, they finally admitted in September that they could not supply the system in the contract, citing ""unavailability and price unsureity"". This directly contradicts the ""locked-in price"" promise that was used to pressure me into signing. It's clear the equipment was never secured.In the same email, they offered a refund of my deposit. I accepted immediately and provided my bank details as they requested.Since then, they have failed to pay the refund. They have ignored my follow-ups and are now unlawfully withholding my money.This company has failed on every level: sales integrity, project management, customer communication, and basic contractual obligations. They took my deposit for a system they couldn't deliver and are now refusing to return it.I have lodged a formal complaint with Consumer and Business Services SA to recover my funds.Based on my experience, I cannot recommend Solar Power Nation. I strongly advise anyone considering them to be extremely cautious.",1.0,1.0,1.0,1.0,10kW,"$12,500 to $15,000",Risen,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
136407,Marc,SA - 5065,SA,5065,True,2025-08-25,25 August 2025,2.0,,"The initial sales process with this company was good, with a fast and proactive sales person.  But then the install date went and passed without any communication from them.  By the way, that is a breach of their contract.  I have followed up many times, and they just provide excuses.  It seems they have trouble getting stock. Now I have a new install date for a different system, and even though the date is approaching they are still not communicating. Unfortunately it looks like I will need to get legal to get my deposit back and go elsewhere",4.0,2.0,1.0,1.0,,"$6,000 to $8,000",,,FoxESS (Other),,,,False,[],0,0
134360,Peter,NSW - 2795,NSW,2795,True,2025-06-15,15 June 2025,4.5,,"Solar Power Nation are at times difficult to communicate with, you pay a deposit and then wait, and wait. They do not always phone back and you have to chase again.  But at the end of the day they have provided a good system that is working well after 1 year of trouble free operation.  The trades that installed the system where pleasant to deail with and I have no problems with installation.",5.0,5.0,5.0,3.0,13kW,"$4,000 to $6,000",,Shenzen Sofar Solar,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_shenzen-sofar-solar.png'],0,0
133790,Lily,NSW - 2259,NSW,2259,True,2025-05-26,26 May 2025,1.0,,"Don't trust this company. They gave me a certficate warranty for 10 years. But when 3 of my properties have leaking issues or broken tiles during their installation, they began to say that they only give warranty for 6 months. The most ridiculous thing is that I lost my case in NCAT. It would be a waste for consumers to go to NCAT. Although I have provided all documents including a 10 year warranty, NCAT wouldn't take it. When a consumer's right is not protected by the government, it is better to stay away from business like Solar Power Nation. You might pay less now, then you pay more for repairing damages caused by their work.",1.0,1.0,1.0,1.0,6.6kW,"$2,000 to $4,000",,,,,,,True,"[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/860219a70526e06f01ff6dfafcd2d7bd0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6f371b6b2898e2c2e7402d2730957b5a1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/95d46e99395fdc1d9b6daf9a7d7d0df42.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/51a8d531a012c22c385c487ac5fdc93c3.png']",0,0
130334,Anubhav,VIC - 3978,VIC,3978,True,2025-01-31,31 January 2025,1.0,,"Always had issues in terms of call backs , they cannot give you replacement under warranty I think I need to go to VCAT . I had enough of there fake promises.",1.0,1.0,1.0,1.0,6.6kW,"$4,000 to $6,000",LONGi Solar,SolaX Power,,,1.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png']",0,0
130092,Troy,NSW - 2250,NSW,2250,True,2025-01-23,23 January 2025,1.0,,"Be Wary Buying1. Had a unit installed prior in november 20202. Nothing but issues with the staff that did the job rude, left screws and bolts all over the grass3. January 2024 noticed unit screen had a bleed several times and nothing done.4. Now unit not working at all reported. It again and was told would geta call back in 1 hour no call5. Called again today asked for quote number gave it cant find me a customer despite taking my money and providing work6. Went to mediation before being live gave them proof of purchase crickets.7. Called Monday 20th January 2025 and wasted an hour dealing with staff that don't return calls.8. I keep being asked for photos despite emailing in January 2024 as per picture and they say never received despite cc myself.9. Staff refuse to honour warranty I am in the process now of reporting to ACA.",1.0,1.0,1.0,1.0,6kW,"$2,000 to $4,000",Risen,SolarEdge,,1.0,1.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
129530,Jonathon,SA - 5127,SA,5127,True,2025-01-07,07 January 2025,4.75,,"I've had two 6.6kW solar systems installed on my properties.  They have been in place for at least three years each.  I found the sales and installation process easy.  The systems have worked without any issues so far.  I haven't had need to contact customer service, so cannot comment on that, however there is a bit of spam that I had to unsubscribe from.  No complaints and value for money in my experience.",5.0,5.0,5.0,4.0,6.6kW,"$2,000 to $4,000",,,,,,,False,[],0,0
