review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
138439,Peter,VIC - 3550,VIC,3550,True,2025-10-12,12 October 2025,5.0,,24kWh Sigenstor SP with Gateway installed in early July. System was installed in a very neat and professional manner. A very satisfied repeat customer as previously had two solar systems and heat pump installed by Solar Pro Bendigo.,5.0,5.0,5.0,5.0,,"$12,500 to $15,000",,,Sigenergy,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
137570,Mark,VIC - 3084,VIC,3084,True,2025-09-22,22 September 2025,5.0,,"Nothing was a problem for Ben and his team, turned up on time to quote, sent the quote quickly was more than helpful with my questions and modifying the quote for me, installation went without a hitch, VERY neat work by his team, very happy with the installation",5.0,5.0,5.0,5.0,20kW,"More than $20,000",Jinko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
136831,Rob,VIC - 3551,VIC,3551,True,2025-09-05,05 September 2025,5.0,,"Ben and his team were great to work with from quoting to the install, they even ran through the app with me after they installed. Would highly recommend this local company to all.",5.0,5.0,5.0,5.0,,"$12,500 to $15,000",,,Sigenergy,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
135603,Jo,VIC - 3551,VIC,3551,True,2025-07-25,25 July 2025,5.0,,"We used Solar Pro to install our first lot of panels three years ago and we decided to investigate adding a battery to our Solar setup. Ben was able to guide me through selecting the correct Battery size and the addition of extra panels to suit our households needs. The installation was smooth and efficient, with the team arriving on time. They kept me updated on the progress and did an excellent job installing both the panels and battery and cleaned up afterwards. Ben and his team were very professional, knowledgeable and excellent to deal with and I have no hesitation in recommending them.",5.0,5.0,5.0,5.0,6.6kW,"$12,500 to $15,000",Suntech,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/fcc79eec36a7912f26d21be37bb26b1b0.jpeg']",0,0
135368,Julie,VIC - 3555,VIC,3555,True,2025-07-16,16 July 2025,4.5,,From starting with quote to final inspection /compliance I did not have any issues-very supportive and willing to answer questions and provide advice. Installation went well with installer returning when I returned home from work to explain the battery and answer my questions Cannot fault customer service and was guided through getting the App and how to read it,4.0,4.0,5.0,5.0,,"$6,000 to $8,000",,,Sigenergy,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
134109,Julie,VIC - 3555,VIC,3555,True,2025-06-05,05 June 2025,5.0,,"The quoting process was very informative & easy.  Our old system was 14 yrs old and we needed a new inverter.Being eligible for a rebate, buying a whole new system was cost effective choice.We had the old panels etc removed & replaced within a week.The installers were on time, polite , efficient & left everything tidy.We experienced great customer service from office staff to the installers.We would recommend SolarPro to family & friends.Julie & Dave",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e742b1cc110080b2221b734f7cfbf02c0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/db946d14f721fe78b73273dbd03c170b1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/564df83788c7b48b22d83ad684b721072.jpg']",0,0
132709,Graeme,VIC - 3612,VIC,3612,True,2025-04-19,19 April 2025,5.0,,"Our experience with SolarPro has been that not only are they prompt, efficient, professional and reliable, but they went above and beyond what was expected to assist us in understanding a very new and leading edge technology. As someone with a technical background in telecommunications spanning 50 years, installation was of a very high standard. I have no hesitation in recommending their services.",5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Sigenergy,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_sigenergy.png']",0,0
132545,Stuart,VIC - 3555,VIC,3555,True,2025-04-14,14 April 2025,4.75,,"We explicitly wanted the 5 in 1 SigEnergy 16kWh battery/bi-directional DC Charger/Inverter unit and 42 AIKO Solar Neostar 2P panels, equating to 19.74kW. Solar Pro offered the best way forward on this package. Thier install team were fantastic to work with and cleaned up after themselves setting standards well above other tradespeople we have had over the years. The actively considered the final appearance of the system, hiding cabling were possible, roof layout etc. and worked with us on site shadowing issues to minimize the impact. Couldn't recommend Solar Pro more highly.",4.0,5.0,5.0,5.0,20kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_sigenergy.png']",0,0
131613,Murray,VIC - 3556,VIC,3556,True,2025-03-16,16 March 2025,5.0,,"I was recommended by a work mate to look at Solar Pro Bendigo to up-grade my existing system. He couldn't speak highly enough of there team and the system he purchased.Solar Pro gave me a quote and we discussed incorporating my existing panels with additional new panels with Hybrid inverter and battery.From quotation to installation was 3 weeks.The quote process was easy and they were happy to change as we came up with a few different options presented.They handled all the paperwork and pushed the install forward to complete it in one day.So far the system has run perfectly with that battery providing enough power to not have to draw from the grid.Highly recommend Solar Pro as they strive to be the best, and should be recognised as the Best.",5.0,5.0,5.0,5.0,8kW,"More than $20,000",,Sungrow,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e996440486aabf7717e17772c66117020.jpg']",0,0
131163,Ben,VIC - 3451,VIC,3451,True,2025-03-01,01 March 2025,5.0,,"The guys from SolarPro Bendigo were clean, efficient and smart, just like the system they installed",5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",,Fronius,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
