review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
107369,Paul,VIC - 3727,VIC,3727,True,2023-01-16,16 January 2023,3.75,,"Your rep organised the quote on the phone told me all I needed to know                 some time later  the installers turned up at my house wasnt told about their arrival. They were very efficient the install was done in a few hours happy with their work the grid connected finally all seems to be working ok, thank you very much.",4.0,4.0,5.0,2.0,6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
102544,Alex,NSW - 2795,NSW,2795,True,2022-08-14,14 August 2022,3.5,,"We were happy with the quote we received for our high quality system, however it took approx 7 months from paying a deposit on our quote to actual installation (regional NSW). To be fair this was late 2021/early 2022 with COVID possibly playing a part in this delay. The installers were friendly and efficient.",4.0,5.0,3.0,2.0,6.6kW,"$4,000 to $6,000",Hanwha Q CELLS,Fronius,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
102488,Anh Thu,NSW - 2143,NSW,2143,True,2022-08-12,12 August 2022,4.75,,"(1) The Quote/Sale was process was transparent, smooth and met our needs;(2) The installation was timely, professional, tidy and clean.",5.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d173987a15ccf2e0ee01688e74dc1fa70.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1ccabb7d12d5523e7b9a35e1eec79f051.jpeg']",0,0
102152,Joanne,NSW - 2745,NSW,2745,True,2022-08-05,05 August 2022,5.0,,The sales agent was great. Installation was quick. Happy customer,5.0,5.0,5.0,5.0,5kW,"$2,000 to $4,000",Jinko Solar,Growatt,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
101367,Glen,NSW - 2713,NSW,2713,True,2022-07-14,14 July 2022,4.75,,"No hassle service and installation, Even when I was away. I received a quick phone call to confirm a couple of details, and by the end of the day it was all over.",5.0,5.0,4.0,5.0,6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
101257,Nathan,NSW - 2710,NSW,2710,True,2022-07-10,10 July 2022,4.0,,"Great allround experience. No issues with the system, producing up to 4.2Kw on a 6.5Kw system in the winter, better then I expected. Can't wait to see summer.Installers were great fellas. The kind that get the job done quick and become great mates.$79 a fortnight repayment, which given the current grid prices I'm probably saving that much... event though it's partly that high because of renewables, oh the irony!",3.0,4.0,5.0,4.0,6.6kW,"$10,000 to $12,500",Don't know (Other),Growatt,,4.0,4.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
99455,John,NSW - 2154,NSW,2154,True,2022-04-26,26 April 2022,4.75,,Sales & Quoting process was very good especially being a first time Solar purchaser.The installation was pain free. The installers arrived on the arranged date and on time. Neatly dressed and explained what they were about to do. when they finished they cleaned up all excess rubbish etc and left the house as if noboddy had been here. Very pleasant gentlemen to deal with and extremely courteous.Customer service was fair. I believe when an appointment date and time is made that appointment within reasonable time should be kept.,4.0,5.0,5.0,5.0,7kW,"$4,000 to $6,000",Jinko Solar,Growatt,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
97862,Linda,WA - 6069,WA,6069,True,2022-02-16,16 February 2022,5.0,,"Sales quoting was very thorough, staff new the product I requested. Installation was quick and a very easy process, and customer service was very friendly and helpful",5.0,5.0,5.0,5.0,6kW,"$2,000 to $4,000",,,,,,,False,[],0,0
94276,Shane,QLD - 4216,QLD,4216,True,2021-10-12,12 October 2021,2.0,,Solar Red promised great customer service and did not deliver. The entire process was poorly communicated and poorly executed. It cost me an additional $3 500 to have the installation corrected to be able to connect to my electricity supplier.,3.0,3.0,1.0,1.0,6.6kW,"$2,000 to $4,000",,,,,,,False,[],0,0
85453,Johan,ACT - 2615,ACT,2615,True,2021-01-10,10 January 2021,2.25,,"Quick to quote, Installation rough as gutsZERO customer service. They pestered me for payment 5 days before the installation was working. 35 Phone calls I got on a Friday afternoon after hours . The install was only completed on Wednesday. The best part of this poor service and install  is: The installer punched a hole in my ceiling and tried to bodge it up. I launched an official complaint with them, The ""bodged"" patch was then sanded and just left again. This is now 4 weeks and my ceiling is still not repaired. If they were just as persistent to fix the damage they did as to chase money before the job is complete would have made the Solar install more pleasant.I don't recommend Solar Red to any body. GO SOMEWHERE ELSE for your Solar needs any body can be more professional than Solar Red",3.0,3.0,2.0,1.0,6.6kW,"$8,000 to $10,000",,,,,,,False,[],0,0
79438,Sylvaine,WA - 6055,WA,6055,True,2020-07-23,23 July 2020,4.75,,Sales guy Austin was very informative and friendly. All our concerns cleared and installers were polite and friendly and installation went well. Have been recommended from family members and Solar Red definitely did not disappoint with their service.,5.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
79349,Laura,NSW - 2641,NSW,2641,True,2020-07-21,21 July 2020,5.0,,"Installation went very smoothly & they cleaned up after finishing. Supervisor Steve was very professional and knowledgable. Explained to me how the system worked very clearly. Hubby was a bit concerned with the position of the solar panels, thinking they would not get enough sun but after checking the daily output, he was happy. Good follow up with install. Happy with overall outcome. Good pricing with great payment options.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,Growatt,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
78912,Roman,VIC - 3060,VIC,3060,True,2020-07-10,10 July 2020,4.5,,"Was shopping around for a quality solar system for our new house and came across these guys, was a bit hesitant and having 2nd thoughts to start with after reading some reviews here.  However, their rates are reasonably cheaper than most providers but the prompt response by sales team and customer service provided to me from sales to on-site installation was tremendous! Highly recommended to anyone shopping for a great bargain with peace of mind.",5.0,4.0,4.0,5.0,6.6kW,"$2,000 to $4,000",Jinko Solar,SMA,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
78893,Jodye,NSW - 2259,NSW,2259,True,2020-07-09,09 July 2020,4.75,,"I was given a very competitive quote and had been given this company's name by recommendation so had great expectations.They did not dissapoint.The guy that came out to do the install, Steve I think his name was,  went above and beyond what was expected. Nothing was too much trouble for him.The panels look great and blend well with my roof.",5.0,4.0,5.0,5.0,6.6kW,"$2,000 to $4,000",,,,,,,True,"[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c6b05ea6d3dd08df53a07ecfb21b51a80.jpg']",0,0
78474,Chris,NSW - 2213,NSW,2213,True,2020-06-30,30 June 2020,4.25,,Sale process was clear with what I wanted to aim for. Installation process was fantastic and the system was up and running over 2 days. Was always in contact with the team and it couldnâ€™t have been easier for me to get solar. I have recommended to my family and friends. A+,4.0,4.0,5.0,4.0,6.6kW,"$2,000 to $4,000",,Growatt,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
77368,Eddie,VIC - 3060,VIC,3060,True,2020-06-04,04 June 2020,5.0,,"I was quoted by the sales team last week and surprisingly they did beat the price I was offered by other companies. The installation process was smooth and easy, the team arrived on time, providing first class customer service. I am happy with the services provided by their team and they did exactly what I was told as per our initial quote.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,SMA,Akasol,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_akasol.png']",0,0
