review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
121090,Owen,VIC - 3805,VIC,3805,True,2024-04-10,10 April 2024,5.0,,"The team at Solar Tactics have consistently been a pleasure to work with. They made it easy to get started with solar a few years ago with panels and an inverter, and I've recently had a battery installed by them too.Communication, professionalism and efficiency are all outstanding and I have no concerns about recommending them to anyone in the future.",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",LONGi Solar,Goodwe,Tesla Powerwall 2,5.0,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
118453,Gary,VIC - 3820,VIC,3820,True,2024-01-17,17 January 2024,4.75,,"For expansion of existing system, we wanted to use the same company as previous owners, to minimise chance of warranty troubles if something went wrong and for knowledge of existing system. Sales process was responsive and patient.  Installation was on time.  Installers were polite and helpful. There were a few issues (at Enphase) with transferring Enphase enlighten monitoring into my name, which Solar Tactics assisted with. The price quoted wasn't super cheap, but we had limited roof space and expected and got a microinverter and panel installation that has worked well.",4.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",LONGi Solar,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
117837,Nhuan,VIC - 3177,VIC,3177,True,2023-12-22,22 December 2023,4.75,,Have my solar system install by Solar Tactics on the 14/11/2023. They where very professional in term of approach and work been carried out.Sales/quoting process was precise and clear in outline all the necessary rebate and warranty.Installation was very professional done and keep the area tidy afterward.Customer service was great and when out of there way to get everything is up and running.Highly recommend them for anything relate to Solar and Electrical work.I even have a Zappi V2.1 EV charger install by them.,4.0,5.0,5.0,5.0,10kW,"More than $20,000",JA Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/54283803894719cb97038d1ddc4d61a10.jpg']",0,0
117732,Mal,VIC - 3805,VIC,3805,True,2023-12-19,19 December 2023,5.0,,"Sale was a breeze with no issues ,all question answered and they did not try to sell me something I didn't need in fact the opposite I thought I had done my research and  knew what i needed but I was only going to waste money on panels I didn't need. Install was done on the date set and the boys couldn't be more professional . The whole install went smoothly and connection to the grid , inspections and explanations on setting up the inverter (we bought Fronius ) was done without any problems . These guys know their stuff and I highly recommend them.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",LONGi Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/25c96f5e3c40faf2e5092e9533c1d27a0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9661992eb66f3bca07d131a6c3aa20b21.jpg']",0,0
115375,Mark,VIC - 3820,VIC,3820,True,2023-10-10,10 October 2023,5.0,,"Solar Tactics gets great reviews because they're friendly, helpful, and their prices seemed competitive too. I can definitely recommend.",5.0,5.0,5.0,5.0,20kW,"More than $20,000",JA Solar,Fronius,BYD,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
110988,Shane,VIC - 3810,VIC,3810,True,2023-05-27,27 May 2023,5.0,,"Was referred to Solar Tactics from my sister who got a 11kw system installed through them in 2022. The whole quoting process was simple and streamlined. We had good communication with the company throughout. We went for an 6.64kw system. Even the installation was simple, just had to wait a few weeks for the rain to subside after my rebate was approved. On installation day, everything went smoothly and the guys made the inverter look so slick with how they did all the cables, the panels look so good too especially now those unsightly individual DC isolators aren’t mandatory anymore. System is up and running and working well. Luckily for us we only had to wait a few days before the electrical inspector came around and signed everything off and we could fire it up.",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",JA Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/cdcafda3ae5a5d74676bba9cd9f3f6b00.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c05f01b3e5069b306c47af5649528c1b1.png']",0,0
109413,Mike,VIC - 3977,VIC,3977,True,2023-04-03,03 April 2023,5.0,,"Quoting was quick & competitive - great value, Install on Tim and very neat with an excellent team doing the install, and a positive outcome - a big reduction in our electricity bills. They did all the paperwork and grid connection was quick. Very happy with Solar Tactics",5.0,5.0,5.0,5.0,8kW,"$12,500 to $15,000",Hanwha Q CELLS,Enphase,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png'],0,0
109401,Sarah,VIC - 3805,VIC,3805,True,2023-04-03,03 April 2023,5.0,,Quoting process was easyCustomer service A+They helped to organise all aspects and made the transaction smooth,5.0,5.0,5.0,5.0,7kW,"$12,500 to $15,000",JA Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
100270,James,VIC - 3818,VIC,3818,True,2023-03-27,27 March 2023,5.0,,The team was informative and responsive both during the quoting process and installation. The installation went very smoothly with no issues at all so far. The installation team was very polite and left the place very clean and tidy. Overall it was an excellent customer experience. The price wasn’t the cheapest however the experience I had with the team was the best.,5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Qcells,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
107668,Simon,VIC - 3810,VIC,3810,True,2023-01-28,28 January 2023,5.0,,"Jason and the team from Solar Tactics provided a high quality solar system, great communication during the install and after-sales support and were very cost competitive.I'd highly rate them for a solar install, and I found them to be great at listening for the specific kind of system i was after and then working within that budget/needs (Future rental home - medium level investment etc.)The installers were also great about dealing with a roof that was a little worse for wear including shuffling tiles around and sealing a couple up that was not expected, but very appreciated.Finally, I really valued that Solar Tactics were happy to overprovision panels and they were concious of placing my inverter in a sensible location out of the sun, despite it being a more complex cable run.(Only received STC 'rebates' wasn't eligible for others)",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",LONGi Solar,Goodwe,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1ca1abd7e01b4abb8b9140764747fbec0.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d0f9289383efdda5366b3e6df7de20c31.png']",0,0
