review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
57490,Ian,VIC - 3420,VIC,3420,True,2019-08-22,22 August 2019,2.5,,,2.0,3.0,2.0,3.0,5kW,"$3,000 to $6,000",Jinko Solar,Fimer,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
57568,Allan,VIC - 3374,VIC,3374,True,2018-12-23,23 December 2018,1.0,,"Paid deposit on 5kw system in October, and told system would be installed in 4 to 6 weeks. Didnâ€™t happen. Then told it would be in before Christmas, still hasnâ€™t happened. Requested Deposit refund, hasnâ€™t happened either. Phone calls promised, never happens. Requested to speak to manager, never there. Promised he would call me, never happened. DONT TOUCH THEM.",0,,0,1.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
41103,Ian,VIC - 3820,VIC,3820,True,2018-10-16,16 October 2018,3.25,,,3.0,3.0,4.0,3.0,3kW,"$3,000 to $6,000",Canadian Solar Inc,Fronius,,3.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
52458,James,VIC - 3204,VIC,3204,True,2018-09-10,10 September 2018,4.75,,All my questions and concerns were answered in terms I understood. The trades people and office staff were polite and very helpful with anything I wanted to find out or if I had a query.,5.0,5.0,5.0,4.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
50283,Barry,VIC - 3477,VIC,3477,True,2018-07-21,21 July 2018,2.25,,"Solar Today installed the system without permission from powercore, only ever submitted the pre approval and never followed up the technical requirements with powercore. Told us better off to not connect to the grid because we could get a better deal with the power providers, salesman said he would come back and make sure we had the best possible deal with a provider but never showed. Salesman told us nothing was being fed into the grid but our smart meter said otherwise, powercore confirmed they hadn't held up on there end of the deal. We have been left with a system feeding into the grid with no feed in Tarif to us. It's been 7 months but Solar Today have done nothing to rectify the problem",2.0,2.0,4.0,1.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
36673,Lynne,VIC - 3939,VIC,3939,True,2017-07-10,10 July 2017,2.5,,Need to look around these chinese inverters are not the best and getting them to working even when new is a nightmare.,3.0,2.0,3.0,2.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
36390,Moha,VIC - 3020,VIC,3020,True,2017-06-27,27 June 2017,1.0,,Don't use this company,1.0,1.0,1.0,1.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
30682,Kerrie,VIC - 3318,VIC,3318,True,2017-02-07,07 February 2017,4.5,,"The system was installed quickly and by a friendly efficient team. Only frustrating thing is waiting for Powercor to inspect, fourth week and still waiting. This is not the companies fault and I am sure that if it could be done quicker they would be happier too.",4.0,5.0,5.0,4.0,4kW,"$6,000 to $10,000",Jinko Solar,APsystems,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_apsystems.png']",0,0
28512,Paul.,VIC - 3352,VIC,3352,True,2015-11-26,26 November 2015,4.0,,"Not at this time, thanks.",4.0,5.0,4.0,3.0,2kW,Under $3000,,,,,,False,[],0,0
28061,Barbara,VIC - 3850,VIC,3850,True,2015-10-23,23 October 2015,4.0,,"I bought a 2KW hybrid system (8 panels) with SLA batteries to suit a 4.5KW system for $16,000.  I had installed 8 panels previously through Genlux, one of 9 companies which had gone into liquidation.   These panels were Blueline Solar and I was very pleased with them.   I received a letter from the Queensland Government on 29th August 2015, advising me that the solar system had been installed with ""a particularly  unsafe model 'Avanco' brand DC isolators, which is part of a product recall.""   This prompted me to contact you with reference to installers in this area;  Solar Today were advertising in the local paper at that time.   I have received a letter, on 8th October 2015, from Solar Service Care Pty Ltd, advising me that they are the authorised service for Genlux and will assist with any warranty claims, ongoing maintenance and repairs.The installers for Solar Today did an excellent job and I am delighted with this hybrid system.",5.0,5.0,5.0,1.0,2kW,"$15,000 to $20,000",,,,,,False,[],0,0
