review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140482,Geniy,QLD - 4104,QLD,4104,True,2025-11-25,25 November 2025,5.0,,"Great service and attention to details.Jen is very lovely and helpful.She provided supported throughout the process very nicely.Rob and his team of installers were very attentive to details and left an impression of people who actually care about what they do, which is very rare these days.No hidden fees and Rob has helped me with few other little things, which I really appreciate.I'm very impressed and happy to recommend this company to anyone.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",,,,,,,False,[],0,0
139411,Greg,QLD - 4509,QLD,4509,True,2025-11-05,05 November 2025,5.0,,"We’re very pleased with the recent upgrade to our solar system, which included a new hybrid inverter, a16kW battery pack and additional panels.The SolarEze team was professional and a pleasure to work with. Rob and his crew did an outstanding job on the installation, going above and beyond to quickly resolve a technical issue.I’ve recommended SolarEze before and will continue to do so for solar installations and support.Thank you Rob, Jen, and the entire team, we appreciate all you have done for us!",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Jinko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
138774,Kevin,QLD - 4209,QLD,4209,True,2025-10-21,21 October 2025,5.0,,"Rob and crew did a fantastic job, very tidy, very Professional I would highly recommend.",5.0,5.0,5.0,5.0,6kW,"$15,000 to $20,000",Jinko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
138668,Rob,QLD - 4171,QLD,4171,True,2025-10-18,18 October 2025,5.0,,"We used Lindsy and Rob from Solareze on our last house, and we've recommended them to our friends and neighbours have used them too. Working with Lindy and Rob was easy. Rob was very keen to make the installation as clean and tidy as possible. They did all the work for the discounts from certificates. Quality install and finish. I'll be recommending them to other neighbours and friends wanting solar and batteries.",5.0,5.0,5.0,5.0,7kW,"$12,500 to $15,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
138343,Chris,NSW - 2485,NSW,2485,True,2025-10-09,09 October 2025,5.0,,Great communication. Listened and provided a second quote. Waited until my preferred battery became available and installed 28 panels and a battery in a morning. Magic crew :-),5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",Jinko Solar,Sigenergy,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
138013,Lynette,NSW - 2486,NSW,2486,True,2025-10-01,01 October 2025,5.0,,From the moment we contacted Solar Eze the team was wanting to make the transition to solar easy. Jen phoned to explain rvery aspect of the system. No question was too stupid.We wanted the roof cleaned before the solar went in. Rob arranged someone to do that and scheduled it to suit. The old system was removed free of charge ( others wanted to charge $300 + for that). The installation was so quick!And there was after sales service - unheard of these days! The lovely Jen called to make sure we understood what was happening and to help us navigate the different plans. She helped us work out the best option.Solar Eze really did make it solar easy for us. We would like to give them six stars ??????,5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",,,,,,,False,[],0,0
137929,Satheesh,QLD - 4113,QLD,4113,True,2025-09-30,30 September 2025,5.0,,Reasonable quote.Very professional approach.Very detailed explanation.Installation process was awesome.,5.0,5.0,5.0,5.0,20kW,"More than $20,000",Jinko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_sigenergy.png']",0,0
137374,Cong,QLD - 4209,QLD,4209,True,2025-09-17,17 September 2025,5.0,,"From the very first email with Jennifer and from my first encounter with Rob and his team, everything was done completely professional and smoothly! Whenever I had any questions or concerns, Jennifer was able to clarify for me and made the entire process easy to follow along. I would recommend SolarEZE to anyone looking to install solar panels.Also, upon seeing other positive reviews about Finn, I decided to contact him myself as it was my first time buying solar panels for my home. Upon contacting Finn, he provided me with so much assistance and guidance on what I should be looking for when it comes to great quality solar panels that are value for my money. I would suggest anyone looking to buy solar panels to seek out Finn for his expert advice.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Jinko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
137367,Stefan,QLD - 4061,QLD,4061,True,2025-09-17,17 September 2025,5.0,,"I had obtained a number of quotations independently and through SolarQuotes. I had around 4 to choose from and compared system sizes and $'s.  in my view SolarEze were not the lowest price but offered the best value for money considering the brands they offered.  I also met with each rep in person and by far the most important aspect.  Lindy representing SolarEze was by fantastic.  Accommodating a late evening home visit, providing direct, honest and clear advice and providing a level of professionalism without being 'salesy'.  Lindy knew her stuff.  The installation timing and crew were also professional, punctual and no-nonsense.  The installation was very tidy.  A great all-round experience and no hesitation in recommending SolarEze.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Jinko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
136879,Adam,QLD - 4226,QLD,4226,True,2025-09-06,06 September 2025,5.0,,"We recently had a 10kW Sigenergy inverter with 24kWh batteries and 13.3kW Aiko Neostar 2P panels installed by SolarEze and we couldn’t be happier with the entire process.From the start Jen (SolarEze sales consultant) was extremely patient and helpful taking the time to walk us through multiple system configurations and product options until we found the perfect fit.On installation day Rob and his team were professional, respectful of our property and did a fantastic job. The workmanship was excellent—cabling and conduit were neatly hidden, all penetrations were sealed properly and the overall finish was very tidy.The system has been operating exactly as promised and we are already seeing the benefits. We highly recommend SolarEze for anyone considering solar and battery storage.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Aiko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a9fc35e55146de182b267b4959558d910.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1cc6c353680a6303caa75bdeceec3b131.jpg']",0,0
