review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
76649,Paul,NSW - 2444,NSW,2444,True,2020-05-12,12 May 2020,5.0,,,5.0,5.0,5.0,5.0,3kW,"$6,000 to $10,000",,KLNE,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_klne.png'],0,0
22895,Anon,VIC - 3179,VIC,3179,True,2014-05-26,26 May 2014,3.75,,,4.0,4.0,3.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
2490,Mark,NSW - 2505,NSW,2505,True,2012-10-11,11 October 2012,2.5,,"I used SolarGen and whilst the system might be adequate the installation of the roof panels left a lot to be desired.The installers removed my screws and replaced them with their own and could not understand why there was no bite on them. They were actually trying to get bite on a part of the screw where there was no thread - so they got some old crappy timber offcuts and placed them inside the roof on the underside of the battens and thought that was acceptable to screw into. I objected. The installers then went to their truck and got different screws which were not galvanised and tried to fit them.My builder took a look and objected and went and bought the correct size galvanised screws and gave them to the installers. Then the installers screwed down so tight that they flattened the colourbond sheets. I objected and he said ""it is all right you won't see it"" I said ""you have just upset the profile and hence the integrity of the metal. I later realised that they had also forgot to insert the plastic mounting feet that should have been installed on top of the colourbond. They also just threw the connecting cable in under the panels which meant that they were rubbing on the colourbond and eventually would have worn through. Not happy at all.",3.0,3.0,1.0,3.0,1.5kW,Under $3000,CEEG,CMS,,3.0,3.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_cms.png'],0,0
7231,Alan,ACT - 2605,ACT,2605,True,2012-09-12,12 September 2012,3.0,,not installed yet,3.0,3.0,3.0,3.0,2kW,Under $3000,unknown (Other),Growatt,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
6559,Graham,VIC - 3888,VIC,3888,True,2012-09-11,11 September 2012,3.67,,"So far so good, but the system has not been installed yet.I spent several weeks researching various company's and systems. Obviously there are some better systems around, but this system suited our needs and was good value.In regard to the company's reputation, there was good feedback available on various forums on the net and this was an important point to consider.",3.0,4.0,0,4.0,2kW,Under $3000,Zhejiang Xiongtai Photovoltaic Technology,Growatt,,5.0,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
6290,Dennis,SA - 5204,SA,5204,True,2012-09-11,11 September 2012,5.0,,Inverter is interrupting the AM radio band.,5.0,5.0,5.0,5.0,1.5kW,Under $3000,jr solar panels (Other),Beijing Kinglong New Energy Technology,,5.0,5.0,False,[],0,0
3633,Kay,NSW - 2068,NSW,2068,True,2012-09-11,11 September 2012,2.5,,"All went well until the day of installation. By this time, I had paid the entire amount due. We were having lots of rain, so the 2 day installation turned into 4 part days. On the 2nd day, they broke about 10 roof tiles and didn't tell me even though I had told them there were some spares in the garage. Fortunately, my husband got on the roof that evening to check and replaced the broken tiles otherwise our ceilings would have been ruined that night by the rain. Next day, they cut 4 holes in the sarking to access the roof cavity even though we told them we had an attic ladder so they could access the roof cavity from inside rather than outside. They broke a further 10 roof tiles and walked on the ridge capping breaking it in the process. They also cut off the stink pipe and put a solar panel on top without putting anything on the end to stop beasts from crawling in. They promised to fix everything before they left but fixed nothing. Now they tell me we have to pay $400 to have the gross meter installed even though I was told that this was included in the price and we would only be charged if our existing meter needed to be upgraded - indeed, my contract reads that the only exclusion is ""Meter Upgrade if required"". I don't regard the installation of a gross meter as a meter upgrade. I would certainly NOT recommend this company.",4.0,4.0,1.0,1.0,4kW,"$10,000 to $15,000",Wenzhou JingRi PV Tech,Beijing Kinglong New Energy Technology,,4.0,4.0,False,[],0,0
432,Fiona,VIC - 3166,VIC,3166,True,2012-09-05,05 September 2012,3.0,,So much choice it's hard to make a decision.,3.0,3.0,3.0,3.0,4kW,"$10,000 to $15,000",solargen (Other),Solargen (Other),,3.0,1.0,False,[],0,0
3619,Tibor,SA - 5022,SA,5022,True,2012-09-04,04 September 2012,3.75,,,4.0,3.0,4.0,4.0,2kW,"$3,000 to $6,000",dont know. they are 90 watts each eleven of them (Other),KLNE,,3.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_klne.png'],0,0
257,Christine,VIC - 3458,VIC,3458,True,2012-09-04,04 September 2012,4.5,,"SolarGen was prompt in getting back to the clients; very informative, friendly and helpful.Enviromate also gave informs well and price wise around the same but not as prompt getting back to clients. Also on the lower watt systems they do not use Sunny Boy inverters but use Xanthrex converter,  which put me off at the time as I was told this is not recognized by Aust Gov't Standards. But on the larger systems they were comparable with SolarGen.Overall either of these companies I would recommend if going for a larger system.",5.0,4.0,4.0,5.0,3kW,"$10,000 to $15,000",solar array (Other),SMA,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png'],0,0
2773,Denis,NSW - 2540,NSW,2540,True,2012-09-04,04 September 2012,4.25,,They are a little slow of the mark but things are starting to roll along now. I'm waiting for an insulating date.,4.0,4.0,5.0,4.0,3kW,"$6,000 to $10,000",Shenzhen Suoyang New Energy,Growatt,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
