review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139571,Eric,VIC - 3844,VIC,3844,True,2025-11-07,07 November 2025,5.0,,Over all very good everything explainedVery good to deal with would recommend,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
137872,Mark,VIC - 3875,VIC,3875,True,2025-09-29,29 September 2025,5.0,,"From start to completion Solargain Gippsland were amazing.  Ben gave us lots of time during the initial engagement and development phase to ensure we understood the system, what was being proposed and how it would work.  All our queries were answered and Ben always responded in a timely manner and displayed the utmost professionalism from start to finish.  On site Riley and his team were polite, professional and helpful in explaining what they had installed. The independent electrical safety inspector/auditor when he visited commented on how neat and tidy the installation was done to the applicable Australian Standards.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",Aiko Solar,Fronius,BYD,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/871e1646b8b95673858c807b9816f4f50.jpg']",0,0
137603,Trevor,VIC - 3851,VIC,3851,True,2025-09-23,23 September 2025,5.0,,Thanks guys for such a professional job. The pride in the workmanship can be seen in your completed work. Thanks again .Trevor and Linda,5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,iStore,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_istore.jpg'],0,0
137276,Anton,VIC - 3909,VIC,3909,True,2025-09-16,16 September 2025,4.0,,We took our time to review the received quotes and settled on Solargain as we felt their solution was one of good quality and met our needs. The install happened fairly quick following them given the go ahead and the installers were very proficient with the job completed in approx 7hrs. The final inspection took approx 1 week before we were live and another week for our meter to be re-configured. The app tells us we are using the grid between 50 to 60% less than pre-solar so are very interested in seeing our next bill!,4.0,4.0,4.0,4.0,10kW,"$8,000 to $10,000",Jinko Solar,iStore,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg']",0,0
134218,Allan,VIC - 3909,VIC,3909,True,2025-06-10,10 June 2025,5.0,,"Solargain were very prompt with quotethe installation crew were on time, very professional, polite and friendly - did an excellent job and left the site very tidy and cleanThe post installation instructions were concise and easy to follow",5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",Aiko Solar,iStore,iStore,4.0,,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_istore.jpg']",0,0
133400,John,VIC - 3971,VIC,3971,True,2025-05-13,13 May 2025,4.75,,"Very helpful, especially for grant and loan applicationsNeat job, Polite,Tidy, PunctualThey organised everything for the connection and gave me full instructions for all of the system.",4.0,5.0,5.0,5.0,7kW,"$6,000 to $8,000",Aiko Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
132828,Ben,VIC - 3860,VIC,3860,True,2025-04-24,24 April 2025,5.0,,"- Solar gain were the last to provide us with a quote (we had about 7 or 8 installers provide quotes). I feel that they were the only ones who really listened to what we wanted to get out of our new system and designed it accordingly. They inspected the property, gave an overview of a number of different options, demoed their apps and gave pros and cons of each. They responded to every question I had on the day, and were always happy to answer the phone when I had further queries. We had conflicting advice from a number of installers and Solargain were only 1 of 2 that I truly trusted and had confidence in.The install went really well. They were punctual and worked non stop. The system was installed very quickly. Very polite and friendly. Cleaned up after themselves and double and triple checked everything.Customer service was great the whole way through. Very responsive and always happy to talk through questions/concerns. We had a very minor issue with some minor cosmetic damage to the battery cover/faceplate and Solargain were very quick to accept responsibility and rectify the issue. They take pride in their work and we're keen to ensure the problem was resolved.After install they ran me through how to setup and use the Tesla app.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",Aiko Solar,Tesla (Other),Tesla Powerwall 3,4.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
132640,Bruce,VIC - 3971,VIC,3971,True,2025-04-16,16 April 2025,4.75,,"Solargain responded promptly to a request for a quote. Quotes were received from two other suppliers but Solargain was the only one to visit our site which I felt was important to gain a proper understanding of requirements.Installation occurred sooner than I had expected and the team worked hard for a day and a half. Work was neatly finished, all waste removed and the installers were all friendly and efficient. Explanation of the operation of the equipment was adequate and electrical inspection occurred soon after.One other factor that helped in choosing Solargain for our installation was that they were able to provide non-Tesla products (we did not want to support Elon Musk due to his recent behaviours).",4.0,5.0,5.0,5.0,10kW,"More than $20,000",Jinko Solar,Fronius,BYD,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
131759,Andrew,VIC - 3904,VIC,3904,True,2025-03-21,21 March 2025,5.0,,"Solargain visited our home, carried out a thorough inspection of our electrical fuse box to ensure that it had the capacity rating to handle the Solar panel and battery system. They also inspected the roof to ensure that the panels could be fastened to it and the garage area to house the inverter and battery systems.  Once that was complete Solargain explained to us what was feasible and they listened to our requirements and needs. They then suggested the system and what it may cost. They told us about the State and Federal Government rebate schemes.  A firm quotation and then installation followed.The quotation procedure was professional, the agent listened , was not overbearing and  was very polite.Solargain organised all the connection details.     The installation process was also professional and on time, The install team were knowledgeable, explained fully what and why they were carrying out their tasks at the Switch board, Inverter Battery and Solar Panels Installs.  The team  had great inter personal skills, were well trained and well led on site.",5.0,5.0,5.0,5.0,10kW,"More than $20,000",,,,,,,False,[],0,0
131461,Kim,VIC - 3889,VIC,3889,True,2025-03-11,11 March 2025,5.0,,"SolarGain were always prompt with any enquiries I made and in fact were the only installer who gave me any meaningful answers about my system design.They helped with the government rebates and system design.On the day 6 tradies in a van turned up and got to work. 7 hours and the system was done ready to be turned on. It was a hot day, 35°C and even hotter on the roof I bet.My install was non-standard, but after the site visit they stood by the original quote.It’s all tested, certified and running perfectly.",5.0,5.0,5.0,5.0,7kW,"$4,000 to $6,000",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b021b39c72ec72a0e7c510e756a725720.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4bda5d93c439e69ef922aa01fe6a9e911.jpeg']",0,0
