review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
112723,Lynn,WA - 6324,WA,6324,True,2023-07-26,26 July 2023,1.0,,I can not undo the 1 star I accidently gave it - should be no star as no service!,1.0,1.0,1.0,1.0,6kW,"$6,000 to $8,000",,Huawei,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png'],0,0
26542,Ian,WA - 6280,WA,6280,True,2016-02-21,21 February 2016,4.0,,Everything is working as expected,4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",Renesola,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_renesola.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
26158,Phil,WA - 6330,WA,6330,True,2016-01-07,07 January 2016,4.5,,I also bought a Quantum Heat Pump HWS off them and ditched my bottled gas system. That cost $3040 for a 270 litre system - It's been in for 6 weeks and is working very well.No need to go outside in the freezing rain at 10pm to change gas bottles over - that's a big plus.Total cost for the 4kw system was $7880 plus $220 in Synergy fees for the new meter.The installers of both systems were very good and most professional. I highly rate Solargain Albany for their service and attention to detail.,4.0,4.0,5.0,5.0,4kW,"$6,000 to $10,000",Renesola,SMA,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_renesola.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
25536,Chris,WA - 6282,WA,6282,True,2015-10-05,05 October 2015,4.5,,"Faultless experience with this company. Reliable, good communication, quality products at a fair price and a really slick, professional installation. Renesolar Virtus2 panels and a Fronius Galvo inverter with 10 year manufacturer's warranty.",4.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",Renesola,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_renesola.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
27782,Raymond,WA - 6233,WA,6233,True,2015-10-01,01 October 2015,5.0,,"I had two quotes done and both salesmen stated that I needed a 5KW system which I was more than happy to have and wanted, but I had previously received a letter from Western Power stating I could only install a system up to 3KW, due to the size of the electrical cable (10mm) and the lead in distance from the green dome on the boundary of my property to my meter box (some 22 meters), although the Solargain salesman's graph indicated other wise, very frustrating. This was after receiving a letter from my electricity retailer thanking me as I was helping the environment by installing the system! Surely installing a 5KW system would help even more!!So my suggestion is directed to those people building a new house and are contemplating installing a solar system; ensure your builder installs an electrical cable big enough to service the solar system you desire.Also, I went with Solargain as the salesman sold the system on its merit and did not bag other resellers or systems, unlike the other salesman. And by the way, the other salesman under cut Solargain by $500 and stated he would install the inverter Solargain was supplying but would not install the same panels. It just came down to ""Trust"" in the end. When will these type of companies and salesmen learn (not just in the solar system industry)!",5.0,5.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
27446,Lyndsey,WA - 6285,WA,6285,True,2015-09-07,07 September 2015,4.25,,,4.0,4.0,5.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
27315,Brian,WA - 6233,WA,6233,True,2015-08-28,28 August 2015,4.5,,"Great Experience. This is the second System installed by this company after we moved from our first property.The System installed was bigger than the first, the inverter better and since installation has made a great impact on our bills.",4.0,5.0,4.0,5.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
25226,Anon,WA - 6232,WA,6232,True,2015-02-12,12 February 2015,3.33,,,3.0,4.0,0,3.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
23189,Jim,WA - 6566,WA,6566,True,2014-07-20,20 July 2014,4.0,,"Hi Finn, We are installing a 3.45 kW  system on the 18/8. We went with Solargain as they provided the best and most attentive presale service. They even sent us their own electrician to check our wiring. Regards, Jim Silvester",4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
22703,Stephan,WA - 6333,WA,6333,True,2014-05-09,09 May 2014,4.33,,,4.0,4.0,0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
21929,Charles,WA - 6275,WA,6275,True,2014-03-13,13 March 2014,4.0,,,4.0,4.0,0,4.0,2kW,Under $3000,,,,,,False,[],0,0
19173,Craig,WA - 6285,WA,6285,True,2013-06-29,29 June 2013,3.75,,,3.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
17816,Anon,WA - 6330,WA,6330,True,2013-03-04,04 March 2013,4.0,,They told me the system I was getting would produce 18 units per day  and after we had paid our money they sent out the official  estimates  of only 13 units per day,3.0,4.0,5.0,4.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
16895,Colin,WA - 6323,WA,6323,True,2012-12-21,21 December 2012,3.67,,"The product appealed & the initial contact was acceptable, but the follow up from their office was bordering on *Used Car Salesman* techniques.The front office person was pushy, arrogant & extremely over the top in telling us what we would & would not do !  It was NOT a pleasant experience dealing with this person. If it was my business I would get rid of this ~attitude~ immediately, it is not conducive to good customer relationships & I wouldn't recommend anyone go to these people based on this particular persons rude & affronting attitude.",4.0,,4.0,3.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
