review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139258,Jill,VIC - 3756,VIC,3756,True,2025-11-01,01 November 2025,5.0,,Awesome to deal withProfessional helpful supportive,5.0,5.0,5.0,5.0,7kW,,Jinko Solar,Fronius,I don't know,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
138559,Karl,WA - 6061,WA,6061,True,2025-10-15,15 October 2025,5.0,,Very good and informative told me everything I wanted to know,5.0,5.0,5.0,5.0,5kW,"$10,000 to $12,500",Aiko Solar,iStore,iStore,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_istore.jpg']",0,0
138274,Nigel,VIC - 3030,VIC,3030,True,2025-10-07,07 October 2025,1.25,,"I had existing solar and went all out to fully electrify the house so i got Solargain to install a battery, hot water service and ev charger. Things started well, even the install was pretty smooth - then the wheels fell off. Zero support to rectify issues with the system. The hot water system doesn't communicate with their app - even though their website says it does. The system wasn't properly installed so no DLR function for the EV charger. The app also claims to show real time data - but it doesn't come even close - you have to force the app closed and relaunch it to get updated data. They don't respond and are just fobbing us off with excuses. They also wont remove the zero export limit, despite us having an agreement for export in place with the network operator. In a nutshell,  the system isn't whats advertised or what was sold. Solargain, once they have your money are difficult to deal with and I do not recommend them. Solargain shoild be avoided.",2.0,1.0,1.0,1.0,6kW,"More than $20,000",Trina,Huawei,iStore,4.0,5.0,1.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_istore.jpg', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_istore.jpg']",0,0
138140,Matt,VIC - 3067,VIC,3067,True,2025-10-03,03 October 2025,5.0,,"Got a 5 kW solar system about four years ago from Solargain. The knowledge and experience with well was second to none and ended up recommending our friends and neighbours.Then even now four years later, they are still fantastic to deal with in service when I need my password reset for my inverter. 10 out of 10.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,Huawei,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png'],0,0
137572,Andrew,WA - 6065,WA,6065,True,2025-09-22,22 September 2025,4.5,,"Staff were very polite helpful and explained everything in an easy to understand way. Price was higher than others for the same system, but they had better reviews, and quote was easy to understand and informative, unlike some others that quoted. Has not yet been installed.",4.0,5.0,4.0,5.0,10kW,"$15,000 to $20,000",Jinko Solar,Istore (Other),iStore,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_istore.jpg']",0,0
137063,Arron,VIC - 3636,VIC,3636,True,2025-09-10,10 September 2025,4.75,,"Great communication throughout the whole process, it was great to have someone come out to site and talk me through what his plan of attack was.Very happy with the serviceThe product looks lovely and we are very happy with it.I would definitely recommend them in the future and to others",4.0,5.0,5.0,5.0,9kW,"$6,000 to $8,000",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/574507f21d7db3eed8f6c40b0660ab1f0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/dce87d340c7e8e4548d6124684c25e643.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8e4656ffb3c68fafed8739ed9e3119914.jpg']",0,0
134721,Gabriela,VIC - 3149,VIC,3149,True,2025-06-27,27 June 2025,4.5,,"One of the Jinko panel was generating 15% less electricity.I contacted Jinko and Alif who answered my call organised a replacement, delivering the panel to my address and installing by Cowlec Electrics. Shan and his team arrived within few days.I would recomand Jinko not only for panels but for it's helpful team.",4.0,4.0,5.0,5.0,6kW,"$6,000 to $8,000",Jinko Solar,,,4.0,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png'],0,0
134287,Carmen,QLD - 4655,QLD,4655,True,2025-06-12,12 June 2025,5.0,,"Solargain:This is now our second house with solar fitted via Solargain & it wasn't a hard decision going back to them.From first contact then Jason's prompt & very reasonable quote everything was set in motion. Communication along the way was excellent & 6weeks later on the day the guys turned up on time. Our entire 7.9kw system was up & running by late afternoon, the area left clean & tidy, the guys did a first class professional job.Thankyou to Jason & the team.",5.0,5.0,5.0,5.0,7kW,"$4,000 to $6,000",Jinko Solar,iStore,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg']",0,0
134131,Mark,ACT - 2902,ACT,2902,True,2025-06-05,05 June 2025,4.75,,"Solargain has provided me quality install and solid advice on this occasion, and on previous installs I have had in the past on other properties. They take the time to consider your situation and have the ability to tune their recomended system to suit your needs and desires. Install was very professional. After sales service has be excellent - they were consistent in followup to sort out a small issue re-estabilishing my remote monitoring after we had rented the property out for a few years ans moved back in.",4.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",,SolarEdge,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png'],0,0
133824,Bob,NSW - 2580,NSW,2580,True,2025-05-27,27 May 2025,4.25,,"very professional install team, job completed in around 5 hours. Looks pretty good.Solargain took care of all the essentials including Origin so very happy with that element",3.0,4.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
133415,Dahnt,WA - 6173,WA,6173,True,2025-05-14,14 May 2025,4.5,,"I had an Enphase system installed by Solargain and it is brilliant. Just recently the reporting system dropped out . So I called Solargain and dealt with Jackie.She was brilliant. Helped me reboot system and followed up and watched it for a couple of days, and kept messaging me to confirm our success. Great customer service here.",3.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",I don't know,Enphase,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png'],0,0
132888,Barry,WA - 6103,WA,6103,True,2025-04-28,28 April 2025,4.75,,"The installation was brilliant, friendly, knowledgeable clean. I have found the setting up of the App a big confusion, mainly my  technological ignorance but the help from various staff namely Rica, Bonnie,Trish & especially Jasmine who patiently guided me through the process has been absolutely commendable.Furthermore Sheldon Simons was a great salesman, very knowledgeable, friendly & not “pushy “ at all. He was always truthful , willing to be contacted with any questions. He & all your staff , that I have come in contact with are a credit to your company.",5.0,5.0,5.0,4.0,6.6kW,"$4,000 to $6,000",,Fronius,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
132523,Zoe,WA - 6023,WA,6023,True,2025-04-13,13 April 2025,5.0,,"Whilst I have long wanted to install solar panels, cowboy operators in my neighbourhood made me reticent to take the plunge. But with my electricity bills increasing I decided the time was right to make the switch. After doing some research and getting three quotes from different installers, I chose to go with Solargain and it was the best decision.The whole process was seamless from start to finish. Much of the credit goes to Ryan Costello, the sales rep who visited our home, and made a great first impression. He was extremely knowledgeable, professional and patient in answering all my questions and allaying my concerns.  Post-visit he was responsive without being pushy and the quote he provided was very competitive and he was able to offer installation within a really short timeframe.Once we signed on the dotted lined, everything proceeded in an extremely efficient and professional manner. Solargain operated as a really well oiled machine and their service was faultless - which is a rarity these days. The admin/scheduling staff were fantastic as were the installers and the tech support staff  Nothing was too much trouble for them.So all my prior concerns were blown out of the water by Solargain and the cherry on top was looking at how my electricity bills have gone down since installation. I couldn’t be happier with our battery-ready solar panels and I can’t recommend Solargain Perth highly enough.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",Jinko Solar,iStore,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg']",0,0
132516,Mark,QLD - 4511,QLD,4511,True,2025-04-13,13 April 2025,5.0,,"Obtaining quote was easy, follow up on quote was prompt and answering questions was honest and helpful.Installation team on time, professional and did not break any roof tiles!  Training in use of system was easy to understand.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,iStore,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg']",0,0
131813,Mena,WA - 6030,WA,6030,True,2025-03-24,24 March 2025,5.0,,Very Transparent QuotationVery Reliable Customer ServiceVery Smooth Process,5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Jinko Solar,iStore,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg']",0,0
131512,Peter,VIC - 3564,VIC,3564,True,2025-03-12,12 March 2025,4.5,,"SOLARGAIN ECHUCA were great to deal with.quote process was very well done, told all pros and cons, and written quote came thru very fast.installation was very professional and polite.install was very quick, and was explained how to connect with internet.",4.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",LONGi Solar,iStore,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg']",0,0
131511,James,VIC - 3564,VIC,3564,True,2025-03-12,12 March 2025,5.0,,Great customer service from start to finish.Great team that worked hard and done the job quickly and efficiently.Very knowledgeable and helpful with all my questions and every little detail.Highly recommended.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
131489,Deborah,WA - 6069,WA,6069,True,2025-03-12,12 March 2025,5.0,,"Fast with quote, All information provided.Support with process.Very polite, arrival of all involved was as discussed and executed.Customer service was great. My system was set up for me. All contact from providers occurred in the time frame discussed.",5.0,5.0,5.0,5.0,5kW,"$2,000 to $4,000",,,,,,,False,[],0,0
131462,Helen,ACT - 2611,ACT,2611,True,2025-03-11,11 March 2025,4.75,,"Solargain was very informative, patiently answered all of my questions.  There were no hidden costs and installation was very smooth and efficient.",5.0,5.0,4.0,5.0,6.6kW,"$4,000 to $6,000",Seraphim,iStore,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg']",0,0
131348,Alex,WA - 6036,WA,6036,True,2025-03-06,06 March 2025,5.0,,"We had an amazing experience with Solargain from start to finish! Our consultant, Ryan, was SUPER knowledgeable and eager to help. He left no stone unturned when explaining our options and was very patient in answering all our questions. His expertise and guidance made the decision-making process much easier.The entire installation process was seamless. The installers were professional, efficient, and left everything spotless. It was clear they took pride in their work. Solargain went above and beyond in many areas, making sure everything was done to the highest standard.My wife and I are grateful that we chose Solargain for our solar system. We highly recommend Solargain!",5.0,5.0,5.0,5.0,9kW,"$15,000 to $20,000",Seraphim,iStore,Huawei,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_huawei.png']",0,0
131131,Alex,WA - 6151,WA,6151,True,2025-02-27,27 February 2025,5.0,,"We were considering solar panels to help reduce our energy bill. I rang and spoke to Ricardo, who spent over 30 minutes on the phone with me, discussing our needs, property and options.We chose a system and booked in for the install. On the day, the tradesman were fantastic, on time and did a cracking job.The system has been up and running for 6 weeks now and the power bill reduction is noticeable.Solargain have been great to deal with and I definitely recommend them.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,Solis,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png'],0,0
131090,Graeme,WA - 6167,WA,6167,True,2025-02-26,26 February 2025,5.0,,"From the very beginning when Ricardo came to look at our house, reviewed what we had and his recommendations made the process very easy. Installers were great with minimal disruptions.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",,iStore,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg'],0,0
131087,Teresa,QLD - 4060,QLD,4060,True,2025-02-26,26 February 2025,4.0,,Just installed (Feb 2025) 13 KW Solar system with SolargainI found their quote competitive(14.5K)They were helpful and informativeInstallation went wellSystem operating well so farHasn't rained yet (so can't comment about roof leaks)Also installed EV chargerHad to set up the charger WiFi myself which was a bit trickySo far satisfied customer (Early days),4.0,4.0,4.0,4.0,13kW,"$12,500 to $15,000",Aiko Solar Neo (Other),Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_tesla.png']",0,0
130408,Warwick,NSW - 2780,NSW,2780,True,2025-02-04,04 February 2025,5.0,,"We had our system installed three years ago. All aspects of the quotation process and installation were performed professionally and efficiently.The system has performed flawlessly since until a lightning storm destroyed our home internet router, the service staff were very helpful and patient with reconnecting the app. on the phone so that I could monitor the system properly. Very happy!",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",I don't know,Huawei,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png'],0,0
129972,Glenn,WA - 6016,WA,6016,True,2025-01-20,20 January 2025,4.75,,"Sales and quoting was excellent. They were patient and happy to present multiple options at different price points to suit our house. They were also the only provider that offered to come to our house and inspect and offer advice.The installation was smooth and very well done. Daniel and his team were professional, efficient, and hard-working tradespeople who cleaned up all mess afterwards. I would highly recommend them.After sales service is also good. They have local people you can call to ask questions which is a bonus.",4.0,5.0,5.0,5.0,7kW,"$12,500 to $15,000",Aiko Solar,iStore,iStore,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_istore.jpg']",0,0
