review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
138399,Charles,NSW - 2216,NSW,2216,True,2025-10-10,10 October 2025,1.0,,"Very disappointed with this company. I had a job cancel unexpectedly, and was told the company is now bankrupt, yet their ads are still appearing online. I would advise anyone to stay well clear of this company.",1.0,1.0,1.0,1.0,10kW,"$15,000 to $20,000",Jinko Solar,Sigenergy,Sigenergy,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_sigenergy.png']",0,0
89678,Howerd,WA - 6065,WA,6065,True,2021-05-11,11 May 2021,4.5,,Very happy with the whole process. Chose tier 1 panels and a quality inverter which were installed efficiently and tidily,4.0,5.0,5.0,4.0,6.6kW,"$4,000 to $6,000",Trina,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
86777,Grace,QLD - 4305,QLD,4305,True,2021-02-14,14 February 2021,5.0,,We bought 14 panels and an inverter end of 2012 and we had a very good experience from From Sales to Installation and After Service. I obtained several quotes and everyone I was dealing with was professional and honest. We have good products (Schott Panels and Delta Inverter). Afterwards I asked Ian Gittus a few times for advice and he always answered and provided for advice.,5.0,5.0,5.0,5.0,3kW,,Schott Solar AG,Delta,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_schott-solar-ag.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_delta.jpg']",0,0
76298,Billy,QLD - 4171,QLD,4171,True,2020-05-03,03 May 2020,2.75,,"Solaris were great but the inverter was crap. Maybe I could accept 1 dud product, but not 3.",3.0,1.0,4.0,3.0,2kW,"$3,000 to $6,000",,Delta,,,1.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_delta.jpg'],0,0
61603,Ian,QLD - 4076,QLD,4076,True,2019-03-23,23 March 2019,2.5,,The warranty appears particularly useless. IT is unacceptable for me. It took 6months to get a technician out and despite obvious damage my claim was dismissed out of hand. Opinion would be NEVER to purchase any items from this company.,3.0,2.0,4.0,1.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
21781,Cynthia,QLD - 4305,QLD,4305,True,2014-03-01,01 March 2014,5.0,,"The owner of Solaris was great to deal with, answered all of my questions honestly and the installation was organised to occur quickly. The installation contractors were very knowledgeable, left the work site in a very clean state and walked through the system operation, showed and explained the shutdown and start procedures for the PV system and even made suggestions on how to improve the out put by removing trees that would cast shadows. The experience was extremely positive",5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
18821,Philip,SA - 5087,SA,5087,True,2013-05-29,29 May 2013,4.5,,We are very pleased with our choice of Solaris Technology as the installer for our solar system. Their service is excellent. All our after-sales post-installation problems are resolved to our satisfaction. I would recommend Solaris to any new customers looking for a solar vendor they can trust.,4.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
17528,RUTH,QLD - 4271,QLD,4271,True,2013-02-04,04 February 2013,4.0,,I was recommended this company by a friend.,4.0,4.0,4.0,4.0,2kW,"$10,000 to $15,000",,,,,,False,[],0,0
17353,Grace,QLD - 4305,QLD,4305,True,2013-01-23,23 January 2013,4.75,,There is no choice in your selection but we choose a 3.5 kW system. Solaris from Riverhills Qld have been fantastic from beginning (sales person Aaron) to end (especially electrical installer Peter Jensen). We would recommend this company to anyone. We are very happy.,4.0,5.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
17073,Grace,QLD - 4305,QLD,4305,True,2013-01-07,07 January 2013,4.5,,"I researched before choosing this company. This website really helped and also Whirlpool feedback. My system is not up and running yet as I am waiting for Energex. But the experience with this company was great from beginning to end. Sales person Aaron was impressive and re-assuring. He was willing to answer questions even after I had signed the paper work. Installation was done by a great team Peter Jensen for electrical (0439 633137) and his mate Doug for panel installing. Peter especially went out of his way in regards to meter box changes and owner Ian supported him in this. This was during an extremely busy time (Dec. 12) but these guys were doing things right. There was a small paperwork mishap and we received only 12 instead of 14 panels. Again, Aaron and owner Ian took care of this issue and it was quickly resolved. I would really recommend this company and the installers. I will certainly call Peter if I need any maintenance or other electrical work done. Thank you Solaris!",4.0,4.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
