review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
70751,Trevor,QLD - 4701,QLD,4701,True,2020-07-27,27 July 2020,5.0,,They were all professional and listened to what I wanted the team were friendly and answered all questions that I asked they performed as you would expect them to,5.0,5.0,5.0,5.0,more than 20kW,"$15,000 to $20,000",Qcells,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
77029,Bryan,QLD - 4701,QLD,4701,True,2020-05-24,24 May 2020,4.5,,Prompt quotationSalesman explained retaining our 44 cent payment.Installers were pleasant and did a professional job.Admin team were very helpful.,4.0,5.0,5.0,4.0,4kW,"$6,000 to $8,000",Solahart Industries,Fimer,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
69352,Kudzai,QLD - 4701,QLD,4701,True,2019-10-15,15 October 2019,4.25,,The quoting process went very well with all questions explained fully. The installation was done efficiently.,5.0,4.0,4.0,4.0,6kW,"$6,000 to $8,000",REC,Fimer,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
68313,Greg,QLD - 4702,QLD,4702,True,2019-09-11,11 September 2019,4.5,,"Very simple process, well explained and informed. Install had no issues. They organised everything.",4.0,4.0,5.0,5.0,6kW,"$8,000 to $10,000",Solahart Industries,Fimer,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
46660,Anon,QLD - 4700,QLD,4700,True,2018-12-13,13 December 2018,4.0,,Our system is not yet switched on because we are waiting for Ergon to supply and fit the new meter.,4.0,4.0,4.0,4.0,4kW,"$6,000 to $10,000",REC,Fimer,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
52579,Peter,QLD - 4701,QLD,4701,True,2018-09-12,12 September 2018,3.75,,,3.0,4.0,4.0,4.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
50151,Malcolm,QLD - 4703,QLD,4703,True,2018-07-18,18 July 2018,3.0,,After sales service nonexistent with solarhart rockhampton. I used your service to obtain my solar system and just want to give feedback,3.0,4.0,4.0,1.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
36621,John,QLD - 4702,QLD,4702,True,2018-03-06,06 March 2018,1.0,,"I am on a mongrel SWER system , which is a sitter for ergon to muck consumers about , so there are problems of capacity .",0,1.0,1.0,1.0,4kW,"$10,000 to $15,000",NOT YET DELIVERED (Other),Fimer,,1.0,1.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
43806,Judith,QLD - 4700,QLD,4700,True,2018-02-03,03 February 2018,3.33,,I am waiting to have the system installed,3.0,3.0,0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
35203,Malcolm,QLD - 4703,QLD,4703,True,2017-12-26,26 December 2017,3.75,,Need to get at least 3 quotes and discuss systems etc fully so you can make an informed choice. solar blogs info has been helpful also.,4.0,4.0,4.0,3.0,5kW,"$6,000 to $10,000",REC,SMA,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
