review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
137528,Bill,NSW - 2204,NSW,2204,True,2025-09-21,21 September 2025,4.75,,Kunal and team provided various options that meet my requirements. His quotes were the best from the options provided by solar quotes. He was available whenever i had queries and even supported my council application due to being in a heritage conservation area. Installation was great. Would definitely recommend!,5.0,5.0,4.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
136533,Michael,NSW - 2145,NSW,2145,True,2025-08-28,28 August 2025,4.5,,"I was happy with the customer service, communication and punctuality with this company recommended by Solar Quotes. However, the installation was a bit amateur as they drilled 3 holes in the wrong spot on my load bearing wall and then patched it up with silicon & a similar paint that doesn't match my wall when I specifically requested for it to be a hebel patch (never rectified properly). They also scraped off some black paint from my gutters & pipes with their metal ladders and left some panels in a slightly wonky state, they also used timber screws on my hebel wall installed at lazy angles which cracked the facade of my wall a bit (they came back an fixed these in a timely manner). About 1.5-2 years into the install, two of the solar panels have come loose and started squeaking up and down on the roof with wind, I've rectified this myself. However, the main thing is that there was no leakage on the roof and that all the electrical wiring & equipment is still intact and working well. The owner did say that they wouldn't use these installers again so hopefully the quality of their install is better now.",5.0,5.0,3.0,5.0,10kW,"$6,000 to $8,000",JA Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3bcef248e28aa14e1cf431a4b8ae82920.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4c5e805b3e216af3511a567122eae7c51.jpg']",0,0
130110,Chris,NSW - 2074,NSW,2074,True,2025-01-23,23 January 2025,5.0,,Excellent value for money. Knowledgeable owner (who did the quote and answered all my questions). Installer very professional who took pride in installation. Highly recommeded,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
128740,Ronny,NSW - 2221,NSW,2221,True,2024-12-06,06 December 2024,5.0,,Prompt and professional responses from Head office and Installer.Nitin and crew did a great job of installation and happy to answer all questions and requests during the job. He took pride in his work and I would happily use him again.Prompt follow up after installation on grid connection.Very good experience with Sparklife on quality of work and product.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",JA Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4926cf257131d3309b48a987051c7ac30.jpeg']",0,0
128667,Tam,NSW - 2206,NSW,2206,True,2024-12-05,05 December 2024,4.0,,"We went with the recommendation from SolarQuotes and by the time our supplier made contact we felt armed and ready with the right information to ensure we weren't getting ripped off. Sparklife Solar gave us a range of options with lots of information about the returns, the efficiency of the unit and what system best suited our specific location. The install was slightly protracted because of an unsafe amount of dust on our roof but the problem was soon rectified and it didn't affect the eventual cost. Kunal from Sparklife Solar was very responsive and helpful and the installers were efficient and not at all invasive.",4.0,4.0,4.0,4.0,10kW,"$6,000 to $8,000",,Sungrow,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
126417,Simon,NSW - 2141,NSW,2141,True,2024-09-29,29 September 2024,5.0,,"We are happy with the price, suggestions, installation, followup, and the system as a whole. We found Sparklife Solar professional and reliable. It is solar system that we are satisfied with that we help our parents to instal theirs. Highly recommended.",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",,,,,,,False,[],0,0
125956,Ian,NSW - 2026,NSW,2026,True,2024-09-12,12 September 2024,5.0,,"There were a couple of problems with two of the original quoters as they thought the roof was too steep. But Sparklife had no problem with it. They were delayed a couple of days due to high winds but did a great job in good time. Friendly and competent. Organised the grid connection, cleared up when finished and we couldn’t have been happier. Can’t give them less than 5 stars for all aspects of the installation.Strongly recommended.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
114133,George,NSW - 2115,NSW,2115,True,2024-09-04,04 September 2024,5.0,,"The initial sales and quoting process was good.    A representative came to the property and we had a very informative discussion about suitable systems.      The installation took place in an efficient and timely way.       Sparklife arranged with our energy retailer for the replacement of our old electricity meter with a smart meter.   That, too, took place at an agreed time and was also neat and efficient.     Now it is all up and running, it is performing as expected, with both local monitoring and retailer monitoring.     Altogether, we are very pleased with it.",5.0,5.0,5.0,5.0,4kW,"$2,000 to $4,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
123541,Robert,NSW - 2195,NSW,2195,True,2024-07-02,02 July 2024,5.0,,The quotation process was very professional with a full quotation including panels and inverter on the spot.A follow up after another quote received was satisfactorily responded to.Installer arrived when promised and was able to solve a problem with my roof. Installation was finalised after roof problem was rectified by the installer.Very happy with the full process.,5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
122217,Adam,NSW - 2086,NSW,2086,True,2024-05-16,16 May 2024,4.5,,"Sparklife Solar have been a good company to deal with. They have been fast to respond to queries and helpful when I have had any issues.The installation happened on the day scheduled, the guys turned up, installed as quoted and were happy to answer my questions etc. They possibly could have tidied up a bit more after the job, but overall not a big deal.The grid connection took a few weeks, which was a bit of a pain, but that was due to the poor service speen of AusGrid, not sparklife.It's been installed for over two years now and I have had one or two issues, but each of these have been replaced promptly and the support I have receivd from Sparklife has been really good. They answer my emails and help out.I do recommend them as an installer.",5.0,4.0,4.0,5.0,8kW,"$6,000 to $8,000",Hanwha Q CELLS,Sungrow,,4.0,4.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
119950,Darren,NSW - 2046,NSW,2046,True,2024-03-06,06 March 2024,3.5,,"sales process was simple and efficient, install was completed on-time without any issues. I was connected the next business day after installation which was all taken care of for me.",3.0,4.0,4.0,3.0,8kW,"$10,000 to $12,500",Canadian Solar Inc,Sungrow,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
119428,David,NSW - 2044,NSW,2044,True,2024-02-19,19 February 2024,4.5,,"My experience of installing solar was fantastic with Sparklife Solar.I dealt with Kunal who was extremely helpful and flexible as it took a while for me to realise what i really wanted, and with Sparklife i believe i got just that and at a price point i was happy with.My layout ended up being slightly different that i originally wanted but this was sorted out with Kunal's help.With all the various Solar companies out there offering so many different brands i would highly recommend Sparklife Solar.",4.0,5.0,4.0,5.0,8kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,4.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8d339dc70228129ca66f5b028997086b0.JPG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/47392791083337bdf947c0fb6703cd351.jpg']",0,0
119184,David,NSW - 2144,NSW,2144,True,2024-02-13,13 February 2024,5.0,,"The install has been very smooth from start to finish. The only item pending now, is waiting for the smart meter install that is scheduled next week. Andy from Sale is very knowledgeable and friendly to talk to. During the install, there was an issue for my roof that was not able to fit all panels that were quoted originally, but Mark the installer, is able to work around by moving those panels to another side of the house. Power production is still optimal. Sparkline just makes solar system install like a piece of cake and handles profeessionally, including the admin team actioned on emails very swiftly. I am also given the soft copy of user manual, warranty information that is very well organized. Thank you.",5.0,5.0,5.0,5.0,9kW,"$8,000 to $10,000",Canadian Solar Inc,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
118318,Simon,NSW - 2141,NSW,2141,True,2024-01-12,12 January 2024,5.0,,"Yes, we are happy with all the above questions so far.We cannot compare with other companies, as we are very new customer to install solar.But one thing that I would like the sales do , is to provide information about the choice of installing  mesh guards to go around the panels, the purpose is to prevent birds build nests under the panels.We did not know this concern until a friend shared her experience that birds build nest under her solar panels.Had I know this possibility I would be getting the mesh guards done during the installation.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Canadian Solar Inc,Sungrow,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
