review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
99709,Roger,SA - 5211,SA,5211,True,2023-03-04,04 March 2023,5.0,,"The salesman was great; he was flexible with options on panels and inverters, as were the other two recommended companies.  I made changes to my requirements and they were quickly updated.The office manager was also very friendly and kept us informed of all developments.The installation was scheduled for a little more than a fortnight but changes in their workload allowed us to get them installed a week earlier, which we were most pleased with.The guys arrived on time, were very friendly and professional.  We could not fault them.Sparkwire sent our details to our energy supplier, requesting a smart meter, and we were informed of the telephone number to ring and sort out our connection.  It would have been nice if we were provided with all the details on what the following chain of events would be and the approximate timeline, and what we needed to do.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Qcells,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
105606,Annette,SA - 5241,SA,5241,True,2022-11-22,22 November 2022,5.0,,"Sparkwire Solar have installed systems at 2 addresses for me.  Their service is first rate from the initial enquiry through to installation and ongoing follow-up.Prompt communication, knowledgeable, sound advice, quality products, competitive pricing, excellent installation. All completed seamlessly.  Very happy customer.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,Fronius,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
105049,Simon,SA - 5159,SA,5159,True,2022-11-03,03 November 2022,5.0,,Sales process was super easy. Paul was doing my quote after 10pm at night. Amazing service and communication. Installation was fantastic. I was lucky and got to see some of the work being done on my day off. It was very professional and efficient. The guys or site were very nice. Catherine took care of everything for me and the whole process was simple. Catherine provided me with extremely amazing service and the response times to my questions was super fast. The service was lovely. My whole experience was amazing.,5.0,5.0,5.0,5.0,20kW,"$12,500 to $15,000",,Fronius,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
103623,Angelo,SA - 5025,SA,5025,True,2022-09-15,15 September 2022,4.5,,"Excellent installer good quality installation and quality hardware, they took care of everything and in one day and  halve they  install and commission  24 solar panels   in a two story building and everything is working perfectly.",4.0,5.0,5.0,4.0,10kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
95537,Anna,SA - 5022,SA,5022,True,2022-06-24,24 June 2022,5.0,,We couldn't be happier with the customer service starting with Paul Mills who contacted us immediately and we were discussing options within days.  Catherine who handled all the logistics pre during and post installation has be truly fabulous too.  Torsten who owns the business employs highly capable installers.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",JA Solar,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
92796,Sue,SA - 5211,SA,5211,True,2022-05-02,02 May 2022,5.0,,"I am very satisfied with the way in which Sparkwire handled my solar enterprise. Their sales person Paul was very helpful and patient with all my various enquiries throughout the process. He has also explained and assisted with my solar app as well. Everyone else at Sparkwire was similarly professional and helpful.If only I could say the same for AGL who are being the exact opposite and making my venture into solar much less happy and taking cynical advantage by upping my usage rates!BTW, I know nothing about the qualitybofnthebsystem, as have nothing to compare it with. But anyway - Thanks Sparkwire for a good job.",5.0,5.0,5.0,5.0,5kW,"$2,000 to $4,000",Jinko Solar,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
99343,Graham,SA - 5127,SA,5127,True,2022-04-21,21 April 2022,4.0,,Good communication.Installation was a bit slow as the panels weren't delivered on time and had to be couriered and only arrived in the afternoon.The installers were polite and tidy.,4.0,4.0,4.0,4.0,5kW,"$6,000 to $8,000",Qcells,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
98405,Rjchard,SA - 5212,SA,5212,True,2022-03-09,09 March 2022,4.5,,"Good service, replied promptly, Arrived when the said they would .Installation carried out efficiently and with minimal interruption to service.still waiting on the meter change over to be carried out by the electricity supplier.",4.0,4.0,5.0,5.0,4kW,"$2,000 to $4,000",,,,,,False,[],0,0
91209,Michael,SA - 5067,SA,5067,True,2022-03-05,05 March 2022,5.0,,"SparkWire Solar's quote was not the cheapest; however, the components that they supplied had better reviews than the others. The SpankWire Solar's installation team were flexible due to inclement weather and worked between my install and another to get the job done within 8 hours. Their customer support was excellent and returned all of my communications within 2 working hours. SpankWire didn't organise the solar grid connection, but they provided all the information, including the blurb, to organise the connection. Overall SpankWire's performance was good throughout the whole process from initial quotation through to installation.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Risun Technology,Sungrow,,5.0,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
97948,Sarah,SA - 5173,SA,5173,True,2022-02-19,19 February 2022,5.0,,"My husband and I are thrilled with the outstanding service and support we have received from Sparkwire Solar. From beginning query to switching on our system today Paul and Catherine have been present, responsive and so easy to deal with. No question was too silly, no request too hard and they have taken the time to explain it all to us. Highly recommend for anyone embarking on a solar journey.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",,I don't know,,,,False,[],0,0
