review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
130172,Greg,QLD - 4031,QLD,4031,True,2025-11-24,24 November 2025,5.0,,"Multiple options clearly explained and well documented.  Great prices.Installation team arrived on time, worked efficiently during an extremely hot day.System setup, configuration, wireless connection completed quickly.Very happy with Springers Solar.",5.0,5.0,5.0,5.0,13kW,"$6,000 to $8,000",Canadian Solar Inc,Sungrow,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b6c74034a15e597baceedb06614cd0eb0.jpg']",0,0
139213,Paul,QLD - 4035,QLD,4035,True,2025-10-30,30 October 2025,5.0,,"I strongly recommend Springers Solar (South East Qld) if you are thinking about a solar PV system and/or a home battery for a solar PV system. I used them previously (for our former home's Solar PV system) but still did 6 months of research before going with them again for our current home's system. Springers are not the cheapest retailers / installers but are very very good installers and only sell good quality panels/inverters/ batteries, local and use their own installers (no contractors). They have: a 10 year warranty on their installation work;25 operational warranty on Trinia PV panels (30 year power generation guarantee, 87.5 % capacity guaranteed after 30 years); and 10 years on the Tesla Powerwall 3 and Expansion pack (10 year operational warranty and guaranteed 70% retention of battery's original storage capacity at 10 years).Springers have installed 2 systems for me now (previous house and recently current house) and both were top jobs and excellent customer service pre and post installation.Every installer is very busy with the current government panel and battery rebates but Springers are worth the wait.We purchased a 13.5 kWh PV solar panel system (30 x Trina 450W Vertex S+ Dual Glass N-Type Solar panels) and a Tesla 3 Powerwall (13.5 kWh) inverter / battery with an Expansion pack (another 13.5 kWh,  total battery storage of 27 kWh).Great service both pre and post installation and the system is performing as per Springers Solar performanve estimate given with the quote. Only regret is not having bought and installed a second Powerwall Expansion pack to take the battery storage to 40 kWh.Just for clarity / your reassurance:I have no commerical or personal relationship with Springers (paid full price, no discounts or benefits etc for positive reviews or referrals etc).",5.0,5.0,5.0,5.0,13kW,"More than $20,000",Trina,Tesla Powerwall 3 (Other),Tesla Powerwall 3,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/94975bcd93b8b1441c8224a66102100b0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/167abbe77c36f3c1b6fa26be6e49809a1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/253fdfeed2921f9df82ad9a62e7e2d382.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c847fb397018dadccc2dfdebfddaccb13.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/164cd465f693dea72178df26ff9f8afc4.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/063438a3bf8afcb081da758ed7257ae55.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/509e8018c1a1bc6ce1c171d892e7beac6.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8c772050b60dd3974e875f211b9044dd7.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1a2c712ee942fe7346f26d9a1f0b5b3f8.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/11d6f3aefa12ac1989f72ca1d1244f3f9.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d54987a163a308386b523c9986ad84ff10.jpeg']",0,0
133934,Greg,QLD - 4306,QLD,4306,True,2025-05-29,29 May 2025,3.5,,Install team were great but not provided information from head office which caused a change in design that isn't the best. Battery install was great with the team changing the original design to a practical and workable solution. Only contact from head office is for payment and STC forms.,3.0,4.0,4.0,3.0,20kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6d6caba6504107cb2633ebe7f040c5680.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3fa359f1982c7be8b3357f095e59de021.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a6d49c6a026de0dc79f8a4d46afdaa022.jpg']",0,0
133338,Scott,QLD - 4178,QLD,4178,True,2025-05-12,12 May 2025,4.75,,"From the quoting to the installation, the team kept us informed through every step.The installation was neat and the walk-through of the system was detailed and helpful.",4.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",,Sigenergy,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png'],0,0
131618,Ross,QLD - 4101,QLD,4101,True,2025-03-17,17 March 2025,5.0,,"We had three similar quotes and whilst the other 2 probably had a more recognisable brand and would have also been a suitable solution we just were impressed by Aiden's response to our questions, he got it, wasn't a sales pitch at all, which gave us a lot of confidence to go with Springers.The installation went smoothly, any small challenge was not too much trouble for them. A really professions and nice bunch of guys.Could not recommend Springers more highly.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",Canadian Solar Inc,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_tesla.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/22328116d9bb397cb96bda19c738694e0.jpg']",0,0
131614,David,QLD - 4503,QLD,4503,True,2025-03-16,16 March 2025,5.0,,"Sales quote was well delivered onsite in personInstallation was done in two parts, due to roof painting after bracketsEasy to call and pay",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Canadian Solar Inc,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
130409,Coenraad,QLD - 4520,QLD,4520,True,2025-02-04,04 February 2025,4.75,,Knowledgeable people with great customer service.Joe was great to deal with and followed through.Very happy with complex roof installation of 20kW system.,4.0,5.0,5.0,5.0,20kW,,Canadian Solar Inc,SolarEdge,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
130359,Mark,QLD - 4510,QLD,4510,True,2025-02-01,01 February 2025,3.75,,"I went with Springers because he was the only one to explain the installation setup in the meterbox since we have 2 phase power.  No other installer could explain it in a way I could understand.The install went very quickly, faster than I expected. Was impressed with the crew and supervisor, they obviously knew what they were doing.We are still waiting on the retailer to do the meter replacement which should be this week.",3.0,4.0,4.0,4.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
129082,Danny,QLD - 4055,QLD,4055,True,2024-12-16,16 December 2024,5.0,,"Great sales staff, installers were polite, helpful, tidy and did a really neat install.",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Canadian Solar Inc,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
128414,Terry,QLD - 4020,QLD,4020,True,2024-11-27,27 November 2024,4.25,,"Good communications during decision making period, prompt replies to questions, quick scheduling and rescheduling due to change at our end. Installation team was on time, quick, kept us informed during installation and cleaned up after installation. The ducting they installed to carry cabling was very neat and very tidy.",4.0,4.0,5.0,4.0,6.6kW,"$8,000 to $10,000",Canadian Solar Inc,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
