review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
58774,David,VIC - 3028,VIC,3028,True,2019-01-18,18 January 2019,2.5,,After taken near to a year to install never heard from them again and to be getting 3 cent return a waste of money a mate who lives 2 minutes from me has been getting 50 cent return.,3.0,3.0,2.0,2.0,1.5kW,Under $3000,,,,,,False,[],0,0
17476,Graham,VIC - 3099,VIC,3099,True,2013-01-30,30 January 2013,2.5,,We were funded by the Government back in 2010 when they were paying $8000.00 for eligible applicants. The Inverter does not work. The brand is Aero Sharp. Twice I have rung the company who took over and have been put on hold until phone goes to the engaged signal. I am not in the least impressed.,2.0,2.0,4.0,2.0,1.5kW,"$6,000 to $10,000",,,,,,False,[],0,0
16429,John,VIC - 3810,VIC,3810,True,2012-11-09,09 November 2012,2.25,,Bloody horrible most useless company ever dealt with 2 years on roof alll set up still not connected due to them losing all the paper work. I bought two complete systems one for my house and one for my mothers house,3.0,2.0,3.0,1.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
7820,KEVIN,VIC - 3844,VIC,3844,True,2012-09-12,12 September 2012,4.0,,After sales they didn't do any follow up.  I should have got 8 x 190 panels instead I got 9 x 185 now I want to add 3 more. The 185 panels are hard to find but the unit is working ok my 1st electric bill is for only $3.50 credit instead of a bill of generally $370 to $400.,4.0,4.0,5.0,3.0,2kW,"$3,000 to $6,000",PV Power Technologies Pvt (Other),Aerosharp,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_aerosharp.png'],0,0
300,Suseel,VIC - 3340,VIC,3340,True,2012-09-05,05 September 2012,4.5,,System is not yet installed. Will be installed within a weeks time.,5.0,,0,4.0,1.5kW,Under $3000,Australian Solar Manufacturing,Blueline Solar,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_blueline-solar.png'],0,0
4222,William,VIC - 3187,VIC,3187,True,2012-09-04,04 September 2012,3.75,,,5.0,3.0,4.0,3.0,1.5kW,"$3,000 to $6,000",NESL,Aerosharp,,3.0,3.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_nesl.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_aerosharp.png']",0,0
544,Greg,VIC - 3158,VIC,3158,True,2012-08-30,30 August 2012,3.25,,"We purchased from State Solar Services. Paid up front, and had to wait 5 months for install due to customer overload (so we are told).",4.0,4.0,4.0,1.0,1.5kW,"$3,000 to $6,000",Suntech,Clenergy,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_clenergy.png']",0,0
5283,KEITH,VIC - 3136,VIC,3136,True,2011-02-20,20 February 2011,3.75,,"Very pleased with early figures. On a good day, up to 14-15 kwhs then cloudy day 8 plus. This will diminish as we go into winter.",4.0,4.0,4.0,3.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
5055,ROY,VIC - 3222,VIC,3222,True,2011-02-03,03 February 2011,4.75,,"Origin Energy certainly took their time completing their part of the installation, and needed a prod from the ombudsman to finalize",5.0,4.0,5.0,5.0,1.5kW,Under $3000,,,,,,False,[],0,0
4984,Bj,VIC - 3340,VIC,3340,True,2011-01-28,28 January 2011,2.75,,i am still waiting to be contacted by energy retailer to purchase my power,3.0,3.0,4.0,1.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
