review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
129798,Danilo,NSW - 2478,NSW,2478,True,2025-01-15,15 January 2025,5.0,,"I recently made the decision to switch to solar energy, and after a lot of research, I chose Stralis Energy to help with the installation. I couldn’t be happier with my choice!From the start, the whole process was smooth and stress-free. The Stralis Energy team was incredibly professional and attentive. They walked me through every step of the installation and made sure I understood how the system would work in my home. They even took the time to explain the financial benefits and how the setup would save me money in the long run.The installation itself was fast and efficient—everything was up and running in just a few days. The team made sure everything was set up properly and was happy to answer all my questions. I’ve been using the system for a couple of weeks now, and I can already see a noticeable difference in my energy bill. It’s incredible knowing that the power I’m using is clean and sustainable, and it feels good to contribute to reducing my carbon footprint.I’ve also been impressed by the customer service. Anytime I had a question, they were quick to respond and always explained things in a way that was easy to understand. Plus, their online portal is super helpful—I can easily track my energy production and usage, which is really reassuring.Overall, I highly recommend Stralis Energy to anyone thinking about going solar. It was a great decision for my home, and I’m really happy with the results so far. If you’re looking for a reliable, eco-friendly energy solution with excellent customer service, Stralis Energy is definitely the way to go!",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",JA Solar,GE,LG Chem,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_ge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_lg-chem.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_tesla.png']",0,0
102558,M,NSW - 2477,NSW,2477,True,2022-08-14,14 August 2022,5.0,,Punctual. Thorough. Quality.Can’t get better than that. DJ was very good to us and we are very happy.Job well done,5.0,5.0,5.0,5.0,8kW,"$12,500 to $15,000",I don't know,Goodwe,Redback Technologies,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_redback-technologies.png']",0,0
101827,Martin,NSW - 2480,NSW,2480,True,2022-07-28,28 July 2022,4.25,,The whole process was smooth and speedy from the visit to receiving the quote to install.  Took one star off the installation because the boys left a couple of handfuls of mounting hardware from the old system and screws and wire offcuts lying on the roof and ground.,4.0,4.0,4.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
96309,Alfredo,NSW - 2478,NSW,2478,True,2021-12-17,17 December 2021,5.0,,David and the team were professional and did a great job. The product is great and well priced.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Astronergy,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_astronergy.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
94816,Adam,NSW - 2489,NSW,2489,True,2021-11-01,01 November 2021,5.0,,"The team at Stralis were amazing, responsive and reliable.I had worked in solar years ago so had a bit of an idea but had forgotten most of it.This was our first experience with Solar as customers and they made it really easy to understand.The quoting was in my inbox when I was told it would be.The install was done swiftly but with precision and care, the follow up was exactly what I was expecting.I would highly recommend this company to anyone looking for Solar!",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
88762,Hillary,NSW - 2478,NSW,2478,True,2021-04-13,13 April 2021,4.75,,Stralis were the first to contact and we had seen them in our area.We were completely comfortable from the outset,4.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Seraphim,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/82e92c650163508b01516a2a224ddd820.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0419990f80470bc38d2669501325abcf1.jpeg']",0,0
83096,Jon,NSW - 2478,NSW,2478,True,2020-10-30,30 October 2020,5.0,,These guys were professional.  I felt like I was in the hands of experienced solar engineers.  They turned up on time.  They did not harass me after quoting.  I know I didn't pay too much for a good quality system and I avoided being sold a poor system for the sake of a low price.  Their after sales service was first class.  Really nice guys.  I can highly recommend them to anyone who is trying to navigate the hugely complex task of installing solar and is concerned about the quality of their provider.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
81388,Peter,NSW - 2479,NSW,2479,True,2020-09-11,11 September 2020,5.0,,"I found Stralis through Solar Quotes, they were the first to respond to me, came straight out and visited our house. They found a great solution to our needs, even calling up with an idea for a different and cheaper system when we were looking at a more expensive option. Honest, professional service. Highly recommend.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Seraphim,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
80787,Sandra,NSW - 2478,NSW,2478,True,2020-08-25,25 August 2020,5.0,,Prompt quote and service. Did all the paperwork for me,5.0,5.0,5.0,5.0,4kW,"$2,000 to $4,000",,,,,,,False,[],0,0
80387,Grant,NSW - 2478,NSW,2478,True,2020-08-14,14 August 2020,5.0,,Upfront with good advice and helped me through the whole process well - there was a bit to understand. Everything went smoothly. I like the fact they are a very experienced local company.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
75771,Kate,NSW - 2479,NSW,2479,True,2020-04-20,20 April 2020,5.0,,"This was a very easy process, it was explained well and the installation went smoothly.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",,Sungrow,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
75654,Brian,NSW - 2066,NSW,2066,True,2020-04-16,16 April 2020,5.0,,I found David Jackson to be very accommodating and helpful all the way through.The three installers that arrived were also very professional.all the way through to connecting the WiFi.All in all a pleasant experience.,5.0,5.0,5.0,5.0,3kW,"$4,000 to $6,000",Qcells,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
75578,Michele,QLD - 4227,QLD,4227,True,2020-04-15,15 April 2020,5.0,,Great customer service. Very efficient installation and managed all the forms and liaison with energy provider.,5.0,5.0,5.0,5.0,3kW,"$4,000 to $6,000",Canadian Solar Inc,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
