review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
111314,Jon,NSW - 2481,NSW,2481,True,2023-06-07,07 June 2023,4.75,,Dean was very responsive and very clear about his recommendations and he did the installation promptly and professionally — I would recommend him to anyone.,5.0,5.0,5.0,4.0,8kW,"More than $20,000",,SolarEdge,SolarEdge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png']",0,0
41358,David,WA - 6149,WA,6149,True,2017-12-06,06 December 2017,4.75,,Not the cheaoest system we decided to go with but it def is the best quality system in our opinion and the Sun Connect experience and reputation for excellence is very reassuring too,4.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,,False,[],0,0
41299,Daniel,WA - 6162,WA,6162,True,2017-12-05,05 December 2017,5.0,,Iâ€™ve recommended Sun Connect to my friends as their professionalism and attention to detail was first class.,5.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,,False,[],0,0
27993,Michaela,WA - 6535,WA,6535,True,2015-10-19,19 October 2015,1.0,,"Do not deal with this company.  Both inverters failed within the first two years.  It took over six months to get the first replaced and we have been waiting over six weeks for the second one to be replaced, which has still not happened.  There customer service is non existent. Phone calls and emails go unanswered.  We had to lodge a complaint with consumer affairs",1.0,1.0,1.0,1.0,1.5kW,"$10,000 to $15,000",,,,,,,False,[],0,0
27774,Lyn,WA - 6280,WA,6280,True,2015-09-30,30 September 2015,2.0,,If you are a business stay away from this company. The only good thing about them is their sales people making promises they can't keep. Took almost 9 months to get it installed and it wasn't till the end we we were going to cancel the deal that action was taken. We were made all these promises but not one of them rang true. Differently would never recommend this company to anyone.,1.0,3.0,3.0,1.0,6kW,"more than $20,000",,,,,,,False,[],0,0
23956,Mark,VIC - 3153,VIC,3153,True,2014-10-07,07 October 2014,1.0,,"The system didn't work at all for the first 4 months, then when it finally did work and does not even cover half our requirements when we paid for a system to look after 110% of our usage. The system has stopped again and we are waiting (over 5 weeks now) for them to come out and try to get it working again.",1.0,1.0,1.0,1.0,More than 6kW,"more than $20,000",,,,,,,False,[],0,0
22730,Nicole,NSW - 2877,NSW,2877,True,2014-05-12,12 May 2014,1.5,,"We live on a farm with two meters so we were advised to get two 5kw systems so we could get a rebate on each system. Each 5kw system cost us $25400 minus rebate of $3700, which came to $21700 EACH! Sun Connects smooth and persistent salesman, BERNARD worked out that we paid roughly $1200 a quarter for power already so if we were to pay $100 per week for the panels it would pay for itself fairly quickly. He said by getting a 10kw system we wouldn't be paying anymore bills as this amount of power generated would cover our bills. So we were up to finance $43400, as we were told by Bernard at $100 per week. However when Certegy Finance contacted me I was told that we can only finance ONE system to the value of $15000. We had to come up with the money for the rest! Not happy but we still continued...The panels got installed and we waited for our bill...The bill came and there was no sign of any rebate. We called Sun Connect and they said we had to connect a Smart Meter AT OUR COST! $800 LATER!! Not happy but we still continued...We waited for the next bill...The next bill came and there was still NO rebate. The electrician and the sub contractor for Sun Connect have stuffed up and not installed the meter properly! We waited for the next bill...Finally a bill. I was hoping to find a zero or very close to zero bill as Bernard said I would need a 10kw system to pay my account off. My bill was $1245.31 (3278kw @ .31c) and I got a rebate of $134.88 (2248kw @ .06c). 6 CENTS!! NOT HAPPY!!! $135 FOR THREE MONTHS!! NOT WORTH IT! This has been the biggest rip off and waste of money I have ever spent. I have spoken to other people in the area that also got the same system and there are a lot of VERY ANGRY customers! HANG UP ON BERNARD AND SAVE YOUR MONEY!!!",1.0,3.0,1.0,1.0,5kW,"More than $20,000",,,,,,,False,[],0,0
10442,Laura,SA - 5290,SA,5290,True,2012-10-27,27 October 2012,4.0,,i am still in the process and havent received my solar power yet or my finance. i have sent in the form for my inverter to be installed by the electricity trust.,0,4.0,4.0,4.0,5kW,"More than $20,000",ERA (Other),aurora (Other),,4.0,4.0,,False,[],0,0
16204,Ian,WA - 6028,WA,6028,True,2012-10-20,20 October 2012,2.25,,"I still have on going problems with this company.Their high pressure sales team try to get you signed up as quickly as possible. Once they get your money they just leave you hanging.I waited almost three months to get my system installed, even after installation I had to keep chasing them to get the system connected.I was never contacted by them or notified that they were having staffing problems and when I called them to find out what was going on their staff member was very rude, even calling me a liar.When I was signed up to receive this ""first class service"" I was told they were not the cheapest but they considered themselves the best in the industry.I was told that they only use quality European panels and converters while other companies use poorer quality Chinese made equivalents to get the price down.Well I after the parts were fitted and still not connected and getting more frustrated by their lack of communication I did some research and found out that the parts they had installed were indeed made in China.In fact the Aurora PVI 5000 grid connect inverter they have installed can be purchased on line for well under $3000. When I contacted their office about this the answer I got was everything is made in China these days they will be fine we give you a guarantee.This company has shown no consideration for the inconvenience caused to me, when ever I called them with a concern I was spoken to like I was an idiot and their Operations Manger has been both rude and arrogant and definitely shows a lack of people skills.This company has a big ego but unfortunately very poor customer service and an attitude problem, maybe that what comes with being the best in the industry.Based on my experience I would not advise any one to use this company and it begs the question ""what is their after sales service and warranty going to be like"" .Due to my frustrations I have since asked them to remove the system as they have not lived up to their promise and their service has been diabolical.I immediately received an email from them stating that I can't do that and they will sue me?",2.0,3.0,3.0,1.0,4kW,"More than $20,000",,,,,,,False,[],0,0
16124,Richard,VIC - 3300,VIC,3300,True,2012-10-15,15 October 2012,2.5,,once they have your deposit they are not very interested and once installed even worse .phone calls promised have not been forthcoming since installation,1.0,3.0,3.0,3.0,2kW,"$6,000 to $10,000",,,,,,,False,[],0,0
