review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
133409,Peter,QLD - 4205,QLD,4205,True,2025-05-13,13 May 2025,5.0,,"Extremely efficient quoting process, unmatched pricing, thorough explanation and details of materials to be installed.Lengthy wait, one month for installation, but excellent quality workmanship, with good information and advice from the installer.Thoroughly recommended.",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",,,,,,False,[],0,0
116851,Gary,VIC - 3064,VIC,3064,True,2023-11-24,24 November 2023,5.0,,Sales person was very easy to talk with. Installation went well Hard-working polite staff.,5.0,5.0,5.0,5.0,9kW,"$4,000 to $6,000",Jinko Solar,Goodwe,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
8122,Lee,NSW - 2777,NSW,2777,True,2012-09-17,17 September 2012,3.75,,Due to the wet weather we are waiting for the final electrical installation,4.0,4.0,4.0,3.0,1.5kW,Under $3000,Not sure (Other),Latronics,,3.0,3.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_latronics.png'],0,0
14214,Arthur,QLD - 4064,QLD,4064,True,2012-06-25,25 June 2012,4.0,,Early days yet but so far we are happy with our decision all around.,4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
13801,Kevin,QLD - 4509,QLD,4509,True,2012-06-13,13 June 2012,4.25,,"Salesman was a pleasure to deal with, not pushy but able to offer decent advice",4.0,4.0,4.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
13723,Doreen,QLD - 4036,QLD,4036,True,2012-06-12,12 June 2012,4.0,,"I received 3 Solar Quotes from Finn Peacock but did not choose any as it took about 3 weeks for 1 out of 3 to email me a quote to which by then I had done my own research and choose Sun Solar QLD in Acacia Ridge, very happy with their service. I had salesman come out the 14th of April, he was very informative and helpful,(with the information I got from Finn Peacock I knew the salesman knew his products) signed contract 21st April, Sun Solar wanted to Install on the 3rd May which was not suitable for me, was installed on 11th May, I'm very happy with Installation. Only took 3 hours and Energex are coming 13th June to do their part.I must say that Finn Peacock's web site was VERY INFORMATIVE it was what helped me in many areas to make my decision and my research.Thank You Finn Peacock!",4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
12438,Anon,QLD - 4563,QLD,4563,True,2012-04-18,18 April 2012,4.25,,,4.0,4.0,5.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
12161,Sean,QLD - 4209,QLD,4209,True,2012-04-02,02 April 2012,3.5,,"Installation seemed to be alright until the head installer left for half the day leaving the two workers to do most of the install. Panels were not connected properly. Installer was contacted and had to come back to correct, 5 days later. Paid extra for GERMAN SMA inverta. Panel display is in German so do not understand. I told the installer but no reply. Have intermittent fault reading on inverta. Again, told installer, no response.System seems to be  working and feeding back to grid. Have niggling feeling that the panels are not connected properly causing fault to register on panel. Efficiency may be Compromised.",5.0,4.0,2.0,3.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
10257,Mark,QLD - 4510,QLD,4510,True,2011-09-19,19 September 2011,4.25,,,4.0,4.0,5.0,4.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
8758,Jeffrey,QLD - 4565,QLD,4565,True,2011-06-25,25 June 2011,4.0,,"The service was good, the installation was within 2 weeks and the price was good.",4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
