review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
85167,Natasha,NSW - 2145,NSW,2145,True,2020-12-29,29 December 2020,4.75,,"All round great experience, fast turn around time from deposit to permission to connect then to installation.",4.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
21768,Paulica,NSW - 2590,NSW,2590,True,2014-02-27,27 February 2014,3.67,,,4.0,4.0,0,3.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
273,Julius,NSW - 2079,NSW,2079,True,2012-10-11,11 October 2012,4.25,,I spent many months reading technical specs / product reviews / forums on solar installs and effiiciency of products supplied.  I did not go ahead with the cheapest quote as I wanted equipment with a high efficiency.  I have had a 1KW system installed for the last 4 years and went ahead with an additional 2.8KW system to take advantage of the Govt incentives. I ended up purchasing from a broker / advising service. They emailed me a PDF spreadsheet with about 6 quotes which provided me with detailed info based on the config that I was looking for. I was able to speak with the supplier / installer and broker to ensure I was buying the right system.,3.0,5.0,4.0,5.0,3kW,"$6,000 to $10,000",Suntech,Xantrex / Enerdrive Pty Ltd,,4.0,5.0,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png'],0,0
2412,Christine,WA - 6027,WA,6027,True,2012-09-15,15 September 2012,4.5,,I received prompt service - three weeks from ordering and the system was efficiently installed with no mess.,4.0,4.0,5.0,5.0,1.5kW,Under $3000,Suntech,Xantrex / Enerdrive Pty Ltd,,5.0,5.0,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png'],0,0
3385,Anon,TAS - 7307,TAS,7307,True,2012-09-05,05 September 2012,3.67,,,4.0,4.0,0,3.0,3kW,"$6,000 to $10,000",Suntech,SMA,,3.0,3.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
1949,Pete,SA - 5157,SA,5157,True,2012-09-04,04 September 2012,4.75,,"Prompt installation with no issues of suntech panels. Working fantastic even on dull days. In four weeks, have saved a lot still awaiting ETSA feedback meter.",5.0,5.0,5.0,4.0,4kW,"$6,000 to $10,000",Suntech,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
2789,Ern,VIC - 3305,VIC,3305,True,2012-09-04,04 September 2012,4.5,,I am  a little concerned about feed in tariffs net seems to be the option and there seems to be quite a delay on the final hook up of the system. Thanks for your information you have been very helpful in my decision to go solar.,5.0,,0,4.0,3kW,"$6,000 to $10,000",Suntech,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
1596,Allan,NSW - 2795,NSW,2795,True,2012-09-04,04 September 2012,4.0,,"Very difficult to rate as have not had the system installed yet and still waiting on Country Energy to approve. When selecting a supplier and system it is difficult to compare 'apples with apples' as most systems have differing combinations of panels, inverters and warranties. The supplier I chose had a lengthy warranty for installation, as well as standard panel and inverter warranties, however did not have an interest free payment option. Some others that had an interest free payment option were substantially more expensive.",5.0,4.0,3.0,4.0,1.5kW,"$3,000 to $6,000",Suntech,Xantrex / Enerdrive Pty Ltd,,4.0,4.0,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png'],0,0
2072,James,NSW - 2541,NSW,2541,True,2012-09-04,04 September 2012,4.0,,"Have paid deposit on system, there is currently a shortage of panels and inverters so cannot comment on the installation yet.",5.0,5.0,0,2.0,2kW,"$3,000 to $6,000",Suntech,Xantrex / Enerdrive Pty Ltd,,5.0,5.0,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png'],0,0
5065,Phil,NT - 810,NT,810,False,2012-09-04,04 September 2012,4.0,,"Its a bit hard to tell as the system has only been in for a few months - however, we have had no problems and Sunsaver were providing a VERY good deal for people in Darwin. Somenoe drew my attention to it and I also saw the TV advertisement made by the company.The system as performed better than I had expected - we are averaging aabout 6 kW per day and, in full sun conditions, well over 6 kW per day.",4.0,4.0,4.0,4.0,1.5kW,Under $3000,Suntech,SMA,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
405,Ray,SA - 5125,SA,5125,True,2012-08-30,30 August 2012,3.75,,"System was from Sunsavers. I was going to go with another supplier, but after I requested some testimonials or some evidence of installs in my area, I had no communication afterwards! So they lost my business. I was very happy with the Sunsavers price, quality of the hardware and install. They do lack considerably in communication though.",4.0,4.0,5.0,2.0,3kW,"$10,000 to $15,000",Suntech,SMA,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
693,Anon,SA - 5211,SA,5211,True,2012-08-30,30 August 2012,5.0,,,5.0,5.0,5.0,5.0,1.5kW,"$3,000 to $6,000",Brand not known (Other),SMA,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png'],0,0
8950,Justin,WA - 6163,WA,6163,True,2011-07-01,01 July 2011,4.0,,"Great initial in house service, but difficult to get the installers organized or to make contact with.",5.0,4.0,4.0,3.0,1.5kW,Under $3000,,,,,,False,[],0,0
4976,Anon,NSW - 2830,NSW,2830,True,2011-01-28,28 January 2011,3.5,,"Too many to choose from, lots of waiting on return phone calls with quotes, now lots of waiting for installation (should have been in in November but lost forms (from suppliers) and I only just found out they didn't have them!, Country Energy were quick however (thankfully).",4.0,,0,3.0,1.5kW,Under $3000,,,,,,False,[],0,0
4289,Nick,NSW - 2145,NSW,2145,True,2010-12-12,12 December 2010,3.25,,"Signed up for complete installation no hidden extras and a final price of $7000, work to be completed in about 8 weeks. They had probleems with supply, the time blew out, customer service respoce time was on average about a week after e-mail contact  ( except at the beginning they were quite responsive as were the brokers, both became scarce after the deposit was paid) Responces were curt, responding to my contacts seemed to be inconvenient to them, seeking a completion date led to being advised that I was free to go else were but might forfeit the deposit. With the panels finally in place I was then informed that I was up for an additional cost of connecting to the grid $640, I was advised that it was in the fine print, the broker apologised for not mentioning it. In the end we were just pleased to get it up and running and relatively free of this company. The company I believe opperates out of SA and that probably explains some of the issues. They were not a friendly type company they were not in any way concerned about us personally and I dont expect a christmas card from them.",4.0,4.0,4.0,1.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
3882,James,SA - 5069,SA,5069,True,2010-11-23,23 November 2010,3.5,,,4.0,4.0,3.0,3.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
3346,Jason,SA - 5118,SA,5118,True,2010-10-27,27 October 2010,3.0,,"Have e-mailed sun savers 2 times now to try and get an installation date, but ""Stacey"" hasn't returned my e-mails.  Poor customer service from sunsavers",3.0,4.0,0,2.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
2836,Owen,SA - 5162,SA,5162,True,2010-09-24,24 September 2010,3.67,,,4.0,4.0,0,3.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
1694,Elizabeth,NSW - 2264,NSW,2264,True,2010-07-13,13 July 2010,5.0,,The installers were quick and careful and the electrician very competent - he was the one who SunSavers recommended.,5.0,5.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
1679,Carl,SA - 5109,SA,5109,True,2010-07-12,12 July 2010,3.75,,,4.0,3.0,5.0,3.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
1663,Paul,NSW - 2320,NSW,2320,True,2010-07-09,09 July 2010,1.0,,After 4 months I am still waiting for the installation from sun savers have been told it will be 3 more months.To get you to sign up they ask for $100 and never instal the system.,0,1.0,0,1.0,5kW,"$15,000 to $20,000",,,,,,False,[],0,0
1638,Michael,QLD - 4753,QLD,4753,True,2010-07-07,07 July 2010,4.5,,,4.0,5.0,5.0,4.0,More than 6kW,"$15,000 to $20,000",,,,,,False,[],0,0
1426,Marinko,NSW - 2619,NSW,2619,True,2010-07-05,05 July 2010,4.5,,,4.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
1352,Jason,NSW - 2258,NSW,2258,True,2010-06-22,22 June 2010,1.0,,Still waiting for inverter to be installed,1.0,1.0,1.0,1.0,5kW,"More than $20,000",,,,,,False,[],0,0
1276,Michael,NSW - 2750,NSW,2750,True,2010-06-19,19 June 2010,2.5,,"Everyone is bending backwards to get your business, but no one is providing the finished product.",3.0,,0,2.0,5kW,"$15,000 to $20,000",,,,,,False,[],0,0
1125,Alasdair,NSW - 2782,NSW,2782,True,2010-06-17,17 June 2010,3.5,,"I decided to go with Sunsavers good price good quality parts,but the organisation is Unbelievable,they are slack rude and totally disorganised.Their comunication is nonexistant,they installed a 1700w inverter on a 2.1kw system and I am still waiting 5 months for them to install the 2.5kw inverter I was quoted for.I have not paid them any money yet and wont be untill I have the system I was promised .I believe Sunsavers is owned by Solar Shop.",5.0,4.0,4.0,1.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
1106,GEOFF,NSW - 2526,NSW,2526,True,2010-06-17,17 June 2010,4.75,,,5.0,5.0,5.0,4.0,1.5kW,Under $3000,,,,,,False,[],0,0
717,Ray,NSW - 2575,NSW,2575,True,2010-06-05,05 June 2010,1.0,,"i wanted a system for my 2 houses went with a 1.5 for mittagong with a 2.5 s/boy inverter $3000and Ballina a 3kw with a 4kw s/boy inverter for $8,200 , quotes from solar choices not installed as yesI found your emails a great help was doing most of your helpfull hints but it was nice to receive themyou are doing a great service, its nice to come across someone who cares, Regards Raymond Hirst",1.0,1.0,0,0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
373,Don,SA - 5025,SA,5025,True,2010-05-31,31 May 2010,4.25,,Sunsavers(Solar Shop)had applied for the old grant on my behalf. When they introduced their web based standard package pricing and were still able to access the old grant their economics became acceptable. I am happy with the result with the system producing outputs as promised.,5.0,4.0,5.0,3.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
361,Troy,SA - 5017,SA,5017,True,2010-05-31,31 May 2010,3.25,,"You offer a great service.Keep up the great work, and thank you for your service.",4.0,4.0,3.0,2.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
