review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
86962,Peter,QLD - 4211,QLD,4211,True,2021-02-18,18 February 2021,4.75,,"Can definitely recommend Sun Gods Solar. Glenn was on the phone the next day to discuss our system and was only to happy to visit our property. We ended up going with a larger system than first anticipated as we had the room and the price was competitive. Installation was booked in for the following week and all went smoothly. The install team were professional, friendly and provided a great looking setup. Follow up visit from Ryan to run through the docs etc was again professional and helpful. We are now just waiting for the grid connection.",4.0,5.0,5.0,5.0,9kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/073061d0409f2a67e799a456dd5a0f930.jpeg']",0,0
82004,Bernie,QLD - 4215,QLD,4215,True,2020-09-28,28 September 2020,4.75,,"The whole process was easy, response from suppliers was quick and simple. We eventually chose Sun Gods Solar as they were easy to deal with and great value for money, professional in their approach and tidy and efficient with the installation.Am very happy with our decision and want to also than Finn for the initial assistance and providing 3 quotes from reputable operators.",5.0,4.0,5.0,5.0,8kW,"$4,000 to $6,000",,Growatt,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
72468,Bob,QLD - 4217,QLD,4217,True,2020-09-15,15 September 2020,5.0,,"Glenn from Sun Gods solar was very helpful from the start, he suggested a larger system and we are very happy that we went that way. Any queries were attended to in a fast and efficient manner.The installers were courteous and were able to answer any questions I had.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Seraphim,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
64818,FABIAN,QLD - 4220,QLD,4220,True,2020-02-04,04 February 2020,5.0,,,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $10,000",Suntech,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
71533,Henk,QLD - 4217,QLD,4217,True,2019-12-16,16 December 2019,4.75,,"Our experience was positive from the initial telephone call, meeting at our home and the installation of the system. We will recommend Glenn and his team to our best friends and clients ( we don’t have family in AUS)We are very happy with the system, work and service",4.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Seraphim,Growatt,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
70635,Edwin,QLD - 4214,QLD,4214,True,2019-11-22,22 November 2019,5.0,,Sun Gods Solar was prompt with quoting and had good followup and availability for questions. Installation was completed with the system performing to the level they advised. I've been very happy with their service and followup during the whole process.,5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Seraphim,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
57757,Lee,QLD - 4208,QLD,4208,True,2019-08-30,30 August 2019,5.0,,All of the suppliers that quoted were good but Sun Gods Solar provided excellent service and the best price,5.0,5.0,5.0,5.0,More than 6kW,"$6,000 to $10,000",Seraphim,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
66343,John,QLD - 4214,QLD,4214,True,2019-07-20,20 July 2019,3.25,,"I was told twice they would attend after installation, both times they failed to show",4.0,4.0,3.0,2.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
62748,Chuck,QLD - 4205,QLD,4205,True,2019-04-14,14 April 2019,4.5,,Glenn and his team did a great job. Installed on the day we arranged.,4.0,4.0,5.0,5.0,More than 6kW,"$3,000 to $6,000",,Growatt,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
52667,Anon,QLD - 4670,QLD,4670,True,2018-09-14,14 September 2018,4.25,,,3.0,4.0,5.0,5.0,More than 6kW,"$15,000 to $20,000",,,,,,False,[],0,0
