review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
91088,Duncan,QLD - 4305,QLD,4305,True,2021-06-29,29 June 2021,5.0,,Great. Very helpful. Allowed me to byo my inverter. Super fast install.,5.0,5.0,5.0,5.0,6kW,"$2,000 to $4,000",Suntech,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
77077,David,QLD - 4556,QLD,4556,True,2020-05-26,26 May 2020,4.5,,"Ben was great, met a price and delivered as committed. Thanks for a brilliant install...13KW 3 phase system on a double story house in a day!",4.0,4.0,5.0,5.0,13kW,"$6,000 to $8,000",Seraphim,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
24459,Philip,QLD - 4559,QLD,4559,True,2014-11-24,24 November 2014,4.25,,"I found Sunshine Coast Solar be friendly, helpful, knowledgeable, competent and well-organised. It was a smooth process from start to finish, compared with some of the horror stories you read about. The system was ordered on November 4th, installed on 12th, EWR raised on 12th, on 13th AGL requested Energex meter changeover, Energex called on 17th to arrange changeover on 21st. The Energex technician that installed the new polyphase meter commented how neat and tidy the installer's wiring was.The system worked without a glitch from the moment it was switched on. For anyone on the Sunshine Coast contemplating a micro inverter system, I would recommend Sunshine Coast Solar. And for anyone not contemplating micro inverters, take a closer look at the advantages of this technology which in my view justify the slightly higher cost over string inverters.",4.0,5.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
21325,Debra,QLD - 4556,QLD,4556,True,2014-01-06,06 January 2014,5.0,,"The rep from Sunshine Coast Solar was probably the most helpful and least pushiest sales person we saw.Quite a few others hounded us to the point where I wouldn't even answer the phone!Also with Sunshine Coast solar they were able to supply and install the very next week.The installer they use is Greg from Skilled Electrical and we were very impressed with him and the boys, their work was fast efficient , neat and tidy as well. Greg stepped us through the whole process and went above and beyond. Highly recommend these guys as well....he even came back and did a few other electrical jobs for us at a later stage.I'm very happy I just got my first bill and even though we had only had solar for 30 days of the 90 bill we had a credit of $88 and the bill dropped already about $20, so can't wait to get the next bill !Just a quick mention that a certain local company here on the Sunshine Coast who are doing letter box drops.....the guy first showed us pictures of burnt roofs from solar and tried to sell us a much more expensive system designed for people with shaded roofs ( micro inverters?) that we didnt need and then when we wouldnt budge he said he could also sell us a system that would burn our house down ! I don't like scare tactics!Also like to say that I found this site extremely helpful in my search for solar...thanks for that!",5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
8814,Ian,QLD - 4557,QLD,4557,True,2012-09-12,12 September 2012,3.75,,"It is a hard decision to make what company or system you go with. It is hard to know are you getting a good quality system and value for money. Also the value of the STC's vary greatly amongst installers, are they telling you the value they want you to know? I am not sure if I decided on the best system or installer.",3.0,4.0,4.0,4.0,1.5kW,"$3,000 to $6,000",REC,SMA,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
10178,Bob,QLD - 4565,QLD,4565,True,2012-09-12,12 September 2012,5.0,,"Placed a deposit on on a 2nd tier system, changed mind & this agency immediately (next day) refunded my deposit.  Some time later I called for best quote on a quality system I had decided on & they had best price & installation was performed most efficiently.  Still awaiting Energex reprogramming of meter.",5.0,5.0,5.0,5.0,3kW,"$10,000 to $15,000",REC,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
2351,Denis,QLD - 4557,QLD,4557,True,2012-09-04,04 September 2012,4.25,,I looked at many companies and options. Finally it was dificult to choose between a higher priced 3kw system and a very well priced 4kw system only $1500 difference. I chose the 3kw system because it was a local supplier and the perception of better quality [european.PS: thank you for your time.,4.0,4.0,5.0,4.0,3kW,"$10,000 to $15,000",REC,SMA,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
15456,Robert,QLD - 4553,QLD,4553,True,2012-08-24,24 August 2012,4.0,,Chose an established local supplier.,4.0,4.0,4.0,4.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
8967,Paul,QLD - 4575,QLD,4575,True,2011-07-01,01 July 2011,4.0,,"S/C Solar Centre had all the info and specs  on hand at quote time. They use top quality panels and inverters, and permanent contractors to fit their units. Great service, attitude and results followed, Well Done Guys! I'm still waiting for some companies to contact me_ Re a Quote!!",4.0,4.0,4.0,4.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
4633,John,QLD - 4573,QLD,4573,True,2011-01-03,03 January 2011,4.0,,Everybody out there is pushing a system of their own choice not what a customer asks for or necessarily wants. And a lot of consumers only connect so they can get payback from the energy companies and consequently don't get a system that will see them into the future. At the moment it is a minefield out there with so many different size and quality panels and so many different inverters. It is almost reminiscent of the insulation debacle of last year. Until the industry is regulated in some way I feel that people are going to be taken advantage of.,4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
