review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140289,Emma,WA - 6054,WA,6054,True,2025-11-21,21 November 2025,5.0,,"Quote was easy to understand and clearly laid out what I was getting. All applications and sign ups to various grants/synergy/Western Power were managed efficiently and it was clear when i needed to do anything. Install job was great - the guys got right to work, explained where everything would go and helped me get the app sorted on my phone. Everything is working well and i have recommended to friends - the whole process was easy and efficient.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Growatt,Growatt,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_growatt.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a94e7f4ddac9ba3ea64fc5c34cfabe800.jpg']",0,0
140030,Anthony,WA - 6020,WA,6020,True,2025-11-17,17 November 2025,4.0,,"I initially thought blackout protection was included in my quote, but it turned out to be listed as an optional extra. This was a good reminder for me to read quotes more carefully and not assume details based on conversations with a sales representative. There was also a mix-up because the battery couldn’t be installed under the old inverter, and relocating the inverter added an extra $600 cost. Since this wasn’t in the original quote, Sunterra agreed to split the relocation cost with me. I’m happy with the outcome because the battery is now in a better location, and I understand the work involved in moving the inverter.The installation team was very knowledgeable. Once we clarified what I had signed up for, they were excellent—friendly, professional, and their workmanship was of high quality. There was a slight delay in installation due to moving the inverter, but they worked around our availability.During the process of adjusting the power meter box to install the battery, the bedroom fan and bathroom light stopped working. The team quickly fixed the issue, which was caused by my very old meter box and poor wiring.Finally, the team took the time to show me how the new battery works and walked me through the mobile app.",4.0,4.0,4.0,4.0,,"$4,000 to $6,000",,,Growatt,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_growatt.png'],0,0
139693,Eugene,WA - 6148,WA,6148,True,2025-11-10,10 November 2025,4.25,,"Previous experience with Sunterra provided a high level of confidence in choosing the company for installation of the battery. Initial quoting was provided in a timely manner and was backed up with useful information on the system and its components. Following announcement of the federal scheme a long period of inactivity was experienced. After re-establishing contact, it was advised that some technical aspects had been revised and changes mandated under the rebate scheme conditions. These revisions resulted in a technically superior system with little impact on the initial quote.Approval from the regulators was organised mainly by the company with one interaction required of the buyer. Then came another long waiting period for installation. After an installation date was set, the date was changed on three occasions.Enter the long-awaited arrival of the installation team and all was forgiven. The team was professional and technically experience and competent. Importantly, the team leader engaged openly with the owner and was generous with information and advice and had no problem coping with an interested onlooker following every move. In keeping with the manner in which the installation was conducted, the site was left impeccably tidy with all rubbish removed. It was worth the wait!",4.0,4.0,5.0,4.0,,"$8,000 to $10,000",,,Growatt,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_growatt.png'],0,0
139589,Matthew,SA - 5210,SA,5210,True,2025-11-08,08 November 2025,2.25,,"Firstly, Sunterra installed my solar panels several years ago, & I found that an overall positive experience - product has been good, service was reasonable & the price was very competitive.So fast forward to second half of 2025, & I wanted to give Sunterra the first option at setting me up with a solar battery post-Govt subsidies. The quoting process was very serviceable & friendly, received good advice & options, & - after just checking around different quotes to get the lay of the land - I was happy to proceed.That's when the process became worse. So after the agreement & go ahead, I heard nothing for about a month. I followed up, & was told I would have someone contact me to arrange an install date. Another 3 weeks passed...a slightly perturbed email went in to the guy who quoted me, who obviously cracked the whip & I got myself an install date.No pre-installation site inspection. That was done by an email with a couple of photos. I recognise this mightn't be an issue for many, but I had a small unique outdoor challenge in regards to locating the battery, & although I got what was a tacit ""okay"" from their office via email, on the day of install the installers arrived with a ""we can't put it there"" (it was an issue of concrete pads & sufficient wall space). The installers essentially watched me scramble to come up with a solution. That was a good little indicator of the customer service to come.Install occurs - that's fine. System looks okay to my uneducated eye. Was happy to have got it set up where I wanted it set up. Then one of the installers tried to get me set up with the Shine ap so I could see what was happening with the battery. A few Wifi issues, a few limitations of the ap - the installer is getting frustrated, assures me that once connection with our router is established the ap process itself is a piece of cake. I'm not so confident but I'm reasonably tech-savy - how hard can it be right? Well....The Ap installation & set up is a bloody nightmare. Requests for customer service go unanswered or fobbed off - I get told someone is coming out on a Tuesday afternoon to run me through everything, so I get home from work early afternoon, then get a message saying they're not able to attend. The following Friday I am at work & get a message saying we're coming around now...I tell them Im not actually there....but they go around anyway & end up talking to my 15 year old son which is not helpful. But hey, at least they can say they went around & tried, right?Oh, & then I get the bill and some pressure to pay - while they've charged me for concrete sheeting that they never installed. Managed to get that forted at least - by simply not paying. Then, frankly, my stress levels with this company just became too much & I want them out of my life.So all in all, I have an ap which gives me about 40% of the information I would expect to be able to access about my battery. The solar battery appears to be working okay. I fear having a need to access customer service or - heaven forbid - anything relating to warranty.Overall, Sunterra were the cheapest option when it came to getting a solar battery installed. I think the battery itself is okay - appears to be working quite well. But the Ap you use with it isn't fantastic, at all. And the customer service I experienced with Sunterra is simply the worst I have ever experienced.I do wish I had spent a couple of thousand more to have a company I would feel positive and confident in recontacting for help or advice. And a better Ap.",3.0,3.0,2.0,1.0,20kW,"$10,000 to $12,500",,Growatt,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
139329,Steve,WA - 6516,WA,6516,True,2025-11-03,03 November 2025,5.0,,"Landon and his team fully delivered on expectations.Despite complicating changes and delays from the state government, they adapted, effectively communicated progress and finally delivered.Installation though less than staight-forward was professionally completed.Overall - Outstanding.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Jinko Solar,Growatt,Growatt,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_growatt.png']",0,0
139008,Shaun,WA - 6056,WA,6056,True,2025-10-27,27 October 2025,5.0,,"Having installed offgrid solar myself in the past, Ii tend to give solar companies a hard time as I know what i want and just want options, specs and prices. Dean from Sunterra is awesome, providing all the info I requested and prices in his first response to me. He also stated any unknowns but explained what he thought and got back to me once he had the info available.The system price was great, comms have been awesome and the installers were brilliant :)",5.0,5.0,5.0,5.0,,"$6,000 to $8,000",,,Growatt,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_growatt.png'],0,0
138964,John,WA - 6156,WA,6156,True,2025-10-25,25 October 2025,5.0,,"All good. We’re very happy with Sunterra, very helpful, the installer very thorough and helpful.",5.0,5.0,5.0,5.0,6kW,"$2,000 to $4,000",,,,,,,False,[],0,0
138868,Jackie,WA - 6108,WA,6108,True,2025-10-23,23 October 2025,5.0,,"The salespeople at Sunterra were very polite and knowledgeable and explained clearly the system we were getting. The installers arrived on time and introduced themselves and ‘got on’ with the job expertly. They were very friendly and answered any questions we had - I would recommend them to anyone who was looking at a solar install. They assisted in setting up my phone and explained how it worked and what to look for, the connection was taken care of by them and all was working before they left. Our property was left in a clean and tidy state and I would recommend Sunterra.",5.0,5.0,5.0,5.0,6kW,"$2,000 to $4,000",Jinko Solar,Growatt,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
138640,Neil,WA - 6008,WA,6008,True,2025-10-17,17 October 2025,4.75,,"The application through installation process was smooth and simple. Landon handled all my queries and the rebate applications well. The installers arrived early and finished ahead of schedule. The system is connected, working well and the app is a very handy and informative dashboard. I'm almost looking forward to my next bill to see the benefits!",4.0,5.0,5.0,5.0,,"$4,000 to $6,000",,,,,,,False,[],0,0
138625,Kemal,VIC - 3060,VIC,3060,True,2025-10-17,17 October 2025,5.0,,"I had an excellent experience from start to finish! Hakem handled the sales and quoting process and was absolutely fantastic — professional, patient, and transparent. He took the time to explain all my options clearly and made sure I got the best setup for my needs without any pressure.The installation team, led by Jun with his two team members, did an amazing job as well. They arrived right on time, were polite, tidy, and very efficient. The work was done to a high standard, and they left everything clean and perfectly organised once they finished.Customer service was top-notch too — they handled the grid connection and made sure everything was set up properly. Jun even walked me through how to use the charger and made sure I was comfortable with everything before they left.Overall, I couldn’t be happier with the whole experience. Big thanks to Hakem and Jun’s team — highly professional, friendly, and reliable from start to finish. I’d definitely recommend them to anyone!",5.0,5.0,5.0,5.0,15kW,"$4,000 to $6,000",,Growatt,,,5.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8c0d8979aea7aaf50d1a53bc9a2fd8980.jpg']",0,0
